CounDist,average,total_yes,total_no,avg_yes,avg_no
1,57.464211493351065,72540,53689,72540,53689
10,64.28098774347319,68119,37808,68119,37808
11,60.06468443089293,60231,40045,60231,40045
12,75.88503062418319,59413,18864,59413,18864
13,51.62635134293716,47767,44765,47767,44765
14,74.53449385435712,34720,11844,34720,11844
15,75.15712231997357,34770,11481,34770,11481
16,75.5115018978605,41588,13473,41588,13473
17,75.50027610027887,39278,12729,39278,12729
18,72.51583241188199,53311,20194,53311,20194
19,35.98144949189525,41049,73064,41049,73064
2,60.595474369999124,89998,58514,89998,58514
20,56.82832138403548,29721,22581,29721,22581
21,67.46053890715248,27978,13490,27978,13490
22,59.287391648185086,71881,49353,71881,49353
23,53.00559973545965,57065,50608,57065,50608
24,50.09259072188437,46635,46471,46635,46471
25,63.85706632353539,49209,27845,49209,27845
26,63.413881476905985,67818,39121,67818,39121
27,73.36078873236113,64074,23260,64074,23260
28,72.60358888690443,51637,19478,51637,19478
29,54.73954652587095,55401,45817,55401,45817
3,60.32270567798761,93229,61310,93229,61310
30,47.15886103764627,47118,52810,47118,52810
31,63.80647734335182,50061,28397,50061,28397
32,41.11427046063122,43718,62644,43718,62644
33,64.41323202845281,92826,51242,92826,51242
34,65.7142316855146,84092,43843,84092,43843
35,62.91911105280788,104691,61668,104691,61668
36,63.588594513408914,80636,46147,80636,46147
37,64.89418008378979,49809,26930,49809,26930
38,54.75556683347566,40785,33700,40785,33700
39,62.08917996213538,114985,70175,114985,70175
4,58.584860918785864,99234,70145,99234,70145
40,62.162153870639166,73234,44560,73234,44560
41,68.94048472569892,50826,22879,50826,22879
42,72.34945249388187,46867,17903,46867,17903
43,46.71172686391261,20636,23547,20636,23547
44,24.87453234868565,21079,63661,21079,63661
45,58.378459149756395,58193,41492,58193,41492
46,51.30716864192211,48966,46484,48966,46484
47,47.88804856150598,45967,50036,45967,50036
48,34.294411171040096,28946,55489,28946,55489
49,50.639363730774946,48452,47233,48452,47233
5,59.44892581628726,110410,75321,110410,75321
50,32.04270700216034,45174,95856,45174,95856
51,24.411410524048712,37728,116905,37728,116905
6,62.33606821869354,113100,68325,113100,68325
7,65.721938198853465,93662,48821,93662,48821
8,69.72670670624093,54202,23512,54202,23512
9,68.08732824293615,81233,38040,81233,38040
NA,57.78668905764453,3044062,2223569,3044062,2223569
