ed_clean,YES,NO,reported,ad,ed,percentage,passed
23001,619,2494,99.00%,23,1,19.884355926758754,FALSE
23002,572,2468,99.00%,23,2,18.815789473684212,FALSE
23003,193,866,99.00%,23,3,18.2247403210576,FALSE
23004,581,2496,99.00%,23,4,18.882027949301268,FALSE
23005,517,2582,99.00%,23,5,16.682800903517265,FALSE
23006,561,2515,99.00%,23,6,18.237971391417425,FALSE
23007,675,2559,99.00%,23,7,20.871985157699445,FALSE
23008,328,746,50.00%,23,8,30.54003724394786,FALSE
23009,240,379,50.00%,23,9,38.77221324717286,FALSE
23010,651,1895,99.00%,23,10,25.569520816967795,FALSE
23011,856,701,99.00%,23,11,54.97752087347463,TRUE
23012,249,192,83.33%,23,12,56.4625850340136,TRUE
23013,612,647,83.33%,23,13,48.610007942811755,FALSE
23014,647,763,99.00%,23,14,45.88652482269504,FALSE
23015,644,585,83.33%,23,15,52.40032546786006,TRUE
23016,467,392,99.00%,23,16,54.36554132712457,TRUE
23017,319,1336,99.00%,23,17,19.274924471299094,FALSE
23018,996,727,99.00%,23,18,57.806152060359835,TRUE
23019,169,51,99.00%,23,19,76.81818181818181,TRUE
23020,358,140,99.00%,23,20,71.8875502008032,TRUE
23021,394,478,99.00%,23,21,45.18348623853211,FALSE
23022,284,97,99.00%,23,22,74.54068241469817,TRUE
23023,392,152,99.00%,23,23,72.05882352941177,TRUE
23024,420,174,99.00%,23,24,70.70707070707071,TRUE
23025,597,846,99.00%,23,25,41.37214137214137,FALSE
23026,426,330,99.00%,23,26,56.34920634920635,TRUE
23027,326,1739,99.00%,23,27,15.786924939467312,FALSE
23028,564,845,99.00%,23,28,40.02838892831795,FALSE
23029,127,2129,99.00%,23,29,5.629432624113475,FALSE
23030,418,1430,99.00%,23,30,22.61904761904762,FALSE
23031,563,1144,99.00%,23,31,32.98183948447569,FALSE
23032,694,1506,99.00%,23,32,31.545454545454543,FALSE
23033,443,2124,99.00%,23,33,17.257499026100508,FALSE
23034,518,1844,99.00%,23,34,21.93056731583404,FALSE
23035,391,1820,99.00%,23,35,17.684305744007236,FALSE
23036,529,1858,99.00%,23,36,22.16170925848345,FALSE
23037,687,1586,99.00%,23,37,30.22437307523097,FALSE
23038,462,1447,99.00%,23,38,24.201152435830277,FALSE
23039,81,35,99.00%,23,39,69.82758620689656,TRUE
