RANK 2014-24,DISTRICT,COUNCIL MEMBER,2014-23,2024,TOTAL 2014-24
1,15,Oswald Feliz,"6,370","1,336","7,706"
2,17,Rafael Salamanca,"7,182",372,"7,554"
3,42,Chris Banks,"5,786","1,439","7,225"
4,8,Diana Ayala,"5,945",410,"6,355"
5,33,Lincoln Restler,"5,435",276,"5,711"
6,16,Althea Stevens,"4,435",591,"5,026"
7,14,Pierina Ana Sanchez,"3,469","1,330","4,799"
8,26,Julie Won,"3,432","1,304","4,736"
9,35,Crystal Hudson,"3,911",186,"4,097"
10,37,Sandy Nurse,"3,903",177,"4,080"
11,31,Selvena N. Brooks-Powers,"3,723",153,"3,876"
12,41,Darlene Mealy,"3,368",471,"3,839"
13,27,Nantasha Williams,"3,394",392,"3,786"
14,11,Eric Dinowitz,"2,306",794,"3,100"
15,3,Erik Bottcher,"2,573",447,"3,020"
16,34,Jennifer Gutiérrez,"2,209",653,"2,862"
17,18,Amanda Farías,"2,523",174,"2,697"
18,40,Rita Joseph,"2,351",219,"2,570"
19,36,Chi Ossé,"2,159",277,"2,436"
20,47,Justin Brannan,"1,684",342,"2,026"
21*,1,Christopher Marte,"1,489",341,"1,830"
21*,9,Yusef Salaam,"1,594",236,"1,830"
23,10,Carmen De La Rosa,"1,523",132,"1,655"
24,39,Shahana Hanif,"1,221",321,"1,542"
25,22,Ti any Cabán,"1,264",273,"1,537"
RANK 2014-24,DISTRICT,COUNCIL MEMBER,2014-23,2024,TOTAL 2014-24
26,21,Francisco Moya,"1,290",8,"1,298"
27,24,James Gennaro,918,120,"1,038"
28,12,Kevin Riley,710,312,"1,022"
29,45,Farah Louis,844,35,879
30,6,Gale Brewer,843,0,843
30,38,Alexa Avilés,387,428,815
30,4,Keith Powers,710,9,719
33,49,Kamillah Hanks,690,22,712
34,7,Shaun Abreu,581,7,588
35,28,Adrienne Adams,564,2,566
36,5,Julie Menin,488,45,533
37,2,Carlina Rivera,455,32,487
38,13,Kristy Marmorato,369,115,484
39,20,Sandra Ung,328,32,360
40,29,Lynn Schulman,285,70,355
41,48,Inna Vernikov,298,35,333
42,30,Robert Holden,116,121,237
43,50,David Carr,200,27,227
44,44,Simcha Felder,199,19,218
45,32,Joann Ariola,129,5,134
46,25,Shekar Krishnan,103,3,106
47,46,Mercedes Narcisse,70,11,81
48,51,Vacant,67,3,70
49,43,Susan Zhuang,37,31,68
50,23,Linda Lee,60,0,60
51,19,Vickie Paladino,51,7,58
