boro,reported,candidate,party,votes,scrape_time
Bronx,96.86%,Vanessa L. Gibson,(Democratic),150590,2025-11-06_10:53:52.208806
Bronx,96.86%,Grace Marrero,(Republican),30124,2025-11-06_10:53:52.208806
Bronx,96.86%,Grace Marrero,(Conservative),4623,2025-11-06_10:53:52.208806
Bronx,96.86%,Vanessa L. Gibson,(Working Families),16254,2025-11-06_10:53:52.208806
Bronx,96.86%,WRITE-IN,,413,2025-11-06_10:53:52.208806
Total,,Vanessa L. Gibson,(Democratic),150590,2025-11-06_10:53:52.208806
Total,,Grace Marrero,(Republican),30124,2025-11-06_10:53:52.208806
Total,,Grace Marrero,(Conservative),4623,2025-11-06_10:53:52.208806
Total,,Vanessa L. Gibson,(Working Families),16254,2025-11-06_10:53:52.208806
Total,,WRITE-IN,,413,2025-11-06_10:53:52.208806
