ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Vanessa L. Gibson,(Democratic),208,AD 77,2025-11-06_10:53:52.208806
ED    1,99.00%,Grace Marrero,(Republican),28,AD 77,2025-11-06_10:53:52.208806
ED    1,99.00%,Grace Marrero,(Conservative),4,AD 77,2025-11-06_10:53:52.208806
ED    1,99.00%,Vanessa L. Gibson,(Working Families),38,AD 77,2025-11-06_10:53:52.208806
ED    1,99.00%,WRITE-IN,&nbsp,0,AD 77,2025-11-06_10:53:52.208806
ED    2,99.00%,Vanessa L. Gibson,(Democratic),301,AD 77,2025-11-06_10:53:52.208806
ED    2,99.00%,Grace Marrero,(Republican),50,AD 77,2025-11-06_10:53:52.208806
ED    2,99.00%,Grace Marrero,(Conservative),14,AD 77,2025-11-06_10:53:52.208806
ED    2,99.00%,Vanessa L. Gibson,(Working Families),36,AD 77,2025-11-06_10:53:52.208806
ED    2,99.00%,WRITE-IN,&nbsp,1,AD 77,2025-11-06_10:53:52.208806
ED    3,99.00%,Vanessa L. Gibson,(Democratic),261,AD 77,2025-11-06_10:53:52.208806
ED    3,99.00%,Grace Marrero,(Republican),22,AD 77,2025-11-06_10:53:52.208806
ED    3,99.00%,Grace Marrero,(Conservative),11,AD 77,2025-11-06_10:53:52.208806
ED    3,99.00%,Vanessa L. Gibson,(Working Families),24,AD 77,2025-11-06_10:53:52.208806
ED    3,99.00%,WRITE-IN,&nbsp,0,AD 77,2025-11-06_10:53:52.208806
ED    4,99.00%,Vanessa L. Gibson,(Democratic),107,AD 77,2025-11-06_10:53:52.208806
ED    4,99.00%,Grace Marrero,(Republican),15,AD 77,2025-11-06_10:53:52.208806
ED    4,99.00%,Grace Marrero,(Conservative),2,AD 77,2025-11-06_10:53:52.208806
ED    4,99.00%,Vanessa L. Gibson,(Working Families),22,AD 77,2025-11-06_10:53:52.208806
ED    4,99.00%,WRITE-IN,&nbsp,1,AD 77,2025-11-06_10:53:52.208806
ED    5,83.33%,Vanessa L. Gibson,(Democratic),204,AD 77,2025-11-06_10:53:52.208806
ED    5,83.33%,Grace Marrero,(Republican),29,AD 77,2025-11-06_10:53:52.208806
ED    5,83.33%,Grace Marrero,(Conservative),7,AD 77,2025-11-06_10:53:52.208806
ED    5,83.33%,Vanessa L. Gibson,(Working Families),23,AD 77,2025-11-06_10:53:52.208806
ED    5,83.33%,WRITE-IN,&nbsp,0,AD 77,2025-11-06_10:53:52.208806
ED    6,99.00%,Vanessa L. Gibson,(Democratic),281,AD 77,2025-11-06_10:53:52.208806
ED    6,99.00%,Grace Marrero,(Republican),23,AD 77,2025-11-06_10:53:52.208806
ED    6,99.00%,Grace Marrero,(Conservative),6,AD 77,2025-11-06_10:53:52.208806
ED    6,99.00%,Vanessa L. Gibson,(Working Families),22,AD 77,2025-11-06_10:53:52.208806
ED    6,99.00%,WRITE-IN,&nbsp,1,AD 77,2025-11-06_10:53:52.208806
ED    7,83.33%,Vanessa L. Gibson,(Democratic),245,AD 77,2025-11-06_10:53:52.208806
ED    7,83.33%,Grace Marrero,(Republican),20,AD 77,2025-11-06_10:53:52.208806
ED    7,83.33%,Grace Marrero,(Conservative),1,AD 77,2025-11-06_10:53:52.208806
ED    7,83.33%,Vanessa L. Gibson,(Working Families),25,AD 77,2025-11-06_10:53:52.208806
ED    7,83.33%,WRITE-IN,&nbsp,0,AD 77,2025-11-06_10:53:52.208806
ED    8,99.00%,Vanessa L. Gibson,(Democratic),284,AD 77,2025-11-06_10:53:52.208806
ED    8,99.00%,Grace Marrero,(Republican),30,AD 77,2025-11-06_10:53:52.208806
ED    8,99.00%,Grace Marrero,(Conservative),6,AD 77,2025-11-06_10:53:52.208806
ED    8,99.00%,Vanessa L. Gibson,(Working Families),32,AD 77,2025-11-06_10:53:52.208806
ED    8,99.00%,WRITE-IN,&nbsp,0,AD 77,2025-11-06_10:53:52.208806
ED    9,99.00%,Vanessa L. Gibson,(Democratic),355,AD 77,2025-11-06_10:53:52.208806
ED    9,99.00%,Grace Marrero,(Republican),30,AD 77,2025-11-06_10:53:52.208806
ED    9,99.00%,Grace Marrero,(Conservative),11,AD 77,2025-11-06_10:53:52.208806
ED    9,99.00%,Vanessa L. Gibson,(Working Families),22,AD 77,2025-11-06_10:53:52.208806
ED    9,99.00%,WRITE-IN,&nbsp,1,AD 77,2025-11-06_10:53:52.208806
ED   10,99.00%,Vanessa L. Gibson,(Democratic),274,AD 77,2025-11-06_10:53:52.208806
ED   10,99.00%,Grace Marrero,(Republican),41,AD 77,2025-11-06_10:53:52.208806
ED   10,99.00%,Grace Marrero,(Conservative),9,AD 77,2025-11-06_10:53:52.208806
ED   10,99.00%,Vanessa L. Gibson,(Working Families),31,AD 77,2025-11-06_10:53:52.208806
ED   10,99.00%,WRITE-IN,&nbsp,0,AD 77,2025-11-06_10:53:52.208806
ED   11,99.00%,Vanessa L. Gibson,(Democratic),287,AD 77,2025-11-06_10:53:52.208806
ED   11,99.00%,Grace Marrero,(Republican),27,AD 77,2025-11-06_10:53:52.208806
ED   11,99.00%,Grace Marrero,(Conservative),4,AD 77,2025-11-06_10:53:52.208806
ED   11,99.00%,Vanessa L. Gibson,(Working Families),27,AD 77,2025-11-06_10:53:52.208806
ED   11,99.00%,WRITE-IN,&nbsp,0,AD 77,2025-11-06_10:53:52.208806
ED   12,99.00%,Vanessa L. Gibson,(Democratic),318,AD 77,2025-11-06_10:53:52.208806
ED   12,99.00%,Grace Marrero,(Republican),35,AD 77,2025-11-06_10:53:52.208806
ED   12,99.00%,Grace Marrero,(Conservative),7,AD 77,2025-11-06_10:53:52.208806
ED   12,99.00%,Vanessa L. Gibson,(Working Families),23,AD 77,2025-11-06_10:53:52.208806
ED   12,99.00%,WRITE-IN,&nbsp,1,AD 77,2025-11-06_10:53:52.208806
ED   13,99.00%,Vanessa L. Gibson,(Democratic),340,AD 77,2025-11-06_10:53:52.208806
ED   13,99.00%,Grace Marrero,(Republican),25,AD 77,2025-11-06_10:53:52.208806
ED   13,99.00%,Grace Marrero,(Conservative),8,AD 77,2025-11-06_10:53:52.208806
