AD_num,reported,candidate,party,votes,scrape_time
AD   41,98.37%,Antonio Reynoso,(Democratic),17853,2025-11-06_10:53:53.506828
AD   41,98.37%,Janine Acquafredda,(Republican),9882,2025-11-06_10:53:53.506828
AD   41,98.37%,Janine Acquafredda,(Conservative),977,2025-11-06_10:53:53.506828
AD   41,98.37%,Antonio Reynoso,(Working Families),1692,2025-11-06_10:53:53.506828
AD   41,98.37%,WRITE-IN,,72,2025-11-06_10:53:53.506828
AD   42,99.00%,Antonio Reynoso,(Democratic),22248,2025-11-06_10:53:53.506828
AD   42,99.00%,Janine Acquafredda,(Republican),1762,2025-11-06_10:53:53.506828
AD   42,99.00%,Janine Acquafredda,(Conservative),355,2025-11-06_10:53:53.506828
AD   42,99.00%,Antonio Reynoso,(Working Families),5114,2025-11-06_10:53:53.506828
AD   42,99.00%,WRITE-IN,,53,2025-11-06_10:53:53.506828
AD   43,90.00%,Antonio Reynoso,(Democratic),26117,2025-11-06_10:53:53.506828
AD   43,90.00%,Janine Acquafredda,(Republican),1851,2025-11-06_10:53:53.506828
AD   43,90.00%,Janine Acquafredda,(Conservative),495,2025-11-06_10:53:53.506828
AD   43,90.00%,Antonio Reynoso,(Working Families),7853,2025-11-06_10:53:53.506828
AD   43,90.00%,WRITE-IN,,57,2025-11-06_10:53:53.506828
AD   44,98.61%,Antonio Reynoso,(Democratic),30761,2025-11-06_10:53:53.506828
AD   44,98.61%,Janine Acquafredda,(Republican),4486,2025-11-06_10:53:53.506828
AD   44,98.61%,Janine Acquafredda,(Conservative),802,2025-11-06_10:53:53.506828
AD   44,98.61%,Antonio Reynoso,(Working Families),12899,2025-11-06_10:53:53.506828
AD   44,98.61%,WRITE-IN,,118,2025-11-06_10:53:53.506828
AD   45,98.91%,Antonio Reynoso,(Democratic),14850,2025-11-06_10:53:53.506828
AD   45,98.91%,Janine Acquafredda,(Republican),9204,2025-11-06_10:53:53.506828
AD   45,98.91%,Janine Acquafredda,(Conservative),827,2025-11-06_10:53:53.506828
AD   45,98.91%,Antonio Reynoso,(Working Families),1162,2025-11-06_10:53:53.506828
AD   45,98.91%,WRITE-IN,,60,2025-11-06_10:53:53.506828
AD   46,97.50%,Antonio Reynoso,(Democratic),13406,2025-11-06_10:53:53.506828
AD   46,97.50%,Janine Acquafredda,(Republican),12602,2025-11-06_10:53:53.506828
AD   46,97.50%,Janine Acquafredda,(Conservative),1224,2025-11-06_10:53:53.506828
AD   46,97.50%,Antonio Reynoso,(Working Families),2375,2025-11-06_10:53:53.506828
AD   46,97.50%,WRITE-IN,,52,2025-11-06_10:53:53.506828
AD   47,97.50%,Antonio Reynoso,(Democratic),7647,2025-11-06_10:53:53.506828
AD   47,97.50%,Janine Acquafredda,(Republican),7528,2025-11-06_10:53:53.506828
AD   47,97.50%,Janine Acquafredda,(Conservative),730,2025-11-06_10:53:53.506828
AD   47,97.50%,Antonio Reynoso,(Working Families),1265,2025-11-06_10:53:53.506828
AD   47,97.50%,WRITE-IN,,37,2025-11-06_10:53:53.506828
AD   48,98.82%,Antonio Reynoso,(Democratic),16796,2025-11-06_10:53:53.506828
AD   48,98.82%,Janine Acquafredda,(Republican),6503,2025-11-06_10:53:53.506828
AD   48,98.82%,Janine Acquafredda,(Conservative),1245,2025-11-06_10:53:53.506828
AD   48,98.82%,Antonio Reynoso,(Working Families),1832,2025-11-06_10:53:53.506828
AD   48,98.82%,WRITE-IN,,146,2025-11-06_10:53:53.506828
AD   49,96.30%,Antonio Reynoso,(Democratic),6240,2025-11-06_10:53:53.506828
AD   49,96.30%,Janine Acquafredda,(Republican),5522,2025-11-06_10:53:53.506828
AD   49,96.30%,Janine Acquafredda,(Conservative),636,2025-11-06_10:53:53.506828
AD   49,96.30%,Antonio Reynoso,(Working Families),1153,2025-11-06_10:53:53.506828
AD   49,96.30%,WRITE-IN,,32,2025-11-06_10:53:53.506828
AD   50,97.78%,Antonio Reynoso,(Democratic),23431,2025-11-06_10:53:53.506828
AD   50,97.78%,Janine Acquafredda,(Republican),4705,2025-11-06_10:53:53.506828
AD   50,97.78%,Janine Acquafredda,(Conservative),590,2025-11-06_10:53:53.506828
AD   50,97.78%,Antonio Reynoso,(Working Families),7789,2025-11-06_10:53:53.506828
AD   50,97.78%,WRITE-IN,,89,2025-11-06_10:53:53.506828
AD   51,98.95%,Antonio Reynoso,(Democratic),13758,2025-11-06_10:53:53.506828
AD   51,98.95%,Janine Acquafredda,(Republican),2952,2025-11-06_10:53:53.506828
AD   51,98.95%,Janine Acquafredda,(Conservative),427,2025-11-06_10:53:53.506828
AD   51,98.95%,Antonio Reynoso,(Working Families),5338,2025-11-06_10:53:53.506828
AD   51,98.95%,WRITE-IN,,59,2025-11-06_10:53:53.506828
AD   52,97.78%,Antonio Reynoso,(Democratic),38275,2025-11-06_10:53:53.506828
AD   52,97.78%,Janine Acquafredda,(Republican),4757,2025-11-06_10:53:53.506828
AD   52,97.78%,Janine Acquafredda,(Conservative),736,2025-11-06_10:53:53.506828
AD   52,97.78%,Antonio Reynoso,(Working Families),12062,2025-11-06_10:53:53.506828
AD   52,97.78%,WRITE-IN,,99,2025-11-06_10:53:53.506828
AD   53,97.22%,Antonio Reynoso,(Democratic),22672,2025-11-06_10:53:53.506828
AD   53,97.22%,Janine Acquafredda,(Republican),1973,2025-11-06_10:53:53.506828
AD   53,97.22%,Janine Acquafredda,(Conservative),321,2025-11-06_10:53:53.506828
AD   53,97.22%,Antonio Reynoso,(Working Families),8659,2025-11-06_10:53:53.506828
AD   53,97.22%,WRITE-IN,,39,2025-11-06_10:53:53.506828
AD   54,99.00%,Antonio Reynoso,(Democratic),14010,2025-11-06_10:53:53.506828
AD   54,99.00%,Janine Acquafredda,(Republican),1399,2025-11-06_10:53:53.506828
AD   54,99.00%,Janine Acquafredda,(Conservative),240,2025-11-06_10:53:53.506828
AD   54,99.00%,Antonio Reynoso,(Working Families),3572,2025-11-06_10:53:53.506828
AD   54,99.00%,WRITE-IN,,33,2025-11-06_10:53:53.506828
AD   55,96.77%,Antonio Reynoso,(Democratic),14930,2025-11-06_10:53:53.506828
