boro,reported,candidate,party,votes,scrape_time
Kings,97.36%,Antonio Reynoso,(Democratic),391722,2025-11-06_10:53:53.506828
Kings,97.36%,Janine Acquafredda,(Republican),90566,2025-11-06_10:53:53.506828
Kings,97.36%,Janine Acquafredda,(Conservative),11967,2025-11-06_10:53:53.506828
Kings,97.36%,Antonio Reynoso,(Working Families),99884,2025-11-06_10:53:53.506828
Kings,97.36%,WRITE-IN,,1212,2025-11-06_10:53:53.506828
Total,,Antonio Reynoso,(Democratic),391722,2025-11-06_10:53:53.506828
Total,,Janine Acquafredda,(Republican),90566,2025-11-06_10:53:53.506828
Total,,Janine Acquafredda,(Conservative),11967,2025-11-06_10:53:53.506828
Total,,Antonio Reynoso,(Working Families),99884,2025-11-06_10:53:53.506828
Total,,WRITE-IN,,1212,2025-11-06_10:53:53.506828
