ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,0.00%,Antonio Reynoso,(Democratic),352,AD 41,2025-11-04_22:10:28.313194
ED    1,0.00%,Janine Acquafredda,(Republican),22,AD 41,2025-11-04_22:10:28.313194
ED    1,0.00%,Janine Acquafredda,(Conservative),-,AD 41,2025-11-04_22:10:28.313194
ED    1,0.00%,Antonio Reynoso,(Working Families),20,AD 41,2025-11-04_22:10:28.313194
ED    1,0.00%,WRITE-IN,&nbsp,1,AD 41,2025-11-04_22:10:28.313194
ED    2,0.00%,Antonio Reynoso,(Democratic),395,AD 41,2025-11-04_22:10:28.313194
ED    2,0.00%,Janine Acquafredda,(Republican),20,AD 41,2025-11-04_22:10:28.313194
ED    2,0.00%,Janine Acquafredda,(Conservative),5,AD 41,2025-11-04_22:10:28.313194
ED    2,0.00%,Antonio Reynoso,(Working Families),23,AD 41,2025-11-04_22:10:28.313194
ED    2,0.00%,WRITE-IN,&nbsp,1,AD 41,2025-11-04_22:10:28.313194
ED    3,0.00%,Antonio Reynoso,(Democratic),250,AD 41,2025-11-04_22:10:28.313194
ED    3,0.00%,Janine Acquafredda,(Republican),19,AD 41,2025-11-04_22:10:28.313194
ED    3,0.00%,Janine Acquafredda,(Conservative),2,AD 41,2025-11-04_22:10:28.313194
ED    3,0.00%,Antonio Reynoso,(Working Families),11,AD 41,2025-11-04_22:10:28.313194
ED    3,0.00%,WRITE-IN,&nbsp,-,AD 41,2025-11-04_22:10:28.313194
ED    4,0.00%,Antonio Reynoso,(Democratic),498,AD 41,2025-11-04_22:10:28.313194
ED    4,0.00%,Janine Acquafredda,(Republican),21,AD 41,2025-11-04_22:10:28.313194
ED    4,0.00%,Janine Acquafredda,(Conservative),7,AD 41,2025-11-04_22:10:28.313194
ED    4,0.00%,Antonio Reynoso,(Working Families),63,AD 41,2025-11-04_22:10:28.313194
ED    4,0.00%,WRITE-IN,&nbsp,-,AD 41,2025-11-04_22:10:28.313194
ED    5,0.00%,Antonio Reynoso,(Democratic),344,AD 41,2025-11-04_22:10:28.313194
ED    5,0.00%,Janine Acquafredda,(Republican),14,AD 41,2025-11-04_22:10:28.313194
ED    5,0.00%,Janine Acquafredda,(Conservative),4,AD 41,2025-11-04_22:10:28.313194
ED    5,0.00%,Antonio Reynoso,(Working Families),17,AD 41,2025-11-04_22:10:28.313194
ED    5,0.00%,WRITE-IN,&nbsp,2,AD 41,2025-11-04_22:10:28.313194
ED    6,0.00%,Antonio Reynoso,(Democratic),377,AD 41,2025-11-04_22:10:28.313194
ED    6,0.00%,Janine Acquafredda,(Republican),22,AD 41,2025-11-04_22:10:28.313194
ED    6,0.00%,Janine Acquafredda,(Conservative),5,AD 41,2025-11-04_22:10:28.313194
ED    6,0.00%,Antonio Reynoso,(Working Families),28,AD 41,2025-11-04_22:10:28.313194
ED    6,0.00%,WRITE-IN,&nbsp,1,AD 41,2025-11-04_22:10:28.313194
ED    7,0.00%,Antonio Reynoso,(Democratic),404,AD 41,2025-11-04_22:10:28.313194
ED    7,0.00%,Janine Acquafredda,(Republican),20,AD 41,2025-11-04_22:10:28.313194
ED    7,0.00%,Janine Acquafredda,(Conservative),3,AD 41,2025-11-04_22:10:28.313194
ED    7,0.00%,Antonio Reynoso,(Working Families),21,AD 41,2025-11-04_22:10:28.313194
ED    7,0.00%,WRITE-IN,&nbsp,-,AD 41,2025-11-04_22:10:28.313194
ED    8,0.00%,Antonio Reynoso,(Democratic),339,AD 41,2025-11-04_22:10:28.313194
ED    8,0.00%,Janine Acquafredda,(Republican),13,AD 41,2025-11-04_22:10:28.313194
ED    8,0.00%,Janine Acquafredda,(Conservative),2,AD 41,2025-11-04_22:10:28.313194
ED    8,0.00%,Antonio Reynoso,(Working Families),22,AD 41,2025-11-04_22:10:28.313194
ED    8,0.00%,WRITE-IN,&nbsp,-,AD 41,2025-11-04_22:10:28.313194
ED    9,0.00%,Antonio Reynoso,(Democratic),402,AD 41,2025-11-04_22:10:28.313194
ED    9,0.00%,Janine Acquafredda,(Republican),17,AD 41,2025-11-04_22:10:28.313194
ED    9,0.00%,Janine Acquafredda,(Conservative),2,AD 41,2025-11-04_22:10:28.313194
ED    9,0.00%,Antonio Reynoso,(Working Families),27,AD 41,2025-11-04_22:10:28.313194
ED    9,0.00%,WRITE-IN,&nbsp,1,AD 41,2025-11-04_22:10:28.313194
ED   10,0.00%,Antonio Reynoso,(Democratic),260,AD 41,2025-11-04_22:10:28.313194
ED   10,0.00%,Janine Acquafredda,(Republican),10,AD 41,2025-11-04_22:10:28.313194
ED   10,0.00%,Janine Acquafredda,(Conservative),-,AD 41,2025-11-04_22:10:28.313194
ED   10,0.00%,Antonio Reynoso,(Working Families),20,AD 41,2025-11-04_22:10:28.313194
ED   10,0.00%,WRITE-IN,&nbsp,-,AD 41,2025-11-04_22:10:28.313194
ED   11,0.00%,Antonio Reynoso,(Democratic),383,AD 41,2025-11-04_22:10:28.313194
ED   11,0.00%,Janine Acquafredda,(Republican),20,AD 41,2025-11-04_22:10:28.313194
ED   11,0.00%,Janine Acquafredda,(Conservative),2,AD 41,2025-11-04_22:10:28.313194
ED   11,0.00%,Antonio Reynoso,(Working Families),26,AD 41,2025-11-04_22:10:28.313194
ED   11,0.00%,WRITE-IN,&nbsp,-,AD 41,2025-11-04_22:10:28.313194
ED   12,0.00%,Antonio Reynoso,(Democratic),310,AD 41,2025-11-04_22:10:28.313194
ED   12,0.00%,Janine Acquafredda,(Republican),42,AD 41,2025-11-04_22:10:28.313194
ED   12,0.00%,Janine Acquafredda,(Conservative),9,AD 41,2025-11-04_22:10:28.313194
ED   12,0.00%,Antonio Reynoso,(Working Families),18,AD 41,2025-11-04_22:10:28.313194
ED   12,0.00%,WRITE-IN,&nbsp,-,AD 41,2025-11-04_22:10:28.313194
ED   13,0.00%,Antonio Reynoso,(Democratic),244,AD 41,2025-11-04_22:10:28.313194
ED   13,0.00%,Janine Acquafredda,(Republican),16,AD 41,2025-11-04_22:10:28.313194
ED   13,0.00%,Janine Acquafredda,(Conservative),2,AD 41,2025-11-04_22:10:28.313194
ED   13,0.00%,Antonio Reynoso,(Working Families),25,AD 41,2025-11-04_22:10:28.313194
ED   13,0.00%,WRITE-IN,&nbsp,-,AD 41,2025-11-04_22:10:28.313194
ED   14,0.00%,Antonio Reynoso,(Democratic),477,AD 41,2025-11-04_22:10:28.313194
ED   14,0.00%,Janine Acquafredda,(Republican),129,AD 41,2025-11-04_22:10:28.313194
ED   14,0.00%,Janine Acquafredda,(Conservative),24,AD 41,2025-11-04_22:10:28.313194
ED   14,0.00%,Antonio Reynoso,(Working Families),50,AD 41,2025-11-04_22:10:28.313194
ED   14,0.00%,WRITE-IN,&nbsp,1,AD 41,2025-11-04_22:10:28.313194
ED   15,0.00%,Antonio Reynoso,(Democratic),143,AD 41,2025-11-04_22:10:28.313194
ED   15,0.00%,Janine Acquafredda,(Republican),42,AD 41,2025-11-04_22:10:28.313194
ED   15,0.00%,Janine Acquafredda,(Conservative),10,AD 41,2025-11-04_22:10:28.313194
ED   15,0.00%,Antonio Reynoso,(Working Families),11,AD 41,2025-11-04_22:10:28.313194
ED   15,0.00%,WRITE-IN,&nbsp,-,AD 41,2025-11-04_22:10:28.313194
ED   16,0.00%,Antonio Reynoso,(Democratic),240,AD 41,2025-11-04_22:10:28.313194
ED   16,0.00%,Janine Acquafredda,(Republican),52,AD 41,2025-11-04_22:10:28.313194
ED   16,0.00%,Janine Acquafredda,(Conservative),13,AD 41,2025-11-04_22:10:28.313194
ED   16,0.00%,Antonio Reynoso,(Working Families),28,AD 41,2025-11-04_22:10:28.313194
ED   16,0.00%,WRITE-IN,&nbsp,-,AD 41,2025-11-04_22:10:28.313194
ED   17,0.00%,Antonio Reynoso,(Democratic),334,AD 41,2025-11-04_22:10:28.313194
ED   17,0.00%,Janine Acquafredda,(Republican),10,AD 41,2025-11-04_22:10:28.313194
ED   17,0.00%,Janine Acquafredda,(Conservative),7,AD 41,2025-11-04_22:10:28.313194
ED   17,0.00%,Antonio Reynoso,(Working Families),22,AD 41,2025-11-04_22:10:28.313194
ED   17,0.00%,WRITE-IN,&nbsp,2,AD 41,2025-11-04_22:10:28.313194
ED   18,0.00%,Antonio Reynoso,(Democratic),288,AD 41,2025-11-04_22:10:28.313194
