AD_num,reported,candidate,party,votes,scrape_time
AD   37,66.67%,Brad Hoylman-Sigal,(Democratic),0,2025-11-06_10:53:50.712822
AD   37,66.67%,Seson Adams,(Republican),0,2025-11-06_10:53:50.712822
AD   37,66.67%,Brad Hoylman-Sigal,(Working Families),0,2025-11-06_10:53:50.712822
AD   37,66.67%,Rolando Gomez,(The Unity ),0,2025-11-06_10:53:50.712822
AD   37,66.67%,WRITE-IN,,0,2025-11-06_10:53:50.712822
AD   61,99.00%,Brad Hoylman-Sigal,(Democratic),4026,2025-11-06_10:53:50.712822
AD   61,99.00%,Seson Adams,(Republican),2078,2025-11-06_10:53:50.712822
AD   61,99.00%,Brad Hoylman-Sigal,(Working Families),413,2025-11-06_10:53:50.712822
AD   61,99.00%,Rolando Gomez,(The Unity ),94,2025-11-06_10:53:50.712822
AD   61,99.00%,WRITE-IN,,14,2025-11-06_10:53:50.712822
AD   65,99.00%,Brad Hoylman-Sigal,(Democratic),20922,2025-11-06_10:53:50.712822
AD   65,99.00%,Seson Adams,(Republican),5600,2025-11-06_10:53:50.712822
AD   65,99.00%,Brad Hoylman-Sigal,(Working Families),4230,2025-11-06_10:53:50.712822
AD   65,99.00%,Rolando Gomez,(The Unity ),834,2025-11-06_10:53:50.712822
AD   65,99.00%,WRITE-IN,,58,2025-11-06_10:53:50.712822
AD   66,99.00%,Brad Hoylman-Sigal,(Democratic),32107,2025-11-06_10:53:50.712822
AD   66,99.00%,Seson Adams,(Republican),8810,2025-11-06_10:53:50.712822
AD   66,99.00%,Brad Hoylman-Sigal,(Working Families),4484,2025-11-06_10:53:50.712822
AD   66,99.00%,Rolando Gomez,(The Unity ),552,2025-11-06_10:53:50.712822
AD   66,99.00%,WRITE-IN,,69,2025-11-06_10:53:50.712822
AD   67,97.37%,Brad Hoylman-Sigal,(Democratic),35183,2025-11-06_10:53:50.712822
AD   67,97.37%,Seson Adams,(Republican),7861,2025-11-06_10:53:50.712822
AD   67,97.37%,Brad Hoylman-Sigal,(Working Families),4091,2025-11-06_10:53:50.712822
AD   67,97.37%,Rolando Gomez,(The Unity ),663,2025-11-06_10:53:50.712822
AD   67,97.37%,WRITE-IN,,96,2025-11-06_10:53:50.712822
AD   68,97.14%,Brad Hoylman-Sigal,(Democratic),20932,2025-11-06_10:53:50.712822
AD   68,97.14%,Seson Adams,(Republican),3612,2025-11-06_10:53:50.712822
AD   68,97.14%,Brad Hoylman-Sigal,(Working Families),3473,2025-11-06_10:53:50.712822
AD   68,97.14%,Rolando Gomez,(The Unity ),1274,2025-11-06_10:53:50.712822
AD   68,97.14%,WRITE-IN,,53,2025-11-06_10:53:50.712822
AD   69,97.06%,Brad Hoylman-Sigal,(Democratic),33955,2025-11-06_10:53:50.712822
AD   69,97.06%,Seson Adams,(Republican),4764,2025-11-06_10:53:50.712822
AD   69,97.06%,Brad Hoylman-Sigal,(Working Families),6093,2025-11-06_10:53:50.712822
AD   69,97.06%,Rolando Gomez,(The Unity ),794,2025-11-06_10:53:50.712822
AD   69,97.06%,WRITE-IN,,72,2025-11-06_10:53:50.712822
AD   70,93.40%,Brad Hoylman-Sigal,(Democratic),24889,2025-11-06_10:53:50.712822
AD   70,93.40%,Seson Adams,(Republican),1796,2025-11-06_10:53:50.712822
AD   70,93.40%,Brad Hoylman-Sigal,(Working Families),5325,2025-11-06_10:53:50.712822
AD   70,93.40%,Rolando Gomez,(The Unity ),939,2025-11-06_10:53:50.712822
AD   70,93.40%,WRITE-IN,,61,2025-11-06_10:53:50.712822
AD   71,95.65%,Brad Hoylman-Sigal,(Democratic),22940,2025-11-06_10:53:50.712822
AD   71,95.65%,Seson Adams,(Republican),2369,2025-11-06_10:53:50.712822
AD   71,95.65%,Brad Hoylman-Sigal,(Working Families),5884,2025-11-06_10:53:50.712822
AD   71,95.65%,Rolando Gomez,(The Unity ),1134,2025-11-06_10:53:50.712822
AD   71,95.65%,WRITE-IN,,58,2025-11-06_10:53:50.712822
AD   72,97.87%,Brad Hoylman-Sigal,(Democratic),15014,2025-11-06_10:53:50.712822
AD   72,97.87%,Seson Adams,(Republican),2759,2025-11-06_10:53:50.712822
AD   72,97.87%,Brad Hoylman-Sigal,(Working Families),3550,2025-11-06_10:53:50.712822
AD   72,97.87%,Rolando Gomez,(The Unity ),1310,2025-11-06_10:53:50.712822
AD   72,97.87%,WRITE-IN,,53,2025-11-06_10:53:50.712822
AD   73,95.58%,Brad Hoylman-Sigal,(Democratic),31018,2025-11-06_10:53:50.712822
AD   73,95.58%,Seson Adams,(Republican),14946,2025-11-06_10:53:50.712822
AD   73,95.58%,Brad Hoylman-Sigal,(Working Families),2436,2025-11-06_10:53:50.712822
AD   73,95.58%,Rolando Gomez,(The Unity ),600,2025-11-06_10:53:50.712822
AD   73,95.58%,WRITE-IN,,78,2025-11-06_10:53:50.712822
AD   74,98.29%,Brad Hoylman-Sigal,(Democratic),29126,2025-11-06_10:53:50.712822
AD   74,98.29%,Seson Adams,(Republican),7302,2025-11-06_10:53:50.712822
AD   74,98.29%,Brad Hoylman-Sigal,(Working Families),4863,2025-11-06_10:53:50.712822
AD   74,98.29%,Rolando Gomez,(The Unity ),790,2025-11-06_10:53:50.712822
