boro,reported,candidate,party,votes,scrape_time
New York,97.98%,Brad Hoylman-Sigal,(Democratic),333495,2025-11-05_01:51:59.345262
New York,97.98%,Seson Adams,(Republican),81376,2025-11-05_01:51:59.345262
New York,97.98%,Brad Hoylman-Sigal,(Working Families),52444,2025-11-05_01:51:59.345262
New York,97.98%,Rolando Gomez,(The Unity ),10192,2025-11-05_01:51:59.345262
New York,97.98%,WRITE-IN,,861,2025-11-05_01:51:59.345262
Total,,Brad Hoylman-Sigal,(Democratic),333495,2025-11-05_01:51:59.345262
Total,,Seson Adams,(Republican),81376,2025-11-05_01:51:59.345262
Total,,Brad Hoylman-Sigal,(Working Families),52444,2025-11-05_01:51:59.345262
Total,,Rolando Gomez,(The Unity ),10192,2025-11-05_01:51:59.345262
Total,,WRITE-IN,,861,2025-11-05_01:51:59.345262
