AD_num,reported,candidate,party,votes,scrape_time
AD   23,97.98%,Donovan J. Richards Jr.,(Democratic),14752,2025-11-05_01:52:04.054486
AD   23,97.98%,Henry P. Ikezi,(Republican),16506,2025-11-05_01:52:04.054486
AD   23,97.98%,Henry P. Ikezi,(United Alliance),392,2025-11-05_01:52:04.054486
AD   23,97.98%,WRITE-IN,,84,2025-11-05_01:52:04.054486
AD   24,97.98%,Donovan J. Richards Jr.,(Democratic),18176,2025-11-05_01:52:04.054486
AD   24,97.98%,Henry P. Ikezi,(Republican),7024,2025-11-05_01:52:04.054486
AD   24,97.98%,Henry P. Ikezi,(United Alliance),366,2025-11-05_01:52:04.054486
AD   24,97.98%,WRITE-IN,,50,2025-11-05_01:52:04.054486
AD   25,97.98%,Donovan J. Richards Jr.,(Democratic),12879,2025-11-05_01:52:04.054486
AD   25,97.98%,Henry P. Ikezi,(Republican),8994,2025-11-05_01:52:04.054486
AD   25,97.98%,Henry P. Ikezi,(United Alliance),336,2025-11-05_01:52:04.054486
AD   25,97.98%,WRITE-IN,,62,2025-11-05_01:52:04.054486
AD   26,97.98%,Donovan J. Richards Jr.,(Democratic),18754,2025-11-05_01:52:04.054486
AD   26,97.98%,Henry P. Ikezi,(Republican),14323,2025-11-05_01:52:04.054486
AD   26,97.98%,Henry P. Ikezi,(United Alliance),350,2025-11-05_01:52:04.054486
AD   26,97.98%,WRITE-IN,,51,2025-11-05_01:52:04.054486
AD   27,97.98%,Donovan J. Richards Jr.,(Democratic),12549,2025-11-05_01:52:04.054486
AD   27,97.98%,Henry P. Ikezi,(Republican),12486,2025-11-05_01:52:04.054486
AD   27,97.98%,Henry P. Ikezi,(United Alliance),369,2025-11-05_01:52:04.054486
AD   27,97.98%,WRITE-IN,,64,2025-11-05_01:52:04.054486
AD   28,97.98%,Donovan J. Richards Jr.,(Democratic),22190,2025-11-05_01:52:04.054486
AD   28,97.98%,Henry P. Ikezi,(Republican),14523,2025-11-05_01:52:04.054486
AD   28,97.98%,Henry P. Ikezi,(United Alliance),479,2025-11-05_01:52:04.054486
AD   28,97.98%,WRITE-IN,,60,2025-11-05_01:52:04.054486
AD   29,97.98%,Donovan J. Richards Jr.,(Democratic),22928,2025-11-05_01:52:04.054486
AD   29,97.98%,Henry P. Ikezi,(Republican),1835,2025-11-05_01:52:04.054486
AD   29,97.98%,Henry P. Ikezi,(United Alliance),362,2025-11-05_01:52:04.054486
AD   29,97.98%,WRITE-IN,,31,2025-11-05_01:52:04.054486
AD   30,97.98%,Donovan J. Richards Jr.,(Democratic),15591,2025-11-05_01:52:04.054486
AD   30,97.98%,Henry P. Ikezi,(Republican),6090,2025-11-05_01:52:04.054486
AD   30,97.98%,Henry P. Ikezi,(United Alliance),391,2025-11-05_01:52:04.054486
AD   30,97.98%,WRITE-IN,,65,2025-11-05_01:52:04.054486
AD   31,97.98%,Donovan J. Richards Jr.,(Democratic),14870,2025-11-05_01:52:04.054486
AD   31,97.98%,Henry P. Ikezi,(Republican),2008,2025-11-05_01:52:04.054486
AD   31,97.98%,Henry P. Ikezi,(United Alliance),253,2025-11-05_01:52:04.054486
AD   31,97.98%,WRITE-IN,,29,2025-11-05_01:52:04.054486
AD   32,97.98%,Donovan J. Richards Jr.,(Democratic),19594,2025-11-05_01:52:04.054486
AD   32,97.98%,Henry P. Ikezi,(Republican),1562,2025-11-05_01:52:04.054486
AD   32,97.98%,Henry P. Ikezi,(United Alliance),318,2025-11-05_01:52:04.054486
AD   32,97.98%,WRITE-IN,,23,2025-11-05_01:52:04.054486
AD   33,97.98%,Donovan J. Richards Jr.,(Democratic),24314,2025-11-05_01:52:04.054486
AD   33,97.98%,Henry P. Ikezi,(Republican),4088,2025-11-05_01:52:04.054486
AD   33,97.98%,Henry P. Ikezi,(United Alliance),408,2025-11-05_01:52:04.054486
AD   33,97.98%,WRITE-IN,,32,2025-11-05_01:52:04.054486
AD   34,97.98%,Donovan J. Richards Jr.,(Democratic),19008,2025-11-05_01:52:04.054486
AD   34,97.98%,Henry P. Ikezi,(Republican),6137,2025-11-05_01:52:04.054486
AD   34,97.98%,Henry P. Ikezi,(United Alliance),409,2025-11-05_01:52:04.054486
AD   34,97.98%,WRITE-IN,,76,2025-11-05_01:52:04.054486
AD   35,97.98%,Donovan J. Richards Jr.,(Democratic),11856,2025-11-05_01:52:04.054486
AD   35,97.98%,Henry P. Ikezi,(Republican),4844,2025-11-05_01:52:04.054486
AD   35,97.98%,Henry P. Ikezi,(United Alliance),335,2025-11-05_01:52:04.054486
AD   35,97.98%,WRITE-IN,,19,2025-11-05_01:52:04.054486
AD   36,97.98%,Donovan J. Richards Jr.,(Democratic),28429,2025-11-05_01:52:04.054486
