ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,0.00%,Michael T. Colombo,(Democratic),341,AD 61,2025-11-04_22:10:33.090663
ED    1,0.00%,Vito Fossella,(Republican),110,AD 61,2025-11-04_22:10:33.090663
ED    1,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:10:33.090663
ED    2,0.00%,Michael T. Colombo,(Democratic),337,AD 61,2025-11-04_22:10:33.090663
ED    2,0.00%,Vito Fossella,(Republican),124,AD 61,2025-11-04_22:10:33.090663
ED    2,0.00%,WRITE-IN,&nbsp,2,AD 61,2025-11-04_22:10:33.090663
ED    3,0.00%,Michael T. Colombo,(Democratic),335,AD 61,2025-11-04_22:10:33.090663
ED    3,0.00%,Vito Fossella,(Republican),37,AD 61,2025-11-04_22:10:33.090663
ED    3,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:10:33.090663
ED    4,0.00%,Michael T. Colombo,(Democratic),358,AD 61,2025-11-04_22:10:33.090663
ED    4,0.00%,Vito Fossella,(Republican),49,AD 61,2025-11-04_22:10:33.090663
ED    4,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:10:33.090663
ED    5,0.00%,Michael T. Colombo,(Democratic),274,AD 61,2025-11-04_22:10:33.090663
ED    5,0.00%,Vito Fossella,(Republican),227,AD 61,2025-11-04_22:10:33.090663
ED    5,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:10:33.090663
ED    6,0.00%,Michael T. Colombo,(Democratic),233,AD 61,2025-11-04_22:10:33.090663
ED    6,0.00%,Vito Fossella,(Republican),40,AD 61,2025-11-04_22:10:33.090663
ED    6,0.00%,WRITE-IN,&nbsp,2,AD 61,2025-11-04_22:10:33.090663
ED    7,0.00%,Michael T. Colombo,(Democratic),273,AD 61,2025-11-04_22:10:33.090663
ED    7,0.00%,Vito Fossella,(Republican),100,AD 61,2025-11-04_22:10:33.090663
ED    7,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:10:33.090663
ED    8,0.00%,Michael T. Colombo,(Democratic),398,AD 61,2025-11-04_22:10:33.090663
ED    8,0.00%,Vito Fossella,(Republican),129,AD 61,2025-11-04_22:10:33.090663
ED    8,0.00%,WRITE-IN,&nbsp,1,AD 61,2025-11-04_22:10:33.090663
ED    9,0.00%,Michael T. Colombo,(Democratic),306,AD 61,2025-11-04_22:10:33.090663
ED    9,0.00%,Vito Fossella,(Republican),157,AD 61,2025-11-04_22:10:33.090663
ED    9,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:10:33.090663
ED   10,0.00%,Michael T. Colombo,(Democratic),288,AD 61,2025-11-04_22:10:33.090663
ED   10,0.00%,Vito Fossella,(Republican),123,AD 61,2025-11-04_22:10:33.090663
ED   10,0.00%,WRITE-IN,&nbsp,3,AD 61,2025-11-04_22:10:33.090663
ED   11,0.00%,Michael T. Colombo,(Democratic),473,AD 61,2025-11-04_22:10:33.090663
ED   11,0.00%,Vito Fossella,(Republican),215,AD 61,2025-11-04_22:10:33.090663
ED   11,0.00%,WRITE-IN,&nbsp,3,AD 61,2025-11-04_22:10:33.090663
ED   12,0.00%,Michael T. Colombo,(Democratic),505,AD 61,2025-11-04_22:10:33.090663
ED   12,0.00%,Vito Fossella,(Republican),167,AD 61,2025-11-04_22:10:33.090663
ED   12,0.00%,WRITE-IN,&nbsp,1,AD 61,2025-11-04_22:10:33.090663
ED   13,0.00%,Michael T. Colombo,(Democratic),470,AD 61,2025-11-04_22:10:33.090663
ED   13,0.00%,Vito Fossella,(Republican),102,AD 61,2025-11-04_22:10:33.090663
ED   13,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:10:33.090663
ED   14,0.00%,Michael T. Colombo,(Democratic),191,AD 61,2025-11-04_22:10:33.090663
ED   14,0.00%,Vito Fossella,(Republican),35,AD 61,2025-11-04_22:10:33.090663
ED   14,0.00%,WRITE-IN,&nbsp,1,AD 61,2025-11-04_22:10:33.090663
ED   15,0.00%,Michael T. Colombo,(Democratic),324,AD 61,2025-11-04_22:10:33.090663
ED   15,0.00%,Vito Fossella,(Republican),63,AD 61,2025-11-04_22:10:33.090663
ED   15,0.00%,WRITE-IN,&nbsp,4,AD 61,2025-11-04_22:10:33.090663
ED   16,0.00%,Michael T. Colombo,(Democratic),230,AD 61,2025-11-04_22:10:33.090663
ED   16,0.00%,Vito Fossella,(Republican),61,AD 61,2025-11-04_22:10:33.090663
ED   16,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:10:33.090663
ED   17,0.00%,Michael T. Colombo,(Democratic),201,AD 61,2025-11-04_22:10:33.090663
ED   17,0.00%,Vito Fossella,(Republican),333,AD 61,2025-11-04_22:10:33.090663
ED   17,0.00%,WRITE-IN,&nbsp,3,AD 61,2025-11-04_22:10:33.090663
ED   18,0.00%,Michael T. Colombo,(Democratic),253,AD 61,2025-11-04_22:10:33.090663
ED   18,0.00%,Vito Fossella,(Republican),100,AD 61,2025-11-04_22:10:33.090663
ED   18,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:10:33.090663
ED   19,0.00%,Michael T. Colombo,(Democratic),280,AD 61,2025-11-04_22:10:33.090663
ED   19,0.00%,Vito Fossella,(Republican),139,AD 61,2025-11-04_22:10:33.090663
ED   19,0.00%,WRITE-IN,&nbsp,3,AD 61,2025-11-04_22:10:33.090663
ED   20,0.00%,Michael T. Colombo,(Democratic),289,AD 61,2025-11-04_22:10:33.090663
ED   20,0.00%,Vito Fossella,(Republican),136,AD 61,2025-11-04_22:10:33.090663
ED   20,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:10:33.090663
ED   21,0.00%,Michael T. Colombo,(Democratic),368,AD 61,2025-11-04_22:10:33.090663
ED   21,0.00%,Vito Fossella,(Republican),365,AD 61,2025-11-04_22:10:33.090663
ED   21,0.00%,WRITE-IN,&nbsp,3,AD 61,2025-11-04_22:10:33.090663
ED   22,0.00%,Michael T. Colombo,(Democratic),262,AD 61,2025-11-04_22:10:33.090663
ED   22,0.00%,Vito Fossella,(Republican),169,AD 61,2025-11-04_22:10:33.090663
ED   22,0.00%,WRITE-IN,&nbsp,2,AD 61,2025-11-04_22:10:33.090663
ED   23,0.00%,Michael T. Colombo,(Democratic),155,AD 61,2025-11-04_22:10:33.090663
ED   23,0.00%,Vito Fossella,(Republican),50,AD 61,2025-11-04_22:10:33.090663
ED   23,0.00%,WRITE-IN,&nbsp,2,AD 61,2025-11-04_22:10:33.090663
ED   24,0.00%,Michael T. Colombo,(Democratic),109,AD 61,2025-11-04_22:10:33.090663
ED   24,0.00%,Vito Fossella,(Republican),30,AD 61,2025-11-04_22:10:33.090663
ED   24,0.00%,WRITE-IN,&nbsp,1,AD 61,2025-11-04_22:10:33.090663
ED   25,0.00%,Michael T. Colombo,(Democratic),230,AD 61,2025-11-04_22:10:33.090663
ED   25,0.00%,Vito Fossella,(Republican),135,AD 61,2025-11-04_22:10:33.090663
ED   25,0.00%,WRITE-IN,&nbsp,5,AD 61,2025-11-04_22:10:33.090663
ED   26,0.00%,Michael T. Colombo,(Democratic),184,AD 61,2025-11-04_22:10:33.090663
