AD_num,reported,candidate,party,votes,scrape_time
AD   23,94.70%,Mark D. Levine,(Democratic),16025,2025-11-06_10:53:33.379422
AD   23,94.70%,Peter Kefalas,(Republican),14447,2025-11-06_10:53:33.379422
AD   23,94.70%,Peter Kefalas,(Conservative),1615,2025-11-06_10:53:33.379422
AD   23,94.70%,Ismael Malave Perez,(The Unity ),540,2025-11-06_10:53:33.379422
AD   23,94.70%,WRITE-IN,,51,2025-11-06_10:53:33.379422
AD   24,95.83%,Mark D. Levine,(Democratic),18456,2025-11-06_10:53:33.379422
AD   24,95.83%,Peter Kefalas,(Republican),5700,2025-11-06_10:53:33.379422
AD   24,95.83%,Peter Kefalas,(Conservative),685,2025-11-06_10:53:33.379422
AD   24,95.83%,Ismael Malave Perez,(The Unity ),716,2025-11-06_10:53:33.379422
AD   24,95.83%,WRITE-IN,,46,2025-11-06_10:53:33.379422
AD   25,99.00%,Mark D. Levine,(Democratic),13509,2025-11-06_10:53:33.379422
AD   25,99.00%,Peter Kefalas,(Republican),7567,2025-11-06_10:53:33.379422
AD   25,99.00%,Peter Kefalas,(Conservative),830,2025-11-06_10:53:33.379422
AD   25,99.00%,Ismael Malave Perez,(The Unity ),521,2025-11-06_10:53:33.379422
AD   25,99.00%,WRITE-IN,,48,2025-11-06_10:53:33.379422
AD   26,99.00%,Mark D. Levine,(Democratic),18365,2025-11-06_10:53:33.379422
AD   26,99.00%,Peter Kefalas,(Republican),13422,2025-11-06_10:53:33.379422
AD   26,99.00%,Peter Kefalas,(Conservative),1579,2025-11-06_10:53:33.379422
AD   26,99.00%,Ismael Malave Perez,(The Unity ),551,2025-11-06_10:53:33.379422
AD   26,99.00%,WRITE-IN,,45,2025-11-06_10:53:33.379422
AD   27,96.72%,Mark D. Levine,(Democratic),15286,2025-11-06_10:53:33.379422
AD   27,96.72%,Peter Kefalas,(Republican),9082,2025-11-06_10:53:33.379422
AD   27,96.72%,Peter Kefalas,(Conservative),944,2025-11-06_10:53:33.379422
AD   27,96.72%,Ismael Malave Perez,(The Unity ),490,2025-11-06_10:53:33.379422
AD   27,96.72%,WRITE-IN,,42,2025-11-06_10:53:33.379422
AD   28,99.00%,Mark D. Levine,(Democratic),23186,2025-11-06_10:53:33.379422
AD   28,99.00%,Peter Kefalas,(Republican),12352,2025-11-06_10:53:33.379422
AD   28,99.00%,Peter Kefalas,(Conservative),1321,2025-11-06_10:53:33.379422
AD   28,99.00%,Ismael Malave Perez,(The Unity ),738,2025-11-06_10:53:33.379422
AD   28,99.00%,WRITE-IN,,52,2025-11-06_10:53:33.379422
AD   29,94.92%,Mark D. Levine,(Democratic),22345,2025-11-06_10:53:33.379422
AD   29,94.92%,Peter Kefalas,(Republican),1549,2025-11-06_10:53:33.379422
AD   29,94.92%,Peter Kefalas,(Conservative),296,2025-11-06_10:53:33.379422
AD   29,94.92%,Ismael Malave Perez,(The Unity ),591,2025-11-06_10:53:33.379422
AD   29,94.92%,WRITE-IN,,25,2025-11-06_10:53:33.379422
AD   30,96.12%,Mark D. Levine,(Democratic),15070,2025-11-06_10:53:33.379422
AD   30,96.12%,Peter Kefalas,(Republican),5654,2025-11-06_10:53:33.379422
AD   30,96.12%,Peter Kefalas,(Conservative),690,2025-11-06_10:53:33.379422
AD   30,96.12%,Ismael Malave Perez,(The Unity ),785,2025-11-06_10:53:33.379422
AD   30,96.12%,WRITE-IN,,65,2025-11-06_10:53:33.379422
AD   31,96.49%,Mark D. Levine,(Democratic),14274,2025-11-06_10:53:33.379422
AD   31,96.49%,Peter Kefalas,(Republican),1790,2025-11-06_10:53:33.379422
AD   31,96.49%,Peter Kefalas,(Conservative),314,2025-11-06_10:53:33.379422
AD   31,96.49%,Ismael Malave Perez,(The Unity ),468,2025-11-06_10:53:33.379422
AD   31,96.49%,WRITE-IN,,25,2025-11-06_10:53:33.379422
AD   32,92.31%,Mark D. Levine,(Democratic),19003,2025-11-06_10:53:33.379422
AD   32,92.31%,Peter Kefalas,(Republican),1307,2025-11-06_10:53:33.379422
AD   32,92.31%,Peter Kefalas,(Conservative),266,2025-11-06_10:53:33.379422
AD   32,92.31%,Ismael Malave Perez,(The Unity ),524,2025-11-06_10:53:33.379422
AD   32,92.31%,WRITE-IN,,27,2025-11-06_10:53:33.379422
AD   33,95.70%,Mark D. Levine,(Democratic),23752,2025-11-06_10:53:33.379422
AD   33,95.70%,Peter Kefalas,(Republican),3630,2025-11-06_10:53:33.379422
AD   33,95.70%,Peter Kefalas,(Conservative),569,2025-11-06_10:53:33.379422
AD   33,95.70%,Ismael Malave Perez,(The Unity ),669,2025-11-06_10:53:33.379422
AD   33,95.70%,WRITE-IN,,30,2025-11-06_10:53:33.379422
AD   34,97.00%,Mark D. Levine,(Democratic),18422,2025-11-06_10:53:33.379422
AD   34,97.00%,Peter Kefalas,(Republican),5784,2025-11-06_10:53:33.379422
AD   34,97.00%,Peter Kefalas,(Conservative),745,2025-11-06_10:53:33.379422
AD   34,97.00%,Ismael Malave Perez,(The Unity ),772,2025-11-06_10:53:33.379422
AD   34,97.00%,WRITE-IN,,65,2025-11-06_10:53:33.379422
AD   35,99.00%,Mark D. Levine,(Democratic),12009,2025-11-06_10:53:33.379422
AD   35,99.00%,Peter Kefalas,(Republican),3928,2025-11-06_10:53:33.379422
AD   35,99.00%,Peter Kefalas,(Conservative),526,2025-11-06_10:53:33.379422
AD   35,99.00%,Ismael Malave Perez,(The Unity ),624,2025-11-06_10:53:33.379422
AD   35,99.00%,WRITE-IN,,19,2025-11-06_10:53:33.379422
AD   36,96.08%,Mark D. Levine,(Democratic),27808,2025-11-06_10:53:33.379422
AD   36,96.08%,Peter Kefalas,(Republican),5055,2025-11-06_10:53:33.379422
AD   36,96.08%,Peter Kefalas,(Conservative),751,2025-11-06_10:53:33.379422
