boro,reported,candidate,party,votes,scrape_time
New York,0.00%,Mark D. Levine,(Democratic),383043,2025-11-04_22:10:04.548591
New York,0.00%,Peter Kefalas,(Republican),75018,2025-11-04_22:10:04.548591
New York,0.00%,Peter Kefalas,(Conservative),7940,2025-11-04_22:10:04.548591
New York,0.00%,Ismael Malave Perez,(The Unity ),8656,2025-11-04_22:10:04.548591
New York,0.00%,WRITE-IN,,909,2025-11-04_22:10:04.548591
Bronx,0.00%,Mark D. Levine,(Democratic),146739,2025-11-04_22:10:04.548591
Bronx,0.00%,Peter Kefalas,(Republican),27573,2025-11-04_22:10:04.548591
Bronx,0.00%,Peter Kefalas,(Conservative),4068,2025-11-04_22:10:04.548591
Bronx,0.00%,Ismael Malave Perez,(The Unity ),6732,2025-11-04_22:10:04.548591
Bronx,0.00%,WRITE-IN,,322,2025-11-04_22:10:04.548591
Kings,0.00%,Mark D. Levine,(Democratic),466124,2025-11-04_22:10:04.548591
Kings,0.00%,Peter Kefalas,(Republican),81626,2025-11-04_22:10:04.548591
Kings,0.00%,Peter Kefalas,(Conservative),11016,2025-11-04_22:10:04.548591
Kings,0.00%,Ismael Malave Perez,(The Unity ),9850,2025-11-04_22:10:04.548591
Kings,0.00%,WRITE-IN,,1443,2025-11-04_22:10:04.548591
Queens,0.00%,Mark D. Levine,(Democratic),316041,2025-11-04_22:10:04.548591
Queens,0.00%,Peter Kefalas,(Republican),111826,2025-11-04_22:10:04.548591
Queens,0.00%,Peter Kefalas,(Conservative),13488,2025-11-04_22:10:04.548591
Queens,0.00%,Ismael Malave Perez,(The Unity ),11319,2025-11-04_22:10:04.548591
Queens,0.00%,WRITE-IN,,853,2025-11-04_22:10:04.548591
Richmond,0.00%,Mark D. Levine,(Democratic),51601,2025-11-04_22:10:04.548591
Richmond,0.00%,Peter Kefalas,(Republican),78267,2025-11-04_22:10:04.548591
Richmond,0.00%,Peter Kefalas,(Conservative),5818,2025-11-04_22:10:04.548591
Richmond,0.00%,Ismael Malave Perez,(The Unity ),1936,2025-11-04_22:10:04.548591
Richmond,0.00%,WRITE-IN,,168,2025-11-04_22:10:04.548591
Total,,Mark D. Levine,(Democratic),1363548,2025-11-04_22:10:04.548591
Total,,Peter Kefalas,(Republican),374310,2025-11-04_22:10:04.548591
Total,,Peter Kefalas,(Conservative),42330,2025-11-04_22:10:04.548591
Total,,Ismael Malave Perez,(The Unity ),38493,2025-11-04_22:10:04.548591
Total,,WRITE-IN,,3695,2025-11-04_22:10:04.548591
