ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,97.98%,Mark D. Levine,(Democratic),197,AD 23,2025-11-05_01:51:42.65791
ED    1,97.98%,Peter Kefalas,(Republican),692,AD 23,2025-11-05_01:51:42.65791
ED    1,97.98%,Peter Kefalas,(Conservative),153,AD 23,2025-11-05_01:51:42.65791
ED    1,97.98%,Ismael Malave Perez,(The Unity ),6,AD 23,2025-11-05_01:51:42.65791
ED    1,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:51:42.65791
ED    2,97.98%,Mark D. Levine,(Democratic),201,AD 23,2025-11-05_01:51:42.65791
ED    2,97.98%,Peter Kefalas,(Republican),702,AD 23,2025-11-05_01:51:42.65791
ED    2,97.98%,Peter Kefalas,(Conservative),110,AD 23,2025-11-05_01:51:42.65791
ED    2,97.98%,Ismael Malave Perez,(The Unity ),8,AD 23,2025-11-05_01:51:42.65791
ED    2,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:51:42.65791
ED    3,97.98%,Mark D. Levine,(Democratic),82,AD 23,2025-11-05_01:51:42.65791
ED    3,97.98%,Peter Kefalas,(Republican),250,AD 23,2025-11-05_01:51:42.65791
ED    3,97.98%,Peter Kefalas,(Conservative),26,AD 23,2025-11-05_01:51:42.65791
ED    3,97.98%,Ismael Malave Perez,(The Unity ),1,AD 23,2025-11-05_01:51:42.65791
ED    3,97.98%,WRITE-IN,&nbsp,1,AD 23,2025-11-05_01:51:42.65791
ED    4,97.98%,Mark D. Levine,(Democratic),296,AD 23,2025-11-05_01:51:42.65791
ED    4,97.98%,Peter Kefalas,(Republican),662,AD 23,2025-11-05_01:51:42.65791
ED    4,97.98%,Peter Kefalas,(Conservative),75,AD 23,2025-11-05_01:51:42.65791
ED    4,97.98%,Ismael Malave Perez,(The Unity ),2,AD 23,2025-11-05_01:51:42.65791
ED    4,97.98%,WRITE-IN,&nbsp,1,AD 23,2025-11-05_01:51:42.65791
ED    5,97.98%,Mark D. Levine,(Democratic),253,AD 23,2025-11-05_01:51:42.65791
ED    5,97.98%,Peter Kefalas,(Republican),700,AD 23,2025-11-05_01:51:42.65791
ED    5,97.98%,Peter Kefalas,(Conservative),76,AD 23,2025-11-05_01:51:42.65791
ED    5,97.98%,Ismael Malave Perez,(The Unity ),7,AD 23,2025-11-05_01:51:42.65791
ED    5,97.98%,WRITE-IN,&nbsp,1,AD 23,2025-11-05_01:51:42.65791
ED    6,97.98%,Mark D. Levine,(Democratic),286,AD 23,2025-11-05_01:51:42.65791
ED    6,97.98%,Peter Kefalas,(Republican),665,AD 23,2025-11-05_01:51:42.65791
ED    6,97.98%,Peter Kefalas,(Conservative),64,AD 23,2025-11-05_01:51:42.65791
ED    6,97.98%,Ismael Malave Perez,(The Unity ),6,AD 23,2025-11-05_01:51:42.65791
ED    6,97.98%,WRITE-IN,&nbsp,1,AD 23,2025-11-05_01:51:42.65791
ED    7,97.98%,Mark D. Levine,(Democratic),351,AD 23,2025-11-05_01:51:42.65791
ED    7,97.98%,Peter Kefalas,(Republican),647,AD 23,2025-11-05_01:51:42.65791
ED    7,97.98%,Peter Kefalas,(Conservative),73,AD 23,2025-11-05_01:51:42.65791
ED    7,97.98%,Ismael Malave Perez,(The Unity ),17,AD 23,2025-11-05_01:51:42.65791
ED    7,97.98%,WRITE-IN,&nbsp,3,AD 23,2025-11-05_01:51:42.65791
ED    8,97.98%,Mark D. Levine,(Democratic),172,AD 23,2025-11-05_01:51:42.65791
ED    8,97.98%,Peter Kefalas,(Republican),163,AD 23,2025-11-05_01:51:42.65791
ED    8,97.98%,Peter Kefalas,(Conservative),26,AD 23,2025-11-05_01:51:42.65791
ED    8,97.98%,Ismael Malave Perez,(The Unity ),6,AD 23,2025-11-05_01:51:42.65791
ED    8,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:51:42.65791
ED    9,97.98%,Mark D. Levine,(Democratic),118,AD 23,2025-11-05_01:51:42.65791
ED    9,97.98%,Peter Kefalas,(Republican),84,AD 23,2025-11-05_01:51:42.65791
ED    9,97.98%,Peter Kefalas,(Conservative),9,AD 23,2025-11-05_01:51:42.65791
ED    9,97.98%,Ismael Malave Perez,(The Unity ),6,AD 23,2025-11-05_01:51:42.65791
ED    9,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:51:42.65791
ED   10,97.98%,Mark D. Levine,(Democratic),316,AD 23,2025-11-05_01:51:42.65791
ED   10,97.98%,Peter Kefalas,(Republican),482,AD 23,2025-11-05_01:51:42.65791
ED   10,97.98%,Peter Kefalas,(Conservative),47,AD 23,2025-11-05_01:51:42.65791
ED   10,97.98%,Ismael Malave Perez,(The Unity ),15,AD 23,2025-11-05_01:51:42.65791
ED   10,97.98%,WRITE-IN,&nbsp,2,AD 23,2025-11-05_01:51:42.65791
ED   11,97.98%,Mark D. Levine,(Democratic),364,AD 23,2025-11-05_01:51:42.65791
ED   11,97.98%,Peter Kefalas,(Republican),141,AD 23,2025-11-05_01:51:42.65791
ED   11,97.98%,Peter Kefalas,(Conservative),22,AD 23,2025-11-05_01:51:42.65791
ED   11,97.98%,Ismael Malave Perez,(The Unity ),19,AD 23,2025-11-05_01:51:42.65791
ED   11,97.98%,WRITE-IN,&nbsp,1,AD 23,2025-11-05_01:51:42.65791
ED   12,97.98%,Mark D. Levine,(Democratic),114,AD 23,2025-11-05_01:51:42.65791
ED   12,97.98%,Peter Kefalas,(Republican),34,AD 23,2025-11-05_01:51:42.65791
ED   12,97.98%,Peter Kefalas,(Conservative),7,AD 23,2025-11-05_01:51:42.65791
ED   12,97.98%,Ismael Malave Perez,(The Unity ),5,AD 23,2025-11-05_01:51:42.65791
ED   12,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:51:42.65791
ED   13,97.98%,Mark D. Levine,(Democratic),283,AD 23,2025-11-05_01:51:42.65791
ED   13,97.98%,Peter Kefalas,(Republican),122,AD 23,2025-11-05_01:51:42.65791
ED   13,97.98%,Peter Kefalas,(Conservative),19,AD 23,2025-11-05_01:51:42.65791
ED   13,97.98%,Ismael Malave Perez,(The Unity ),13,AD 23,2025-11-05_01:51:42.65791
ED   13,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:51:42.65791
ED   14,97.98%,Mark D. Levine,(Democratic),238,AD 23,2025-11-05_01:51:42.65791
ED   14,97.98%,Peter Kefalas,(Republican),235,AD 23,2025-11-05_01:51:42.65791
ED   14,97.98%,Peter Kefalas,(Conservative),22,AD 23,2025-11-05_01:51:42.65791
ED   14,97.98%,Ismael Malave Perez,(The Unity ),13,AD 23,2025-11-05_01:51:42.65791
ED   14,97.98%,WRITE-IN,&nbsp,2,AD 23,2025-11-05_01:51:42.65791
ED   15,97.98%,Mark D. Levine,(Democratic),227,AD 23,2025-11-05_01:51:42.65791
ED   15,97.98%,Peter Kefalas,(Republican),186,AD 23,2025-11-05_01:51:42.65791
ED   15,97.98%,Peter Kefalas,(Conservative),21,AD 23,2025-11-05_01:51:42.65791
