AD_num,reported,candidate,party,votes,scrape_time
AD   41,97.98%,Eric Gonzalez,(Democratic),20281,2025-11-05_01:51:57.384229
AD   41,97.98%,Eric Gonzalez,(Working Families),3695,2025-11-05_01:51:57.384229
AD   41,97.98%,WRITE-IN,,328,2025-11-05_01:51:57.384229
AD   42,97.98%,Eric Gonzalez,(Democratic),22572,2025-11-05_01:51:57.384229
AD   42,97.98%,Eric Gonzalez,(Working Families),5254,2025-11-05_01:51:57.384229
AD   42,97.98%,WRITE-IN,,123,2025-11-05_01:51:57.384229
AD   43,97.98%,Eric Gonzalez,(Democratic),26393,2025-11-05_01:51:57.384229
AD   43,97.98%,Eric Gonzalez,(Working Families),7994,2025-11-05_01:51:57.384229
AD   43,97.98%,WRITE-IN,,135,2025-11-05_01:51:57.384229
AD   44,97.98%,Eric Gonzalez,(Democratic),32194,2025-11-05_01:51:57.384229
AD   44,97.98%,Eric Gonzalez,(Working Families),13150,2025-11-05_01:51:57.384229
AD   44,97.98%,WRITE-IN,,349,2025-11-05_01:51:57.384229
AD   45,97.98%,Eric Gonzalez,(Democratic),17071,2025-11-05_01:51:57.384229
AD   45,97.98%,Eric Gonzalez,(Working Families),2941,2025-11-05_01:51:57.384229
AD   45,97.98%,WRITE-IN,,241,2025-11-05_01:51:57.384229
AD   46,97.98%,Eric Gonzalez,(Democratic),15959,2025-11-05_01:51:57.384229
AD   46,97.98%,Eric Gonzalez,(Working Families),4650,2025-11-05_01:51:57.384229
AD   46,97.98%,WRITE-IN,,379,2025-11-05_01:51:57.384229
AD   47,97.98%,Eric Gonzalez,(Democratic),9504,2025-11-05_01:51:57.384229
AD   47,97.98%,Eric Gonzalez,(Working Families),2971,2025-11-05_01:51:57.384229
AD   47,97.98%,WRITE-IN,,192,2025-11-05_01:51:57.384229
AD   48,97.98%,Eric Gonzalez,(Democratic),19727,2025-11-05_01:51:57.384229
AD   48,97.98%,Eric Gonzalez,(Working Families),3168,2025-11-05_01:51:57.384229
AD   48,97.98%,WRITE-IN,,402,2025-11-05_01:51:57.384229
AD   49,97.98%,Eric Gonzalez,(Democratic),7602,2025-11-05_01:51:57.384229
AD   49,97.98%,Eric Gonzalez,(Working Families),2445,2025-11-05_01:51:57.384229
AD   49,97.98%,WRITE-IN,,169,2025-11-05_01:51:57.384229
AD   50,97.98%,Eric Gonzalez,(Democratic),24997,2025-11-05_01:51:57.384229
AD   50,97.98%,Eric Gonzalez,(Working Families),8375,2025-11-05_01:51:57.384229
AD   50,97.98%,WRITE-IN,,277,2025-11-05_01:51:57.384229
AD   51,97.98%,Eric Gonzalez,(Democratic),14685,2025-11-05_01:51:57.384229
AD   51,97.98%,Eric Gonzalez,(Working Families),5843,2025-11-05_01:51:57.384229
AD   51,97.98%,WRITE-IN,,138,2025-11-05_01:51:57.384229
AD   52,97.98%,Eric Gonzalez,(Democratic),40120,2025-11-05_01:51:57.384229
AD   52,97.98%,Eric Gonzalez,(Working Families),12206,2025-11-05_01:51:57.384229
AD   52,97.98%,WRITE-IN,,330,2025-11-05_01:51:57.384229
AD   53,97.98%,Eric Gonzalez,(Democratic),22636,2025-11-05_01:51:57.384229
AD   53,97.98%,Eric Gonzalez,(Working Families),8785,2025-11-05_01:51:57.384229
AD   53,97.98%,WRITE-IN,,116,2025-11-05_01:51:57.384229
AD   54,97.98%,Eric Gonzalez,(Democratic),14327,2025-11-05_01:51:57.384229
AD   54,97.98%,Eric Gonzalez,(Working Families),3852,2025-11-05_01:51:57.384229
AD   54,97.98%,WRITE-IN,,68,2025-11-05_01:51:57.384229
AD   55,97.98%,Eric Gonzalez,(Democratic),15007,2025-11-05_01:51:57.384229
AD   55,97.98%,Eric Gonzalez,(Working Families),2586,2025-11-05_01:51:57.384229
AD   55,97.98%,WRITE-IN,,50,2025-11-05_01:51:57.384229
AD   56,97.98%,Eric Gonzalez,(Democratic),24018,2025-11-05_01:51:57.384229
AD   56,97.98%,Eric Gonzalez,(Working Families),8434,2025-11-05_01:51:57.384229
AD   56,97.98%,WRITE-IN,,113,2025-11-05_01:51:57.384229
AD   57,97.98%,Eric Gonzalez,(Democratic),29566,2025-11-05_01:51:57.384229
AD   57,97.98%,Eric Gonzalez,(Working Families),11480,2025-11-05_01:51:57.384229
AD   57,97.98%,WRITE-IN,,184,2025-11-05_01:51:57.384229
AD   58,97.98%,Eric Gonzalez,(Democratic),19441,2025-11-05_01:51:57.384229
AD   58,97.98%,Eric Gonzalez,(Working Families),1546,2025-11-05_01:51:57.384229
AD   58,97.98%,WRITE-IN,,33,2025-11-05_01:51:57.384229
AD   59,97.98%,Eric Gonzalez,(Democratic),18649,2025-11-05_01:51:57.384229
AD   59,97.98%,Eric Gonzalez,(Working Families),2695,2025-11-05_01:51:57.384229
AD   59,97.98%,WRITE-IN,,226,2025-11-05_01:51:57.384229
AD   60,97.98%,Eric Gonzalez,(Democratic),15981,2025-11-05_01:51:57.384229
AD   60,97.98%,Eric Gonzalez,(Working Families),1426,2025-11-05_01:51:57.384229
AD   60,97.98%,WRITE-IN,,45,2025-11-05_01:51:57.384229
AD   61,97.98%,Eric Gonzalez,(Democratic),0,2025-11-05_01:51:57.384229
AD   61,97.98%,Eric Gonzalez,(Working Families),2,2025-11-05_01:51:57.384229
AD   61,97.98%,WRITE-IN,,0,2025-11-05_01:51:57.384229
AD   64,97.98%,Eric Gonzalez,(Democratic),4339,2025-11-05_01:51:57.384229
AD   64,97.98%,Eric Gonzalez,(Working Families),1235,2025-11-05_01:51:57.384229
AD   64,97.98%,WRITE-IN,,93,2025-11-05_01:51:57.384229
Total,,Eric Gonzalez,(Democratic),415069,2025-11-05_01:51:57.384229
Total,,Eric Gonzalez,(Working Families),114733,2025-11-05_01:51:57.384229
