ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,0.00%,Eric Gonzalez,(Democratic),344,AD 41,2025-11-04_22:10:22.481979
ED    1,0.00%,Eric Gonzalez,(Working Families),25,AD 41,2025-11-04_22:10:22.481979
ED    1,0.00%,WRITE-IN,&nbsp,1,AD 41,2025-11-04_22:10:22.481979
ED    2,0.00%,Eric Gonzalez,(Democratic),397,AD 41,2025-11-04_22:10:22.481979
ED    2,0.00%,Eric Gonzalez,(Working Families),26,AD 41,2025-11-04_22:10:22.481979
ED    2,0.00%,WRITE-IN,&nbsp,1,AD 41,2025-11-04_22:10:22.481979
ED    3,0.00%,Eric Gonzalez,(Democratic),253,AD 41,2025-11-04_22:10:22.481979
ED    3,0.00%,Eric Gonzalez,(Working Families),17,AD 41,2025-11-04_22:10:22.481979
ED    3,0.00%,WRITE-IN,&nbsp,-,AD 41,2025-11-04_22:10:22.481979
ED    4,0.00%,Eric Gonzalez,(Democratic),489,AD 41,2025-11-04_22:10:22.481979
ED    4,0.00%,Eric Gonzalez,(Working Families),69,AD 41,2025-11-04_22:10:22.481979
ED    4,0.00%,WRITE-IN,&nbsp,3,AD 41,2025-11-04_22:10:22.481979
ED    5,0.00%,Eric Gonzalez,(Democratic),334,AD 41,2025-11-04_22:10:22.481979
ED    5,0.00%,Eric Gonzalez,(Working Families),32,AD 41,2025-11-04_22:10:22.481979
ED    5,0.00%,WRITE-IN,&nbsp,1,AD 41,2025-11-04_22:10:22.481979
ED    6,0.00%,Eric Gonzalez,(Democratic),380,AD 41,2025-11-04_22:10:22.481979
ED    6,0.00%,Eric Gonzalez,(Working Families),31,AD 41,2025-11-04_22:10:22.481979
ED    6,0.00%,WRITE-IN,&nbsp,3,AD 41,2025-11-04_22:10:22.481979
ED    7,0.00%,Eric Gonzalez,(Democratic),410,AD 41,2025-11-04_22:10:22.481979
ED    7,0.00%,Eric Gonzalez,(Working Families),28,AD 41,2025-11-04_22:10:22.481979
ED    7,0.00%,WRITE-IN,&nbsp,-,AD 41,2025-11-04_22:10:22.481979
ED    8,0.00%,Eric Gonzalez,(Democratic),336,AD 41,2025-11-04_22:10:22.481979
ED    8,0.00%,Eric Gonzalez,(Working Families),29,AD 41,2025-11-04_22:10:22.481979
ED    8,0.00%,WRITE-IN,&nbsp,-,AD 41,2025-11-04_22:10:22.481979
ED    9,0.00%,Eric Gonzalez,(Democratic),396,AD 41,2025-11-04_22:10:22.481979
ED    9,0.00%,Eric Gonzalez,(Working Families),29,AD 41,2025-11-04_22:10:22.481979
ED    9,0.00%,WRITE-IN,&nbsp,1,AD 41,2025-11-04_22:10:22.481979
ED   10,0.00%,Eric Gonzalez,(Democratic),261,AD 41,2025-11-04_22:10:22.481979
ED   10,0.00%,Eric Gonzalez,(Working Families),21,AD 41,2025-11-04_22:10:22.481979
ED   10,0.00%,WRITE-IN,&nbsp,-,AD 41,2025-11-04_22:10:22.481979
ED   11,0.00%,Eric Gonzalez,(Democratic),378,AD 41,2025-11-04_22:10:22.481979
ED   11,0.00%,Eric Gonzalez,(Working Families),33,AD 41,2025-11-04_22:10:22.481979
ED   11,0.00%,WRITE-IN,&nbsp,1,AD 41,2025-11-04_22:10:22.481979
ED   12,0.00%,Eric Gonzalez,(Democratic),315,AD 41,2025-11-04_22:10:22.481979
ED   12,0.00%,Eric Gonzalez,(Working Families),27,AD 41,2025-11-04_22:10:22.481979
ED   12,0.00%,WRITE-IN,&nbsp,1,AD 41,2025-11-04_22:10:22.481979
ED   13,0.00%,Eric Gonzalez,(Democratic),240,AD 41,2025-11-04_22:10:22.481979
ED   13,0.00%,Eric Gonzalez,(Working Families),25,AD 41,2025-11-04_22:10:22.481979
ED   13,0.00%,WRITE-IN,&nbsp,3,AD 41,2025-11-04_22:10:22.481979
ED   14,0.00%,Eric Gonzalez,(Democratic),532,AD 41,2025-11-04_22:10:22.481979
ED   14,0.00%,Eric Gonzalez,(Working Families),61,AD 41,2025-11-04_22:10:22.481979
ED   14,0.00%,WRITE-IN,&nbsp,5,AD 41,2025-11-04_22:10:22.481979
