AD_num,reported,candidate,party,votes,scrape_time
AD   37,0.00%,Alvin L. Bragg Jr.,(Democratic),-,2025-11-04_22:10:20.434358
AD   37,0.00%,Maud Maron,(Republican),-,2025-11-04_22:10:20.434358
AD   37,0.00%,Maud Maron,(Conservative),-,2025-11-04_22:10:20.434358
AD   37,0.00%,Alvin L. Bragg Jr.,(Working Families),-,2025-11-04_22:10:20.434358
AD   37,0.00%,Diana J. Florence,(A Safer Manhattan),-,2025-11-04_22:10:20.434358
AD   37,0.00%,WRITE-IN,,-,2025-11-04_22:10:20.434358
AD   61,0.00%,Alvin L. Bragg Jr.,(Democratic),3659,2025-11-04_22:10:20.434358
AD   61,0.00%,Maud Maron,(Republican),2182,2025-11-04_22:10:20.434358
AD   61,0.00%,Maud Maron,(Conservative),191,2025-11-04_22:10:20.434358
AD   61,0.00%,Alvin L. Bragg Jr.,(Working Families),363,2025-11-04_22:10:20.434358
AD   61,0.00%,Diana J. Florence,(A Safer Manhattan),355,2025-11-04_22:10:20.434358
AD   61,0.00%,WRITE-IN,,13,2025-11-04_22:10:20.434358
AD   65,0.00%,Alvin L. Bragg Jr.,(Democratic),19314,2025-11-04_22:10:20.434358
AD   65,0.00%,Maud Maron,(Republican),6275,2025-11-04_22:10:20.434358
AD   65,0.00%,Maud Maron,(Conservative),671,2025-11-04_22:10:20.434358
AD   65,0.00%,Alvin L. Bragg Jr.,(Working Families),3776,2025-11-04_22:10:20.434358
AD   65,0.00%,Diana J. Florence,(A Safer Manhattan),1913,2025-11-04_22:10:20.434358
AD   65,0.00%,WRITE-IN,,45,2025-11-04_22:10:20.434358
AD   66,0.00%,Alvin L. Bragg Jr.,(Democratic),29429,2025-11-04_22:10:20.434358
AD   66,0.00%,Maud Maron,(Republican),10177,2025-11-04_22:10:20.434358
AD   66,0.00%,Maud Maron,(Conservative),926,2025-11-04_22:10:20.434358
AD   66,0.00%,Alvin L. Bragg Jr.,(Working Families),4074,2025-11-04_22:10:20.434358
AD   66,0.00%,Diana J. Florence,(A Safer Manhattan),1991,2025-11-04_22:10:20.434358
AD   66,0.00%,WRITE-IN,,71,2025-11-04_22:10:20.434358
AD   67,0.00%,Alvin L. Bragg Jr.,(Democratic),31117,2025-11-04_22:10:20.434358
AD   67,0.00%,Maud Maron,(Republican),9509,2025-11-04_22:10:20.434358
AD   67,0.00%,Maud Maron,(Conservative),854,2025-11-04_22:10:20.434358
AD   67,0.00%,Alvin L. Bragg Jr.,(Working Families),3735,2025-11-04_22:10:20.434358
AD   67,0.00%,Diana J. Florence,(A Safer Manhattan),3124,2025-11-04_22:10:20.434358
AD   67,0.00%,WRITE-IN,,70,2025-11-04_22:10:20.434358
AD   68,0.00%,Alvin L. Bragg Jr.,(Democratic),19488,2025-11-04_22:10:20.434358
AD   68,0.00%,Maud Maron,(Republican),3715,2025-11-04_22:10:20.434358
AD   68,0.00%,Maud Maron,(Conservative),412,2025-11-04_22:10:20.434358
AD   68,0.00%,Alvin L. Bragg Jr.,(Working Families),3124,2025-11-04_22:10:20.434358
AD   68,0.00%,Diana J. Florence,(A Safer Manhattan),1802,2025-11-04_22:10:20.434358
AD   68,0.00%,WRITE-IN,,32,2025-11-04_22:10:20.434358
AD   69,0.00%,Alvin L. Bragg Jr.,(Democratic),31381,2025-11-04_22:10:20.434358
AD   69,0.00%,Maud Maron,(Republican),5641,2025-11-04_22:10:20.434358
AD   69,0.00%,Maud Maron,(Conservative),648,2025-11-04_22:10:20.434358
AD   69,0.00%,Alvin L. Bragg Jr.,(Working Families),5593,2025-11-04_22:10:20.434358
AD   69,0.00%,Diana J. Florence,(A Safer Manhattan),2583,2025-11-04_22:10:20.434358
AD   69,0.00%,WRITE-IN,,68,2025-11-04_22:10:20.434358
AD   70,0.00%,Alvin L. Bragg Jr.,(Democratic),25379,2025-11-04_22:10:20.434358
AD   70,0.00%,Maud Maron,(Republican),1785,2025-11-04_22:10:20.434358
AD   70,0.00%,Maud Maron,(Conservative),290,2025-11-04_22:10:20.434358
AD   70,0.00%,Alvin L. Bragg Jr.,(Working Families),5124,2025-11-04_22:10:20.434358
AD   70,0.00%,Diana J. Florence,(A Safer Manhattan),1395,2025-11-04_22:10:20.434358
AD   70,0.00%,WRITE-IN,,45,2025-11-04_22:10:20.434358
AD   71,0.00%,Alvin L. Bragg Jr.,(Democratic),22817,2025-11-04_22:10:20.434358
AD   71,0.00%,Maud Maron,(Republican),2392,2025-11-04_22:10:20.434358
AD   71,0.00%,Maud Maron,(Conservative),345,2025-11-04_22:10:20.434358
AD   71,0.00%,Alvin L. Bragg Jr.,(Working Families),5603,2025-11-04_22:10:20.434358
AD   71,0.00%,Diana J. Florence,(A Safer Manhattan),1513,2025-11-04_22:10:20.434358
AD   71,0.00%,WRITE-IN,,37,2025-11-04_22:10:20.434358
AD   72,0.00%,Alvin L. Bragg Jr.,(Democratic),14534,2025-11-04_22:10:20.434358
