boro,reported,candidate,party,votes,scrape_time
New York,0.00%,Alvin L. Bragg Jr.,(Democratic),306557,2025-11-04_22:10:20.434358
New York,0.00%,Maud Maron,(Republican),90662,2025-11-04_22:10:20.434358
New York,0.00%,Maud Maron,(Conservative),8429,2025-11-04_22:10:20.434358
New York,0.00%,Alvin L. Bragg Jr.,(Working Families),48127,2025-11-04_22:10:20.434358
New York,0.00%,Diana J. Florence,(A Safer Manhattan),26451,2025-11-04_22:10:20.434358
New York,0.00%,WRITE-IN,,674,2025-11-04_22:10:20.434358
Total,,Alvin L. Bragg Jr.,(Democratic),306557,2025-11-04_22:10:20.434358
Total,,Maud Maron,(Republican),90662,2025-11-04_22:10:20.434358
Total,,Maud Maron,(Conservative),8429,2025-11-04_22:10:20.434358
Total,,Alvin L. Bragg Jr.,(Working Families),48127,2025-11-04_22:10:20.434358
Total,,Diana J. Florence,(A Safer Manhattan),26451,2025-11-04_22:10:20.434358
Total,,WRITE-IN,,674,2025-11-04_22:10:20.434358
