ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   71,66.67%,Alvin L. Bragg Jr.,(Democratic),0,AD 37,2025-11-06_10:53:47.028996
ED   71,66.67%,Maud Maron,(Republican),0,AD 37,2025-11-06_10:53:47.028996
ED   71,66.67%,Maud Maron,(Conservative),0,AD 37,2025-11-06_10:53:47.028996
ED   71,66.67%,Alvin L. Bragg Jr.,(Working Families),0,AD 37,2025-11-06_10:53:47.028996
ED   71,66.67%,Diana J. Florence,(A Safer Manhattan),0,AD 37,2025-11-06_10:53:47.028996
ED   71,66.67%,WRITE-IN,&nbsp,0,AD 37,2025-11-06_10:53:47.028996
Total,,Alvin L. Bragg Jr.,(Democratic),-,AD 37,2025-11-06_10:53:47.028996
Total,,Maud Maron,(Republican),-,AD 37,2025-11-06_10:53:47.028996
Total,,Maud Maron,(Conservative),-,AD 37,2025-11-06_10:53:47.028996
Total,,Alvin L. Bragg Jr.,(Working Families),-,AD 37,2025-11-06_10:53:47.028996
Total,,Diana J. Florence,(A Safer Manhattan),-,AD 37,2025-11-06_10:53:47.028996
Total,,WRITE-IN,&nbsp,-,AD 37,2025-11-06_10:53:47.028996
ED   60,99.00%,Alvin L. Bragg Jr.,(Democratic),333,AD 61,2025-11-06_10:53:47.028996
ED   60,99.00%,Maud Maron,(Republican),162,AD 61,2025-11-06_10:53:47.028996
ED   60,99.00%,Maud Maron,(Conservative),17,AD 61,2025-11-06_10:53:47.028996
ED   60,99.00%,Alvin L. Bragg Jr.,(Working Families),37,AD 61,2025-11-06_10:53:47.028996
ED   60,99.00%,Diana J. Florence,(A Safer Manhattan),15,AD 61,2025-11-06_10:53:47.028996
ED   60,99.00%,WRITE-IN,&nbsp,0,AD 61,2025-11-06_10:53:47.028996
ED   61,99.00%,Alvin L. Bragg Jr.,(Democratic),473,AD 61,2025-11-06_10:53:47.028996
ED   61,99.00%,Maud Maron,(Republican),271,AD 61,2025-11-06_10:53:47.028996
ED   61,99.00%,Maud Maron,(Conservative),22,AD 61,2025-11-06_10:53:47.028996
ED   61,99.00%,Alvin L. Bragg Jr.,(Working Families),57,AD 61,2025-11-06_10:53:47.028996
ED   61,99.00%,Diana J. Florence,(A Safer Manhattan),54,AD 61,2025-11-06_10:53:47.028996
ED   61,99.00%,WRITE-IN,&nbsp,4,AD 61,2025-11-06_10:53:47.028996
ED   62,99.00%,Alvin L. Bragg Jr.,(Democratic),372,AD 61,2025-11-06_10:53:47.028996
ED   62,99.00%,Maud Maron,(Republican),256,AD 61,2025-11-06_10:53:47.028996
ED   62,99.00%,Maud Maron,(Conservative),20,AD 61,2025-11-06_10:53:47.028996
ED   62,99.00%,Alvin L. Bragg Jr.,(Working Families),36,AD 61,2025-11-06_10:53:47.028996
