AD_num,reported,candidate,party,votes,scrape_time
AD   41,0.00%,Janice Chen,(Democratic),16860,2025-11-04_22:10:35.628483
AD   41,0.00%,Marisa Arrabito,(Democratic),14012,2025-11-04_22:10:35.628483
AD   41,0.00%,WRITE-IN,,774,2025-11-04_22:10:35.628483
AD   42,0.00%,Janice Chen,(Democratic),20797,2025-11-04_22:10:35.628483
AD   42,0.00%,Marisa Arrabito,(Democratic),18636,2025-11-04_22:10:35.628483
AD   42,0.00%,WRITE-IN,,331,2025-11-04_22:10:35.628483
AD   43,0.00%,Janice Chen,(Democratic),26739,2025-11-04_22:10:35.628483
AD   43,0.00%,Marisa Arrabito,(Democratic),23983,2025-11-04_22:10:35.628483
AD   43,0.00%,WRITE-IN,,453,2025-11-04_22:10:35.628483
AD   44,0.00%,Janice Chen,(Democratic),36272,2025-11-04_22:10:35.628483
AD   44,0.00%,Marisa Arrabito,(Democratic),33249,2025-11-04_22:10:35.628483
AD   44,0.00%,WRITE-IN,,730,2025-11-04_22:10:35.628483
AD   45,0.00%,Janice Chen,(Democratic),9382,2025-11-04_22:10:35.628483
AD   45,0.00%,Marisa Arrabito,(Democratic),7620,2025-11-04_22:10:35.628483
AD   45,0.00%,WRITE-IN,,515,2025-11-04_22:10:35.628483
AD   46,0.00%,Janice Chen,(Democratic),16634,2025-11-04_22:10:35.628483
AD   46,0.00%,Marisa Arrabito,(Democratic),15072,2025-11-04_22:10:35.628483
AD   46,0.00%,WRITE-IN,,699,2025-11-04_22:10:35.628483
AD   47,0.00%,Janice Chen,(Democratic),10306,2025-11-04_22:10:35.628483
AD   47,0.00%,Marisa Arrabito,(Democratic),8184,2025-11-04_22:10:35.628483
AD   47,0.00%,WRITE-IN,,314,2025-11-04_22:10:35.628483
AD   48,0.00%,Janice Chen,(Democratic),9656,2025-11-04_22:10:35.628483
AD   48,0.00%,Marisa Arrabito,(Democratic),7695,2025-11-04_22:10:35.628483
AD   48,0.00%,WRITE-IN,,1132,2025-11-04_22:10:35.628483
AD   49,0.00%,Janice Chen,(Democratic),7949,2025-11-04_22:10:35.628483
AD   49,0.00%,Marisa Arrabito,(Democratic),6902,2025-11-04_22:10:35.628483
AD   49,0.00%,WRITE-IN,,311,2025-11-04_22:10:35.628483
AD   50,0.00%,Janice Chen,(Democratic),27800,2025-11-04_22:10:35.628483
AD   50,0.00%,Marisa Arrabito,(Democratic),25210,2025-11-04_22:10:35.628483
AD   50,0.00%,WRITE-IN,,556,2025-11-04_22:10:35.628483
AD   51,0.00%,Janice Chen,(Democratic),15564,2025-11-04_22:10:35.628483
AD   51,0.00%,Marisa Arrabito,(Democratic),15036,2025-11-04_22:10:35.628483
AD   51,0.00%,WRITE-IN,,298,2025-11-04_22:10:35.628483
AD   52,0.00%,Janice Chen,(Democratic),44604,2025-11-04_22:10:35.628483
AD   52,0.00%,Marisa Arrabito,(Democratic),40752,2025-11-04_22:10:35.628483
AD   52,0.00%,WRITE-IN,,564,2025-11-04_22:10:35.628483
AD   53,0.00%,Janice Chen,(Democratic),23724,2025-11-04_22:10:35.628483
AD   53,0.00%,Marisa Arrabito,(Democratic),22568,2025-11-04_22:10:35.628483
AD   53,0.00%,WRITE-IN,,240,2025-11-04_22:10:35.628483
AD   54,0.00%,Janice Chen,(Democratic),14750,2025-11-04_22:10:35.628483
AD   54,0.00%,Marisa Arrabito,(Democratic),13727,2025-11-04_22:10:35.628483
AD   54,0.00%,WRITE-IN,,163,2025-11-04_22:10:35.628483
AD   55,0.00%,Janice Chen,(Democratic),14394,2025-11-04_22:10:35.628483
AD   55,0.00%,Marisa Arrabito,(Democratic),12939,2025-11-04_22:10:35.628483
AD   55,0.00%,WRITE-IN,,99,2025-11-04_22:10:35.628483
AD   56,0.00%,Janice Chen,(Democratic),26532,2025-11-04_22:10:35.628483
AD   56,0.00%,Marisa Arrabito,(Democratic),24361,2025-11-04_22:10:35.628483
AD   56,0.00%,WRITE-IN,,199,2025-11-04_22:10:35.628483
AD   57,0.00%,Janice Chen,(Democratic),34268,2025-11-04_22:10:35.628483
AD   57,0.00%,Marisa Arrabito,(Democratic),30995,2025-11-04_22:10:35.628483
AD   57,0.00%,WRITE-IN,,336,2025-11-04_22:10:35.628483
AD   58,0.00%,Janice Chen,(Democratic),17708,2025-11-04_22:10:35.628483
AD   58,0.00%,Marisa Arrabito,(Democratic),15736,2025-11-04_22:10:35.628483
