ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Janice Chen,(Democratic),411,AD 41,2025-11-06_10:53:59.012304
ED    1,99.00%,Marisa Arrabito,(Democratic),361,AD 41,2025-11-06_10:53:59.012304
ED    1,99.00%,WRITE-IN,&nbsp,2,AD 41,2025-11-06_10:53:59.012304
ED    2,99.00%,Janice Chen,(Democratic),386,AD 41,2025-11-06_10:53:59.012304
ED    2,99.00%,Marisa Arrabito,(Democratic),333,AD 41,2025-11-06_10:53:59.012304
ED    2,99.00%,WRITE-IN,&nbsp,0,AD 41,2025-11-06_10:53:59.012304
ED    3,88.89%,Janice Chen,(Democratic),243,AD 41,2025-11-06_10:53:59.012304
ED    3,88.89%,Marisa Arrabito,(Democratic),215,AD 41,2025-11-06_10:53:59.012304
ED    3,88.89%,WRITE-IN,&nbsp,2,AD 41,2025-11-06_10:53:59.012304
ED    4,99.00%,Janice Chen,(Democratic),483,AD 41,2025-11-06_10:53:59.012304
ED    4,99.00%,Marisa Arrabito,(Democratic),408,AD 41,2025-11-06_10:53:59.012304
ED    4,99.00%,WRITE-IN,&nbsp,3,AD 41,2025-11-06_10:53:59.012304
ED    5,99.00%,Janice Chen,(Democratic),336,AD 41,2025-11-06_10:53:59.012304
ED    5,99.00%,Marisa Arrabito,(Democratic),275,AD 41,2025-11-06_10:53:59.012304
ED    5,99.00%,WRITE-IN,&nbsp,5,AD 41,2025-11-06_10:53:59.012304
ED    6,99.00%,Janice Chen,(Democratic),379,AD 41,2025-11-06_10:53:59.012304
ED    6,99.00%,Marisa Arrabito,(Democratic),336,AD 41,2025-11-06_10:53:59.012304
ED    6,99.00%,WRITE-IN,&nbsp,13,AD 41,2025-11-06_10:53:59.012304
ED    7,99.00%,Janice Chen,(Democratic),369,AD 41,2025-11-06_10:53:59.012304
ED    7,99.00%,Marisa Arrabito,(Democratic),321,AD 41,2025-11-06_10:53:59.012304
ED    7,99.00%,WRITE-IN,&nbsp,2,AD 41,2025-11-06_10:53:59.012304
ED    8,99.00%,Janice Chen,(Democratic),329,AD 41,2025-11-06_10:53:59.012304
ED    8,99.00%,Marisa Arrabito,(Democratic),294,AD 41,2025-11-06_10:53:59.012304
ED    8,99.00%,WRITE-IN,&nbsp,0,AD 41,2025-11-06_10:53:59.012304
ED    9,88.89%,Janice Chen,(Democratic),380,AD 41,2025-11-06_10:53:59.012304
ED    9,88.89%,Marisa Arrabito,(Democratic),330,AD 41,2025-11-06_10:53:59.012304
ED    9,88.89%,WRITE-IN,&nbsp,2,AD 41,2025-11-06_10:53:59.012304
ED   10,90.91%,Janice Chen,(Democratic),256,AD 41,2025-11-06_10:53:59.012304
ED   10,90.91%,Marisa Arrabito,(Democratic),217,AD 41,2025-11-06_10:53:59.012304
ED   10,90.91%,WRITE-IN,&nbsp,0,AD 41,2025-11-06_10:53:59.012304
ED   11,88.89%,Janice Chen,(Democratic),364,AD 41,2025-11-06_10:53:59.012304
ED   11,88.89%,Marisa Arrabito,(Democratic),318,AD 41,2025-11-06_10:53:59.012304
ED   11,88.89%,WRITE-IN,&nbsp,2,AD 41,2025-11-06_10:53:59.012304
ED   12,99.00%,Janice Chen,(Democratic),209,AD 41,2025-11-06_10:53:59.012304
ED   12,99.00%,Marisa Arrabito,(Democratic),172,AD 41,2025-11-06_10:53:59.012304
ED   12,99.00%,WRITE-IN,&nbsp,10,AD 41,2025-11-06_10:53:59.012304
ED   13,99.00%,Janice Chen,(Democratic),213,AD 41,2025-11-06_10:53:59.012304
ED   13,99.00%,Marisa Arrabito,(Democratic),185,AD 41,2025-11-06_10:53:59.012304
ED   13,99.00%,WRITE-IN,&nbsp,11,AD 41,2025-11-06_10:53:59.012304
ED   14,99.00%,Janice Chen,(Democratic),234,AD 41,2025-11-06_10:53:59.012304
