AD_num,reported,candidate,party,votes,scrape_time
AD   23,97.98%,Sheridan C. Chu,(Democratic),11306,2025-11-05_01:52:09.711009
AD   23,97.98%,Indira D. Khan,(Democratic),10580,2025-11-05_01:52:09.711009
AD   23,97.98%,Oma D. Phillips,(Democratic),10124,2025-11-05_01:52:09.711009
AD   23,97.98%,William David Shanahan,(Republican),15719,2025-11-05_01:52:09.711009
AD   23,97.98%,Susan M. Silverman,(Republican),15275,2025-11-05_01:52:09.711009
AD   23,97.98%,Thomas D. Barra,(Republican),14404,2025-11-05_01:52:09.711009
AD   23,97.98%,William David Shanahan,(Conservative),1625,2025-11-05_01:52:09.711009
AD   23,97.98%,Susan M. Silverman,(Conservative),1568,2025-11-05_01:52:09.711009
AD   23,97.98%,Thomas D. Barra,(Conservative),1500,2025-11-05_01:52:09.711009
AD   23,97.98%,WRITE-IN,,136,2025-11-05_01:52:09.711009
AD   24,97.98%,Sheridan C. Chu,(Democratic),14958,2025-11-05_01:52:09.711009
AD   24,97.98%,Indira D. Khan,(Democratic),14393,2025-11-05_01:52:09.711009
AD   24,97.98%,Oma D. Phillips,(Democratic),13089,2025-11-05_01:52:09.711009
AD   24,97.98%,William David Shanahan,(Republican),6090,2025-11-05_01:52:09.711009
AD   24,97.98%,Susan M. Silverman,(Republican),6297,2025-11-05_01:52:09.711009
AD   24,97.98%,Thomas D. Barra,(Republican),5428,2025-11-05_01:52:09.711009
AD   24,97.98%,William David Shanahan,(Conservative),693,2025-11-05_01:52:09.711009
AD   24,97.98%,Susan M. Silverman,(Conservative),779,2025-11-05_01:52:09.711009
AD   24,97.98%,Thomas D. Barra,(Conservative),677,2025-11-05_01:52:09.711009
AD   24,97.98%,WRITE-IN,,95,2025-11-05_01:52:09.711009
AD   25,97.98%,Sheridan C. Chu,(Democratic),11864,2025-11-05_01:52:09.711009
AD   25,97.98%,Indira D. Khan,(Democratic),9575,2025-11-05_01:52:09.711009
AD   25,97.98%,Oma D. Phillips,(Democratic),9346,2025-11-05_01:52:09.711009
AD   25,97.98%,William David Shanahan,(Republican),7588,2025-11-05_01:52:09.711009
AD   25,97.98%,Susan M. Silverman,(Republican),7864,2025-11-05_01:52:09.711009
AD   25,97.98%,Thomas D. Barra,(Republican),6792,2025-11-05_01:52:09.711009
AD   25,97.98%,William David Shanahan,(Conservative),788,2025-11-05_01:52:09.711009
AD   25,97.98%,Susan M. Silverman,(Conservative),866,2025-11-05_01:52:09.711009
AD   25,97.98%,Thomas D. Barra,(Conservative),806,2025-11-05_01:52:09.711009
AD   25,97.98%,WRITE-IN,,90,2025-11-05_01:52:09.711009
AD   26,97.98%,Sheridan C. Chu,(Democratic),16680,2025-11-05_01:52:09.711009
AD   26,97.98%,Indira D. Khan,(Democratic),13997,2025-11-05_01:52:09.711009
AD   26,97.98%,Oma D. Phillips,(Democratic),13962,2025-11-05_01:52:09.711009
AD   26,97.98%,William David Shanahan,(Republican),12888,2025-11-05_01:52:09.711009
AD   26,97.98%,Susan M. Silverman,(Republican),13082,2025-11-05_01:52:09.711009
AD   26,97.98%,Thomas D. Barra,(Republican),11806,2025-11-05_01:52:09.711009
AD   26,97.98%,William David Shanahan,(Conservative),1416,2025-11-05_01:52:09.711009
AD   26,97.98%,Susan M. Silverman,(Conservative),1490,2025-11-05_01:52:09.711009
AD   26,97.98%,Thomas D. Barra,(Conservative),1358,2025-11-05_01:52:09.711009
AD   26,97.98%,WRITE-IN,,96,2025-11-05_01:52:09.711009
AD   27,97.98%,Sheridan C. Chu,(Democratic),10718,2025-11-05_01:52:09.711009
AD   27,97.98%,Indira D. Khan,(Democratic),9169,2025-11-05_01:52:09.711009
AD   27,97.98%,Oma D. Phillips,(Democratic),8982,2025-11-05_01:52:09.711009
AD   27,97.98%,William David Shanahan,(Republican),10266,2025-11-05_01:52:09.711009
AD   27,97.98%,Susan M. Silverman,(Republican),10441,2025-11-05_01:52:09.711009
AD   27,97.98%,Thomas D. Barra,(Republican),9330,2025-11-05_01:52:09.711009
AD   27,97.98%,William David Shanahan,(Conservative),870,2025-11-05_01:52:09.711009
AD   27,97.98%,Susan M. Silverman,(Conservative),979,2025-11-05_01:52:09.711009
AD   27,97.98%,Thomas D. Barra,(Conservative),855,2025-11-05_01:52:09.711009
AD   27,97.98%,WRITE-IN,,135,2025-11-05_01:52:09.711009
AD   28,97.98%,Sheridan C. Chu,(Democratic),19459,2025-11-05_01:52:09.711009
AD   28,97.98%,Indira D. Khan,(Democratic),17653,2025-11-05_01:52:09.711009
AD   28,97.98%,Oma D. Phillips,(Democratic),17188,2025-11-05_01:52:09.711009
AD   28,97.98%,William David Shanahan,(Republican),12359,2025-11-05_01:52:09.711009
AD   28,97.98%,Susan M. Silverman,(Republican),12679,2025-11-05_01:52:09.711009
AD   28,97.98%,Thomas D. Barra,(Republican),11030,2025-11-05_01:52:09.711009
AD   28,97.98%,William David Shanahan,(Conservative),1267,2025-11-05_01:52:09.711009
AD   28,97.98%,Susan M. Silverman,(Conservative),1307,2025-11-05_01:52:09.711009
AD   28,97.98%,Thomas D. Barra,(Conservative),1156,2025-11-05_01:52:09.711009
AD   28,97.98%,WRITE-IN,,132,2025-11-05_01:52:09.711009
AD   29,97.98%,Sheridan C. Chu,(Democratic),18708,2025-11-05_01:52:09.711009
AD   29,97.98%,Indira D. Khan,(Democratic),17894,2025-11-05_01:52:09.711009
AD   29,97.98%,Oma D. Phillips,(Democratic),17885,2025-11-05_01:52:09.711009
AD   29,97.98%,William David Shanahan,(Republican),1646,2025-11-05_01:52:09.711009
AD   29,97.98%,Susan M. Silverman,(Republican),1592,2025-11-05_01:52:09.711009
AD   29,97.98%,Thomas D. Barra,(Republican),1364,2025-11-05_01:52:09.711009
AD   29,97.98%,William David Shanahan,(Conservative),363,2025-11-05_01:52:09.711009
AD   29,97.98%,Susan M. Silverman,(Conservative),382,2025-11-05_01:52:09.711009
AD   29,97.98%,Thomas D. Barra,(Conservative),293,2025-11-05_01:52:09.711009
AD   29,97.98%,WRITE-IN,,66,2025-11-05_01:52:09.711009
AD   30,97.98%,Sheridan C. Chu,(Democratic),13390,2025-11-05_01:52:09.711009
AD   30,97.98%,Indira D. Khan,(Democratic),11875,2025-11-05_01:52:09.711009
AD   30,97.98%,Oma D. Phillips,(Democratic),10934,2025-11-05_01:52:09.711009
AD   30,97.98%,William David Shanahan,(Republican),5351,2025-11-05_01:52:09.711009
AD   30,97.98%,Susan M. Silverman,(Republican),5234,2025-11-05_01:52:09.711009
AD   30,97.98%,Thomas D. Barra,(Republican),4526,2025-11-05_01:52:09.711009
AD   30,97.98%,William David Shanahan,(Conservative),669,2025-11-05_01:52:09.711009
AD   30,97.98%,Susan M. Silverman,(Conservative),650,2025-11-05_01:52:09.711009
AD   30,97.98%,Thomas D. Barra,(Conservative),583,2025-11-05_01:52:09.711009
AD   30,97.98%,WRITE-IN,,111,2025-11-05_01:52:09.711009
AD   31,97.98%,Sheridan C. Chu,(Democratic),11785,2025-11-05_01:52:09.711009
AD   31,97.98%,Indira D. Khan,(Democratic),11476,2025-11-05_01:52:09.711009
AD   31,97.98%,Oma D. Phillips,(Democratic),11014,2025-11-05_01:52:09.711009
AD   31,97.98%,William David Shanahan,(Republican),1853,2025-11-05_01:52:09.711009
AD   31,97.98%,Susan M. Silverman,(Republican),1779,2025-11-05_01:52:09.711009
AD   31,97.98%,Thomas D. Barra,(Republican),1565,2025-11-05_01:52:09.711009
AD   31,97.98%,William David Shanahan,(Conservative),334,2025-11-05_01:52:09.711009
AD   31,97.98%,Susan M. Silverman,(Conservative),309,2025-11-05_01:52:09.711009
AD   31,97.98%,Thomas D. Barra,(Conservative),282,2025-11-05_01:52:09.711009
AD   31,97.98%,WRITE-IN,,72,2025-11-05_01:52:09.711009
AD   32,97.98%,Sheridan C. Chu,(Democratic),15745,2025-11-05_01:52:09.711009
AD   32,97.98%,Indira D. Khan,(Democratic),14772,2025-11-05_01:52:09.711009
AD   32,97.98%,Oma D. Phillips,(Democratic),14894,2025-11-05_01:52:09.711009
AD   32,97.98%,William David Shanahan,(Republican),1453,2025-11-05_01:52:09.711009
AD   32,97.98%,Susan M. Silverman,(Republican),1411,2025-11-05_01:52:09.711009
AD   32,97.98%,Thomas D. Barra,(Republican),1172,2025-11-05_01:52:09.711009
AD   32,97.98%,William David Shanahan,(Conservative),344,2025-11-05_01:52:09.711009
AD   32,97.98%,Susan M. Silverman,(Conservative),326,2025-11-05_01:52:09.711009
AD   32,97.98%,Thomas D. Barra,(Conservative),295,2025-11-05_01:52:09.711009
AD   32,97.98%,WRITE-IN,,81,2025-11-05_01:52:09.711009
AD   33,97.98%,Sheridan C. Chu,(Democratic),19980,2025-11-05_01:52:09.711009
AD   33,97.98%,Indira D. Khan,(Democratic),19013,2025-11-05_01:52:09.711009
AD   33,97.98%,Oma D. Phillips,(Democratic),18663,2025-11-05_01:52:09.711009
AD   33,97.98%,William David Shanahan,(Republican),3630,2025-11-05_01:52:09.711009
AD   33,97.98%,Susan M. Silverman,(Republican),3483,2025-11-05_01:52:09.711009
AD   33,97.98%,Thomas D. Barra,(Republican),3060,2025-11-05_01:52:09.711009
AD   33,97.98%,William David Shanahan,(Conservative),644,2025-11-05_01:52:09.711009
AD   33,97.98%,Susan M. Silverman,(Conservative),614,2025-11-05_01:52:09.711009
AD   33,97.98%,Thomas D. Barra,(Conservative),506,2025-11-05_01:52:09.711009
AD   33,97.98%,WRITE-IN,,79,2025-11-05_01:52:09.711009
AD   34,97.98%,Sheridan C. Chu,(Democratic),16095,2025-11-05_01:52:09.711009
AD   34,97.98%,Indira D. Khan,(Democratic),15094,2025-11-05_01:52:09.711009
AD   34,97.98%,Oma D. Phillips,(Democratic),14056,2025-11-05_01:52:09.711009
AD   34,97.98%,William David Shanahan,(Republican),5344,2025-11-05_01:52:09.711009
AD   34,97.98%,Susan M. Silverman,(Republican),5108,2025-11-05_01:52:09.711009
AD   34,97.98%,Thomas D. Barra,(Republican),4498,2025-11-05_01:52:09.711009
AD   34,97.98%,William David Shanahan,(Conservative),651,2025-11-05_01:52:09.711009
AD   34,97.98%,Susan M. Silverman,(Conservative),659,2025-11-05_01:52:09.711009
AD   34,97.98%,Thomas D. Barra,(Conservative),575,2025-11-05_01:52:09.711009
AD   34,97.98%,WRITE-IN,,132,2025-11-05_01:52:09.711009
AD   35,97.98%,Sheridan C. Chu,(Democratic),9527,2025-11-05_01:52:09.711009
AD   35,97.98%,Indira D. Khan,(Democratic),8568,2025-11-05_01:52:09.711009
AD   35,97.98%,Oma D. Phillips,(Democratic),8085,2025-11-05_01:52:09.711009
AD   35,97.98%,William David Shanahan,(Republican),3944,2025-11-05_01:52:09.711009
AD   35,97.98%,Susan M. Silverman,(Republican),4073,2025-11-05_01:52:09.711009
AD   35,97.98%,Thomas D. Barra,(Republican),3412,2025-11-05_01:52:09.711009
AD   35,97.98%,William David Shanahan,(Conservative),483,2025-11-05_01:52:09.711009
AD   35,97.98%,Susan M. Silverman,(Conservative),496,2025-11-05_01:52:09.711009
AD   35,97.98%,Thomas D. Barra,(Conservative),426,2025-11-05_01:52:09.711009
AD   35,97.98%,WRITE-IN,,56,2025-11-05_01:52:09.711009
AD   36,97.98%,Sheridan C. Chu,(Democratic),25211,2025-11-05_01:52:09.711009
AD   36,97.98%,Indira D. Khan,(Democratic),24013,2025-11-05_01:52:09.711009
AD   36,97.98%,Oma D. Phillips,(Democratic),23014,2025-11-05_01:52:09.711009
AD   36,97.98%,William David Shanahan,(Republican),4682,2025-11-05_01:52:09.711009
AD   36,97.98%,Susan M. Silverman,(Republican),4666,2025-11-05_01:52:09.711009
AD   36,97.98%,Thomas D. Barra,(Republican),4049,2025-11-05_01:52:09.711009
AD   36,97.98%,William David Shanahan,(Conservative),633,2025-11-05_01:52:09.711009
AD   36,97.98%,Susan M. Silverman,(Conservative),596,2025-11-05_01:52:09.711009
AD   36,97.98%,Thomas D. Barra,(Conservative),549,2025-11-05_01:52:09.711009
AD   36,97.98%,WRITE-IN,,164,2025-11-05_01:52:09.711009
AD   37,97.98%,Sheridan C. Chu,(Democratic),23022,2025-11-05_01:52:09.711009
AD   37,97.98%,Indira D. Khan,(Democratic),21693,2025-11-05_01:52:09.711009
AD   37,97.98%,Oma D. Phillips,(Democratic),20769,2025-11-05_01:52:09.711009
AD   37,97.98%,William David Shanahan,(Republican),6420,2025-11-05_01:52:09.711009
AD   37,97.98%,Susan M. Silverman,(Republican),6250,2025-11-05_01:52:09.711009
AD   37,97.98%,Thomas D. Barra,(Republican),5469,2025-11-05_01:52:09.711009
AD   37,97.98%,William David Shanahan,(Conservative),792,2025-11-05_01:52:09.711009
AD   37,97.98%,Susan M. Silverman,(Conservative),803,2025-11-05_01:52:09.711009
AD   37,97.98%,Thomas D. Barra,(Conservative),726,2025-11-05_01:52:09.711009
AD   37,97.98%,WRITE-IN,,136,2025-11-05_01:52:09.711009
AD   38,97.98%,Sheridan C. Chu,(Democratic),13374,2025-11-05_01:52:09.711009
AD   38,97.98%,Indira D. Khan,(Democratic),12688,2025-11-05_01:52:09.711009
AD   38,97.98%,Oma D. Phillips,(Democratic),11695,2025-11-05_01:52:09.711009
AD   38,97.98%,William David Shanahan,(Republican),5137,2025-11-05_01:52:09.711009
AD   38,97.98%,Susan M. Silverman,(Republican),5055,2025-11-05_01:52:09.711009
AD   38,97.98%,Thomas D. Barra,(Republican),4529,2025-11-05_01:52:09.711009
AD   38,97.98%,William David Shanahan,(Conservative),699,2025-11-05_01:52:09.711009
AD   38,97.98%,Susan M. Silverman,(Conservative),702,2025-11-05_01:52:09.711009
AD   38,97.98%,Thomas D. Barra,(Conservative),683,2025-11-05_01:52:09.711009
AD   38,97.98%,WRITE-IN,,103,2025-11-05_01:52:09.711009
AD   39,97.98%,Sheridan C. Chu,(Democratic),12186,2025-11-05_01:52:09.711009
AD   39,97.98%,Indira D. Khan,(Democratic),10999,2025-11-05_01:52:09.711009
AD   39,97.98%,Oma D. Phillips,(Democratic),10123,2025-11-05_01:52:09.711009
AD   39,97.98%,William David Shanahan,(Republican),4603,2025-11-05_01:52:09.711009
AD   39,97.98%,Susan M. Silverman,(Republican),4497,2025-11-05_01:52:09.711009
AD   39,97.98%,Thomas D. Barra,(Republican),3912,2025-11-05_01:52:09.711009
AD   39,97.98%,William David Shanahan,(Conservative),528,2025-11-05_01:52:09.711009
AD   39,97.98%,Susan M. Silverman,(Conservative),528,2025-11-05_01:52:09.711009
AD   39,97.98%,Thomas D. Barra,(Conservative),448,2025-11-05_01:52:09.711009
AD   39,97.98%,WRITE-IN,,103,2025-11-05_01:52:09.711009
AD   40,97.98%,Sheridan C. Chu,(Democratic),8690,2025-11-05_01:52:09.711009
