boro,reported,candidate,party,votes,scrape_time
Queens,96.47%,Sheridan C. Chu,(Democratic),272698,2025-11-06_10:54:00.841489
Queens,96.47%,Indira D. Khan,(Democratic),250279,2025-11-06_10:54:00.841489
Queens,96.47%,Oma D. Phillips,(Democratic),240466,2025-11-06_10:54:00.841489
Queens,96.47%,William David Shanahan,(Republican),114424,2025-11-06_10:54:00.841489
Queens,96.47%,Susan M. Silverman,(Republican),114214,2025-11-06_10:54:00.841489
Queens,96.47%,Thomas D. Barra,(Republican),101240,2025-11-06_10:54:00.841489
Queens,96.47%,William David Shanahan,(Conservative),13356,2025-11-06_10:54:00.841489
Queens,96.47%,Susan M. Silverman,(Conservative),13635,2025-11-06_10:54:00.841489
Queens,96.47%,Thomas D. Barra,(Conservative),12267,2025-11-06_10:54:00.841489
Queens,96.47%,WRITE-IN,,1836,2025-11-06_10:54:00.841489
Total,,Sheridan C. Chu,(Democratic),272698,2025-11-06_10:54:00.841489
Total,,Indira D. Khan,(Democratic),250279,2025-11-06_10:54:00.841489
Total,,Oma D. Phillips,(Democratic),240466,2025-11-06_10:54:00.841489
Total,,William David Shanahan,(Republican),114424,2025-11-06_10:54:00.841489
Total,,Susan M. Silverman,(Republican),114214,2025-11-06_10:54:00.841489
Total,,Thomas D. Barra,(Republican),101240,2025-11-06_10:54:00.841489
Total,,William David Shanahan,(Conservative),13356,2025-11-06_10:54:00.841489
Total,,Susan M. Silverman,(Conservative),13635,2025-11-06_10:54:00.841489
Total,,Thomas D. Barra,(Conservative),12267,2025-11-06_10:54:00.841489
Total,,WRITE-IN,,1836,2025-11-06_10:54:00.841489
