ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,97.98%,Sheridan C. Chu,(Democratic),148,AD 23,2025-11-05_01:52:09.711009
ED    1,97.98%,Indira D. Khan,(Democratic),135,AD 23,2025-11-05_01:52:09.711009
ED    1,97.98%,Oma D. Phillips,(Democratic),130,AD 23,2025-11-05_01:52:09.711009
ED    1,97.98%,William David Shanahan,(Republican),696,AD 23,2025-11-05_01:52:09.711009
ED    1,97.98%,Susan M. Silverman,(Republican),642,AD 23,2025-11-05_01:52:09.711009
ED    1,97.98%,Thomas D. Barra,(Republican),635,AD 23,2025-11-05_01:52:09.711009
ED    1,97.98%,William David Shanahan,(Conservative),147,AD 23,2025-11-05_01:52:09.711009
ED    1,97.98%,Susan M. Silverman,(Conservative),142,AD 23,2025-11-05_01:52:09.711009
ED    1,97.98%,Thomas D. Barra,(Conservative),138,AD 23,2025-11-05_01:52:09.711009
ED    1,97.98%,WRITE-IN,&nbsp,1,AD 23,2025-11-05_01:52:09.711009
ED    2,97.98%,Sheridan C. Chu,(Democratic),147,AD 23,2025-11-05_01:52:09.711009
ED    2,97.98%,Indira D. Khan,(Democratic),134,AD 23,2025-11-05_01:52:09.711009
ED    2,97.98%,Oma D. Phillips,(Democratic),131,AD 23,2025-11-05_01:52:09.711009
ED    2,97.98%,William David Shanahan,(Republican),700,AD 23,2025-11-05_01:52:09.711009
ED    2,97.98%,Susan M. Silverman,(Republican),643,AD 23,2025-11-05_01:52:09.711009
ED    2,97.98%,Thomas D. Barra,(Republican),649,AD 23,2025-11-05_01:52:09.711009
ED    2,97.98%,William David Shanahan,(Conservative),112,AD 23,2025-11-05_01:52:09.711009
ED    2,97.98%,Susan M. Silverman,(Conservative),110,AD 23,2025-11-05_01:52:09.711009
ED    2,97.98%,Thomas D. Barra,(Conservative),111,AD 23,2025-11-05_01:52:09.711009
ED    2,97.98%,WRITE-IN,&nbsp,2,AD 23,2025-11-05_01:52:09.711009
ED    3,97.98%,Sheridan C. Chu,(Democratic),61,AD 23,2025-11-05_01:52:09.711009
ED    3,97.98%,Indira D. Khan,(Democratic),61,AD 23,2025-11-05_01:52:09.711009
ED    3,97.98%,Oma D. Phillips,(Democratic),55,AD 23,2025-11-05_01:52:09.711009
ED    3,97.98%,William David Shanahan,(Republican),243,AD 23,2025-11-05_01:52:09.711009
ED    3,97.98%,Susan M. Silverman,(Republican),221,AD 23,2025-11-05_01:52:09.711009
ED    3,97.98%,Thomas D. Barra,(Republican),230,AD 23,2025-11-05_01:52:09.711009
ED    3,97.98%,William David Shanahan,(Conservative),26,AD 23,2025-11-05_01:52:09.711009
ED    3,97.98%,Susan M. Silverman,(Conservative),27,AD 23,2025-11-05_01:52:09.711009
ED    3,97.98%,Thomas D. Barra,(Conservative),25,AD 23,2025-11-05_01:52:09.711009
ED    3,97.98%,WRITE-IN,&nbsp,1,AD 23,2025-11-05_01:52:09.711009
ED    4,97.98%,Sheridan C. Chu,(Democratic),248,AD 23,2025-11-05_01:52:09.711009
ED    4,97.98%,Indira D. Khan,(Democratic),228,AD 23,2025-11-05_01:52:09.711009
ED    4,97.98%,Oma D. Phillips,(Democratic),226,AD 23,2025-11-05_01:52:09.711009
ED    4,97.98%,William David Shanahan,(Republican),634,AD 23,2025-11-05_01:52:09.711009
ED    4,97.98%,Susan M. Silverman,(Republican),607,AD 23,2025-11-05_01:52:09.711009
ED    4,97.98%,Thomas D. Barra,(Republican),579,AD 23,2025-11-05_01:52:09.711009
ED    4,97.98%,William David Shanahan,(Conservative),64,AD 23,2025-11-05_01:52:09.711009
ED    4,97.98%,Susan M. Silverman,(Conservative),52,AD 23,2025-11-05_01:52:09.711009
ED    4,97.98%,Thomas D. Barra,(Conservative),53,AD 23,2025-11-05_01:52:09.711009
ED    4,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:52:09.711009
ED    5,97.98%,Sheridan C. Chu,(Democratic),188,AD 23,2025-11-05_01:52:09.711009
ED    5,97.98%,Indira D. Khan,(Democratic),161,AD 23,2025-11-05_01:52:09.711009
ED    5,97.98%,Oma D. Phillips,(Democratic),167,AD 23,2025-11-05_01:52:09.711009
ED    5,97.98%,William David Shanahan,(Republican),705,AD 23,2025-11-05_01:52:09.711009
ED    5,97.98%,Susan M. Silverman,(Republican),682,AD 23,2025-11-05_01:52:09.711009
ED    5,97.98%,Thomas D. Barra,(Republican),656,AD 23,2025-11-05_01:52:09.711009
ED    5,97.98%,William David Shanahan,(Conservative),67,AD 23,2025-11-05_01:52:09.711009
ED    5,97.98%,Susan M. Silverman,(Conservative),61,AD 23,2025-11-05_01:52:09.711009
ED    5,97.98%,Thomas D. Barra,(Conservative),55,AD 23,2025-11-05_01:52:09.711009
ED    5,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:52:09.711009
ED    6,97.98%,Sheridan C. Chu,(Democratic),214,AD 23,2025-11-05_01:52:09.711009
ED    6,97.98%,Indira D. Khan,(Democratic),198,AD 23,2025-11-05_01:52:09.711009
ED    6,97.98%,Oma D. Phillips,(Democratic),195,AD 23,2025-11-05_01:52:09.711009
ED    6,97.98%,William David Shanahan,(Republican),654,AD 23,2025-11-05_01:52:09.711009
ED    6,97.98%,Susan M. Silverman,(Republican),625,AD 23,2025-11-05_01:52:09.711009
ED    6,97.98%,Thomas D. Barra,(Republican),598,AD 23,2025-11-05_01:52:09.711009
ED    6,97.98%,William David Shanahan,(Conservative),71,AD 23,2025-11-05_01:52:09.711009
ED    6,97.98%,Susan M. Silverman,(Conservative),64,AD 23,2025-11-05_01:52:09.711009
ED    6,97.98%,Thomas D. Barra,(Conservative),62,AD 23,2025-11-05_01:52:09.711009
ED    6,97.98%,WRITE-IN,&nbsp,1,AD 23,2025-11-05_01:52:09.711009
ED    7,97.98%,Sheridan C. Chu,(Democratic),278,AD 23,2025-11-05_01:52:09.711009
ED    7,97.98%,Indira D. Khan,(Democratic),250,AD 23,2025-11-05_01:52:09.711009
ED    7,97.98%,Oma D. Phillips,(Democratic),240,AD 23,2025-11-05_01:52:09.711009
ED    7,97.98%,William David Shanahan,(Republican),663,AD 23,2025-11-05_01:52:09.711009
ED    7,97.98%,Susan M. Silverman,(Republican),610,AD 23,2025-11-05_01:52:09.711009
ED    7,97.98%,Thomas D. Barra,(Republican),577,AD 23,2025-11-05_01:52:09.711009
ED    7,97.98%,William David Shanahan,(Conservative),71,AD 23,2025-11-05_01:52:09.711009
ED    7,97.98%,Susan M. Silverman,(Conservative),67,AD 23,2025-11-05_01:52:09.711009
ED    7,97.98%,Thomas D. Barra,(Conservative),69,AD 23,2025-11-05_01:52:09.711009
ED    7,97.98%,WRITE-IN,&nbsp,6,AD 23,2025-11-05_01:52:09.711009
ED    8,97.98%,Sheridan C. Chu,(Democratic),130,AD 23,2025-11-05_01:52:09.711009
ED    8,97.98%,Indira D. Khan,(Democratic),128,AD 23,2025-11-05_01:52:09.711009
ED    8,97.98%,Oma D. Phillips,(Democratic),129,AD 23,2025-11-05_01:52:09.711009
ED    8,97.98%,William David Shanahan,(Republican),168,AD 23,2025-11-05_01:52:09.711009
ED    8,97.98%,Susan M. Silverman,(Republican),153,AD 23,2025-11-05_01:52:09.711009
ED    8,97.98%,Thomas D. Barra,(Republican),137,AD 23,2025-11-05_01:52:09.711009
ED    8,97.98%,William David Shanahan,(Conservative),31,AD 23,2025-11-05_01:52:09.711009
ED    8,97.98%,Susan M. Silverman,(Conservative),27,AD 23,2025-11-05_01:52:09.711009
ED    8,97.98%,Thomas D. Barra,(Conservative),26,AD 23,2025-11-05_01:52:09.711009
ED    8,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:52:09.711009
ED    9,97.98%,Sheridan C. Chu,(Democratic),100,AD 23,2025-11-05_01:52:09.711009
ED    9,97.98%,Indira D. Khan,(Democratic),96,AD 23,2025-11-05_01:52:09.711009
ED    9,97.98%,Oma D. Phillips,(Democratic),97,AD 23,2025-11-05_01:52:09.711009
ED    9,97.98%,William David Shanahan,(Republican),90,AD 23,2025-11-05_01:52:09.711009
ED    9,97.98%,Susan M. Silverman,(Republican),81,AD 23,2025-11-05_01:52:09.711009
ED    9,97.98%,Thomas D. Barra,(Republican),79,AD 23,2025-11-05_01:52:09.711009
ED    9,97.98%,William David Shanahan,(Conservative),11,AD 23,2025-11-05_01:52:09.711009
ED    9,97.98%,Susan M. Silverman,(Conservative),9,AD 23,2025-11-05_01:52:09.711009
ED    9,97.98%,Thomas D. Barra,(Conservative),9,AD 23,2025-11-05_01:52:09.711009
ED    9,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:52:09.711009
ED   10,97.98%,Sheridan C. Chu,(Democratic),254,AD 23,2025-11-05_01:52:09.711009
ED   10,97.98%,Indira D. Khan,(Democratic),227,AD 23,2025-11-05_01:52:09.711009
ED   10,97.98%,Oma D. Phillips,(Democratic),230,AD 23,2025-11-05_01:52:09.711009
ED   10,97.98%,William David Shanahan,(Republican),467,AD 23,2025-11-05_01:52:09.711009
ED   10,97.98%,Susan M. Silverman,(Republican),432,AD 23,2025-11-05_01:52:09.711009
ED   10,97.98%,Thomas D. Barra,(Republican),395,AD 23,2025-11-05_01:52:09.711009
ED   10,97.98%,William David Shanahan,(Conservative),45,AD 23,2025-11-05_01:52:09.711009
ED   10,97.98%,Susan M. Silverman,(Conservative),43,AD 23,2025-11-05_01:52:09.711009
ED   10,97.98%,Thomas D. Barra,(Conservative),45,AD 23,2025-11-05_01:52:09.711009
ED   10,97.98%,WRITE-IN,&nbsp,4,AD 23,2025-11-05_01:52:09.711009
ED   11,97.98%,Sheridan C. Chu,(Democratic),312,AD 23,2025-11-05_01:52:09.711009
ED   11,97.98%,Indira D. Khan,(Democratic),288,AD 23,2025-11-05_01:52:09.711009
ED   11,97.98%,Oma D. Phillips,(Democratic),285,AD 23,2025-11-05_01:52:09.711009
ED   11,97.98%,William David Shanahan,(Republican),143,AD 23,2025-11-05_01:52:09.711009
ED   11,97.98%,Susan M. Silverman,(Republican),136,AD 23,2025-11-05_01:52:09.711009
ED   11,97.98%,Thomas D. Barra,(Republican),131,AD 23,2025-11-05_01:52:09.711009
ED   11,97.98%,William David Shanahan,(Conservative),20,AD 23,2025-11-05_01:52:09.711009
ED   11,97.98%,Susan M. Silverman,(Conservative),17,AD 23,2025-11-05_01:52:09.711009
ED   11,97.98%,Thomas D. Barra,(Conservative),15,AD 23,2025-11-05_01:52:09.711009
ED   11,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:52:09.711009
ED   12,97.98%,Sheridan C. Chu,(Democratic),94,AD 23,2025-11-05_01:52:09.711009
ED   12,97.98%,Indira D. Khan,(Democratic),93,AD 23,2025-11-05_01:52:09.711009
ED   12,97.98%,Oma D. Phillips,(Democratic),87,AD 23,2025-11-05_01:52:09.711009
ED   12,97.98%,William David Shanahan,(Republican),29,AD 23,2025-11-05_01:52:09.711009
ED   12,97.98%,Susan M. Silverman,(Republican),34,AD 23,2025-11-05_01:52:09.711009
ED   12,97.98%,Thomas D. Barra,(Republican),25,AD 23,2025-11-05_01:52:09.711009
ED   12,97.98%,William David Shanahan,(Conservative),10,AD 23,2025-11-05_01:52:09.711009
ED   12,97.98%,Susan M. Silverman,(Conservative),8,AD 23,2025-11-05_01:52:09.711009
ED   12,97.98%,Thomas D. Barra,(Conservative),10,AD 23,2025-11-05_01:52:09.711009
ED   12,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:52:09.711009
ED   13,97.98%,Sheridan C. Chu,(Democratic),245,AD 23,2025-11-05_01:52:09.711009
ED   13,97.98%,Indira D. Khan,(Democratic),246,AD 23,2025-11-05_01:52:09.711009
ED   13,97.98%,Oma D. Phillips,(Democratic),230,AD 23,2025-11-05_01:52:09.711009
ED   13,97.98%,William David Shanahan,(Republican),110,AD 23,2025-11-05_01:52:09.711009
ED   13,97.98%,Susan M. Silverman,(Republican),112,AD 23,2025-11-05_01:52:09.711009
ED   13,97.98%,Thomas D. Barra,(Republican),103,AD 23,2025-11-05_01:52:09.711009
ED   13,97.98%,William David Shanahan,(Conservative),18,AD 23,2025-11-05_01:52:09.711009
ED   13,97.98%,Susan M. Silverman,(Conservative),17,AD 23,2025-11-05_01:52:09.711009
ED   13,97.98%,Thomas D. Barra,(Conservative),16,AD 23,2025-11-05_01:52:09.711009
ED   13,97.98%,WRITE-IN,&nbsp,4,AD 23,2025-11-05_01:52:09.711009
ED   14,97.98%,Sheridan C. Chu,(Democratic),193,AD 23,2025-11-05_01:52:09.711009
ED   14,97.98%,Indira D. Khan,(Democratic),181,AD 23,2025-11-05_01:52:09.711009
ED   14,97.98%,Oma D. Phillips,(Democratic),180,AD 23,2025-11-05_01:52:09.711009
