AD_num,reported,candidate,party,votes,scrape_time
AD   78,0.00%,Katherine A. O'Brien,(Democratic),288,2025-11-04_22:11:42.778966
AD   78,0.00%,WRITE-IN,,3,2025-11-04_22:11:42.778966
AD   79,0.00%,Katherine A. O'Brien,(Democratic),2712,2025-11-04_22:11:42.778966
AD   79,0.00%,WRITE-IN,,24,2025-11-04_22:11:42.778966
AD   80,0.00%,Katherine A. O'Brien,(Democratic),11405,2025-11-04_22:11:42.778966
AD   80,0.00%,WRITE-IN,,205,2025-11-04_22:11:42.778966
AD   81,0.00%,Katherine A. O'Brien,(Democratic),1773,2025-11-04_22:11:42.778966
AD   81,0.00%,WRITE-IN,,19,2025-11-04_22:11:42.778966
AD   82,0.00%,Katherine A. O'Brien,(Democratic),20841,2025-11-04_22:11:42.778966
AD   82,0.00%,WRITE-IN,,371,2025-11-04_22:11:42.778966
AD   83,0.00%,Katherine A. O'Brien,(Democratic),13796,2025-11-04_22:11:42.778966
AD   83,0.00%,WRITE-IN,,76,2025-11-04_22:11:42.778966
AD   84,0.00%,Katherine A. O'Brien,(Democratic),1561,2025-11-04_22:11:42.778966
AD   84,0.00%,WRITE-IN,,15,2025-11-04_22:11:42.778966
AD   85,0.00%,Katherine A. O'Brien,(Democratic),12554,2025-11-04_22:11:42.778966
AD   85,0.00%,WRITE-IN,,123,2025-11-04_22:11:42.778966
AD   87,0.00%,Katherine A. O'Brien,(Democratic),15294,2025-11-04_22:11:42.778966
AD   87,0.00%,WRITE-IN,,130,2025-11-04_22:11:42.778966
Total,,Katherine A. O'Brien,(Democratic),80224,2025-11-04_22:11:42.778966
Total,,WRITE-IN,,966,2025-11-04_22:11:42.778966
