AD_num,reported,candidate,party,votes,scrape_time
AD   61,97.98%,Matthew J. Santamauro,(Democratic),11863,2025-11-05_01:52:51.298693
AD   61,97.98%,Remy Smith,(Republican),6799,2025-11-05_01:52:51.298693
AD   61,97.98%,Remy Smith,(Conservative),645,2025-11-05_01:52:51.298693
AD   61,97.98%,WRITE-IN,,32,2025-11-05_01:52:51.298693
AD   62,97.98%,Matthew J. Santamauro,(Democratic),240,2025-11-05_01:52:51.298693
AD   62,97.98%,Remy Smith,(Republican),433,2025-11-05_01:52:51.298693
AD   62,97.98%,Remy Smith,(Conservative),22,2025-11-05_01:52:51.298693
AD   62,97.98%,WRITE-IN,,0,2025-11-05_01:52:51.298693
AD   63,97.98%,Matthew J. Santamauro,(Democratic),11361,2025-11-05_01:52:51.298693
AD   63,97.98%,Remy Smith,(Republican),12531,2025-11-05_01:52:51.298693
AD   63,97.98%,Remy Smith,(Conservative),832,2025-11-05_01:52:51.298693
AD   63,97.98%,WRITE-IN,,19,2025-11-05_01:52:51.298693
AD   64,97.98%,Matthew J. Santamauro,(Democratic),12,2025-11-05_01:52:51.298693
AD   64,97.98%,Remy Smith,(Republican),20,2025-11-05_01:52:51.298693
AD   64,97.98%,Remy Smith,(Conservative),0,2025-11-05_01:52:51.298693
AD   64,97.98%,WRITE-IN,,0,2025-11-05_01:52:51.298693
Total,,Matthew J. Santamauro,(Democratic),23476,2025-11-05_01:52:51.298693
Total,,Remy Smith,(Republican),19783,2025-11-05_01:52:51.298693
Total,,Remy Smith,(Conservative),1499,2025-11-05_01:52:51.298693
Total,,WRITE-IN,,51,2025-11-05_01:52:51.298693
