ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   11,0.00%,Matthew J. Santamauro,(Democratic),500,AD 61,2025-11-04_22:11:55.678813
ED   11,0.00%,Remy Smith,(Republican),175,AD 61,2025-11-04_22:11:55.678813
ED   11,0.00%,Remy Smith,(Conservative),12,AD 61,2025-11-04_22:11:55.678813
ED   11,0.00%,WRITE-IN,&nbsp,1,AD 61,2025-11-04_22:11:55.678813
ED   12,0.00%,Matthew J. Santamauro,(Democratic),563,AD 61,2025-11-04_22:11:55.678813
ED   12,0.00%,Remy Smith,(Republican),115,AD 61,2025-11-04_22:11:55.678813
ED   12,0.00%,Remy Smith,(Conservative),9,AD 61,2025-11-04_22:11:55.678813
ED   12,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:11:55.678813
ED   13,0.00%,Matthew J. Santamauro,(Democratic),491,AD 61,2025-11-04_22:11:55.678813
ED   13,0.00%,Remy Smith,(Republican),67,AD 61,2025-11-04_22:11:55.678813
ED   13,0.00%,Remy Smith,(Conservative),11,AD 61,2025-11-04_22:11:55.678813
ED   13,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:11:55.678813
ED   14,0.00%,Matthew J. Santamauro,(Democratic),199,AD 61,2025-11-04_22:11:55.678813
ED   14,0.00%,Remy Smith,(Republican),24,AD 61,2025-11-04_22:11:55.678813
ED   14,0.00%,Remy Smith,(Conservative),3,AD 61,2025-11-04_22:11:55.678813
ED   14,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:11:55.678813
ED   15,0.00%,Matthew J. Santamauro,(Democratic),350,AD 61,2025-11-04_22:11:55.678813
ED   15,0.00%,Remy Smith,(Republican),43,AD 61,2025-11-04_22:11:55.678813
ED   15,0.00%,Remy Smith,(Conservative),6,AD 61,2025-11-04_22:11:55.678813
ED   15,0.00%,WRITE-IN,&nbsp,3,AD 61,2025-11-04_22:11:55.678813
ED   16,0.00%,Matthew J. Santamauro,(Democratic),243,AD 61,2025-11-04_22:11:55.678813
ED   16,0.00%,Remy Smith,(Republican),39,AD 61,2025-11-04_22:11:55.678813
ED   16,0.00%,Remy Smith,(Conservative),9,AD 61,2025-11-04_22:11:55.678813
ED   16,0.00%,WRITE-IN,&nbsp,1,AD 61,2025-11-04_22:11:55.678813
ED   17,0.00%,Matthew J. Santamauro,(Democratic),258,AD 61,2025-11-04_22:11:55.678813
ED   17,0.00%,Remy Smith,(Republican),253,AD 61,2025-11-04_22:11:55.678813
ED   17,0.00%,Remy Smith,(Conservative),26,AD 61,2025-11-04_22:11:55.678813
ED   17,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:11:55.678813
ED   18,0.00%,Matthew J. Santamauro,(Democratic),279,AD 61,2025-11-04_22:11:55.678813
ED   18,0.00%,Remy Smith,(Republican),72,AD 61,2025-11-04_22:11:55.678813
ED   18,0.00%,Remy Smith,(Conservative),7,AD 61,2025-11-04_22:11:55.678813
ED   18,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:11:55.678813
ED   19,0.00%,Matthew J. Santamauro,(Democratic),328,AD 61,2025-11-04_22:11:55.678813
ED   19,0.00%,Remy Smith,(Republican),83,AD 61,2025-11-04_22:11:55.678813
ED   19,0.00%,Remy Smith,(Conservative),9,AD 61,2025-11-04_22:11:55.678813
ED   19,0.00%,WRITE-IN,&nbsp,2,AD 61,2025-11-04_22:11:55.678813
ED   20,0.00%,Matthew J. Santamauro,(Democratic),306,AD 61,2025-11-04_22:11:55.678813
ED   20,0.00%,Remy Smith,(Republican),105,AD 61,2025-11-04_22:11:55.678813
ED   20,0.00%,Remy Smith,(Conservative),7,AD 61,2025-11-04_22:11:55.678813
ED   20,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:11:55.678813
ED   21,0.00%,Matthew J. Santamauro,(Democratic),419,AD 61,2025-11-04_22:11:55.678813
