ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,97.98%,Eric J. Wursthorn,(Democratic),2,AD 66,2025-11-05_01:52:42.246656
ED    1,97.98%,WRITE-IN,&nbsp,0,AD 66,2025-11-05_01:52:42.246656
ED    2,97.98%,Eric J. Wursthorn,(Democratic),496,AD 66,2025-11-05_01:52:42.246656
ED    2,97.98%,WRITE-IN,&nbsp,4,AD 66,2025-11-05_01:52:42.246656
ED    3,97.98%,Eric J. Wursthorn,(Democratic),428,AD 66,2025-11-05_01:52:42.246656
ED    3,97.98%,WRITE-IN,&nbsp,1,AD 66,2025-11-05_01:52:42.246656
Total,,Eric J. Wursthorn,(Democratic),926,AD 66,2025-11-05_01:52:42.246656
Total,,WRITE-IN,&nbsp,5,AD 66,2025-11-05_01:52:42.246656
ED   47,97.98%,Eric J. Wursthorn,(Democratic),629,AD 67,2025-11-05_01:52:42.246656
ED   47,97.98%,WRITE-IN,&nbsp,15,AD 67,2025-11-05_01:52:42.246656
ED   48,97.98%,Eric J. Wursthorn,(Democratic),590,AD 67,2025-11-05_01:52:42.246656
ED   48,97.98%,WRITE-IN,&nbsp,3,AD 67,2025-11-05_01:52:42.246656
ED   49,97.98%,Eric J. Wursthorn,(Democratic),493,AD 67,2025-11-05_01:52:42.246656
ED   49,97.98%,WRITE-IN,&nbsp,3,AD 67,2025-11-05_01:52:42.246656
ED   50,97.98%,Eric J. Wursthorn,(Democratic),401,AD 67,2025-11-05_01:52:42.246656
ED   50,97.98%,WRITE-IN,&nbsp,3,AD 67,2025-11-05_01:52:42.246656
ED   51,97.98%,Eric J. Wursthorn,(Democratic),241,AD 67,2025-11-05_01:52:42.246656
ED   51,97.98%,WRITE-IN,&nbsp,1,AD 67,2025-11-05_01:52:42.246656
ED   52,97.98%,Eric J. Wursthorn,(Democratic),609,AD 67,2025-11-05_01:52:42.246656
ED   52,97.98%,WRITE-IN,&nbsp,5,AD 67,2025-11-05_01:52:42.246656
ED   53,97.98%,Eric J. Wursthorn,(Democratic),378,AD 67,2025-11-05_01:52:42.246656
ED   53,97.98%,WRITE-IN,&nbsp,7,AD 67,2025-11-05_01:52:42.246656
ED   54,97.98%,Eric J. Wursthorn,(Democratic),461,AD 67,2025-11-05_01:52:42.246656
ED   54,97.98%,WRITE-IN,&nbsp,3,AD 67,2025-11-05_01:52:42.246656
ED   55,97.98%,Eric J. Wursthorn,(Democratic),349,AD 67,2025-11-05_01:52:42.246656
ED   55,97.98%,WRITE-IN,&nbsp,8,AD 67,2025-11-05_01:52:42.246656
ED   56,97.98%,Eric J. Wursthorn,(Democratic),607,AD 67,2025-11-05_01:52:42.246656
ED   56,97.98%,WRITE-IN,&nbsp,8,AD 67,2025-11-05_01:52:42.246656
ED   57,97.98%,Eric J. Wursthorn,(Democratic),743,AD 67,2025-11-05_01:52:42.246656
ED   57,97.98%,WRITE-IN,&nbsp,10,AD 67,2025-11-05_01:52:42.246656
ED   58,97.98%,Eric J. Wursthorn,(Democratic),387,AD 67,2025-11-05_01:52:42.246656
ED   58,97.98%,WRITE-IN,&nbsp,7,AD 67,2025-11-05_01:52:42.246656
ED   59,97.98%,Eric J. Wursthorn,(Democratic),656,AD 67,2025-11-05_01:52:42.246656
ED   59,97.98%,WRITE-IN,&nbsp,10,AD 67,2025-11-05_01:52:42.246656
ED   60,97.98%,Eric J. Wursthorn,(Democratic),669,AD 67,2025-11-05_01:52:42.246656
ED   60,97.98%,WRITE-IN,&nbsp,5,AD 67,2025-11-05_01:52:42.246656
ED   61,97.98%,Eric J. Wursthorn,(Democratic),354,AD 67,2025-11-05_01:52:42.246656
ED   61,97.98%,WRITE-IN,&nbsp,0,AD 67,2025-11-05_01:52:42.246656
ED   62,97.98%,Eric J. Wursthorn,(Democratic),641,AD 67,2025-11-05_01:52:42.246656
ED   62,97.98%,WRITE-IN,&nbsp,4,AD 67,2025-11-05_01:52:42.246656
ED   63,97.98%,Eric J. Wursthorn,(Democratic),621,AD 67,2025-11-05_01:52:42.246656
ED   63,97.98%,WRITE-IN,&nbsp,5,AD 67,2025-11-05_01:52:42.246656
ED   64,97.98%,Eric J. Wursthorn,(Democratic),496,AD 67,2025-11-05_01:52:42.246656
ED   64,97.98%,WRITE-IN,&nbsp,7,AD 67,2025-11-05_01:52:42.246656
ED   65,97.98%,Eric J. Wursthorn,(Democratic),587,AD 67,2025-11-05_01:52:42.246656
ED   65,97.98%,WRITE-IN,&nbsp,7,AD 67,2025-11-05_01:52:42.246656
ED   66,97.98%,Eric J. Wursthorn,(Democratic),256,AD 67,2025-11-05_01:52:42.246656
ED   66,97.98%,WRITE-IN,&nbsp,1,AD 67,2025-11-05_01:52:42.246656
ED   67,97.98%,Eric J. Wursthorn,(Democratic),523,AD 67,2025-11-05_01:52:42.246656
ED   67,97.98%,WRITE-IN,&nbsp,8,AD 67,2025-11-05_01:52:42.246656
ED   68,97.98%,Eric J. Wursthorn,(Democratic),386,AD 67,2025-11-05_01:52:42.246656
ED   68,97.98%,WRITE-IN,&nbsp,3,AD 67,2025-11-05_01:52:42.246656
Total,,Eric J. Wursthorn,(Democratic),11077,AD 67,2025-11-05_01:52:42.246656
Total,,WRITE-IN,&nbsp,123,AD 67,2025-11-05_01:52:42.246656
ED    3,97.98%,Eric J. Wursthorn,(Democratic),717,AD 75,2025-11-05_01:52:42.246656
ED    3,97.98%,WRITE-IN,&nbsp,8,AD 75,2025-11-05_01:52:42.246656
ED    4,97.98%,Eric J. Wursthorn,(Democratic),342,AD 75,2025-11-05_01:52:42.246656
ED    4,97.98%,WRITE-IN,&nbsp,7,AD 75,2025-11-05_01:52:42.246656
ED    5,97.98%,Eric J. Wursthorn,(Democratic),604,AD 75,2025-11-05_01:52:42.246656
ED    5,97.98%,WRITE-IN,&nbsp,10,AD 75,2025-11-05_01:52:42.246656
ED    6,97.98%,Eric J. Wursthorn,(Democratic),700,AD 75,2025-11-05_01:52:42.246656
ED    6,97.98%,WRITE-IN,&nbsp,7,AD 75,2025-11-05_01:52:42.246656
ED    7,97.98%,Eric J. Wursthorn,(Democratic),502,AD 75,2025-11-05_01:52:42.246656
ED    7,97.98%,WRITE-IN,&nbsp,5,AD 75,2025-11-05_01:52:42.246656
ED    8,97.98%,Eric J. Wursthorn,(Democratic),843,AD 75,2025-11-05_01:52:42.246656
ED    8,97.98%,WRITE-IN,&nbsp,8,AD 75,2025-11-05_01:52:42.246656
ED    9,97.98%,Eric J. Wursthorn,(Democratic),148,AD 75,2025-11-05_01:52:42.246656
ED    9,97.98%,WRITE-IN,&nbsp,4,AD 75,2025-11-05_01:52:42.246656
ED   10,97.98%,Eric J. Wursthorn,(Democratic),683,AD 75,2025-11-05_01:52:42.246656
ED   10,97.98%,WRITE-IN,&nbsp,15,AD 75,2025-11-05_01:52:42.246656
ED   17,97.98%,Eric J. Wursthorn,(Democratic),371,AD 75,2025-11-05_01:52:42.246656
ED   17,97.98%,WRITE-IN,&nbsp,6,AD 75,2025-11-05_01:52:42.246656
ED   29,97.98%,Eric J. Wursthorn,(Democratic),503,AD 75,2025-11-05_01:52:42.246656
ED   29,97.98%,WRITE-IN,&nbsp,7,AD 75,2025-11-05_01:52:42.246656
ED   30,97.98%,Eric J. Wursthorn,(Democratic),338,AD 75,2025-11-05_01:52:42.246656
ED   30,97.98%,WRITE-IN,&nbsp,5,AD 75,2025-11-05_01:52:42.246656
ED   31,97.98%,Eric J. Wursthorn,(Democratic),616,AD 75,2025-11-05_01:52:42.246656
ED   31,97.98%,WRITE-IN,&nbsp,5,AD 75,2025-11-05_01:52:42.246656
ED   32,97.98%,Eric J. Wursthorn,(Democratic),540,AD 75,2025-11-05_01:52:42.246656
ED   32,97.98%,WRITE-IN,&nbsp,4,AD 75,2025-11-05_01:52:42.246656
ED   33,97.98%,Eric J. Wursthorn,(Democratic),465,AD 75,2025-11-05_01:52:42.246656
ED   33,97.98%,WRITE-IN,&nbsp,7,AD 75,2025-11-05_01:52:42.246656
ED   34,97.98%,Eric J. Wursthorn,(Democratic),445,AD 75,2025-11-05_01:52:42.246656
ED   34,97.98%,WRITE-IN,&nbsp,2,AD 75,2025-11-05_01:52:42.246656
ED   35,97.98%,Eric J. Wursthorn,(Democratic),368,AD 75,2025-11-05_01:52:42.246656
ED   35,97.98%,WRITE-IN,&nbsp,2,AD 75,2025-11-05_01:52:42.246656
ED   36,97.98%,Eric J. Wursthorn,(Democratic),129,AD 75,2025-11-05_01:52:42.246656
ED   36,97.98%,WRITE-IN,&nbsp,3,AD 75,2025-11-05_01:52:42.246656
