boro,reported,candidate,party,votes,scrape_time
Queens,94.96%,Gail A. Adams,(Democratic),91009,2025-11-06_10:54:42.511031
Queens,94.96%,Fania Jean,(Democratic),76984,2025-11-06_10:54:42.511031
Queens,94.96%,Mary-Ann E. Maloney,(Republican),19198,2025-11-06_10:54:42.511031
Queens,94.96%,Mary-Ann E. Maloney,(Conservative),2877,2025-11-06_10:54:42.511031
Queens,94.96%,WRITE-IN,,553,2025-11-06_10:54:42.511031
Total,,Gail A. Adams,(Democratic),91009,2025-11-06_10:54:42.511031
Total,,Fania Jean,(Democratic),76984,2025-11-06_10:54:42.511031
Total,,Mary-Ann E. Maloney,(Republican),19198,2025-11-06_10:54:42.511031
Total,,Mary-Ann E. Maloney,(Conservative),2877,2025-11-06_10:54:42.511031
Total,,WRITE-IN,,553,2025-11-06_10:54:42.511031
