ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Duane Frankson,(Democratic),458,AD 53,2025-11-06_10:54:40.589716
ED    1,99.00%,Dagmar Plaza-Gonzalez,(Democratic),459,AD 53,2025-11-06_10:54:40.589716
ED    1,99.00%,WRITE-IN,&nbsp,5,AD 53,2025-11-06_10:54:40.589716
ED    2,88.89%,Duane Frankson,(Democratic),521,AD 53,2025-11-06_10:54:40.589716
ED    2,88.89%,Dagmar Plaza-Gonzalez,(Democratic),491,AD 53,2025-11-06_10:54:40.589716
ED    2,88.89%,WRITE-IN,&nbsp,2,AD 53,2025-11-06_10:54:40.589716
ED    3,99.00%,Duane Frankson,(Democratic),402,AD 53,2025-11-06_10:54:40.589716
ED    3,99.00%,Dagmar Plaza-Gonzalez,(Democratic),392,AD 53,2025-11-06_10:54:40.589716
ED    3,99.00%,WRITE-IN,&nbsp,4,AD 53,2025-11-06_10:54:40.589716
ED    4,88.89%,Duane Frankson,(Democratic),218,AD 53,2025-11-06_10:54:40.589716
ED    4,88.89%,Dagmar Plaza-Gonzalez,(Democratic),244,AD 53,2025-11-06_10:54:40.589716
ED    4,88.89%,WRITE-IN,&nbsp,0,AD 53,2025-11-06_10:54:40.589716
ED    5,99.00%,Duane Frankson,(Democratic),314,AD 53,2025-11-06_10:54:40.589716
ED    5,99.00%,Dagmar Plaza-Gonzalez,(Democratic),291,AD 53,2025-11-06_10:54:40.589716
ED    5,99.00%,WRITE-IN,&nbsp,4,AD 53,2025-11-06_10:54:40.589716
ED    6,99.00%,Duane Frankson,(Democratic),187,AD 53,2025-11-06_10:54:40.589716
ED    6,99.00%,Dagmar Plaza-Gonzalez,(Democratic),201,AD 53,2025-11-06_10:54:40.589716
ED    6,99.00%,WRITE-IN,&nbsp,0,AD 53,2025-11-06_10:54:40.589716
ED    7,99.00%,Duane Frankson,(Democratic),236,AD 53,2025-11-06_10:54:40.589716
ED    7,99.00%,Dagmar Plaza-Gonzalez,(Democratic),234,AD 53,2025-11-06_10:54:40.589716
ED    7,99.00%,WRITE-IN,&nbsp,2,AD 53,2025-11-06_10:54:40.589716
ED    8,87.50%,Duane Frankson,(Democratic),273,AD 53,2025-11-06_10:54:40.589716
ED    8,87.50%,Dagmar Plaza-Gonzalez,(Democratic),269,AD 53,2025-11-06_10:54:40.589716
ED    8,87.50%,WRITE-IN,&nbsp,4,AD 53,2025-11-06_10:54:40.589716
ED    9,99.00%,Duane Frankson,(Democratic),378,AD 53,2025-11-06_10:54:40.589716
ED    9,99.00%,Dagmar Plaza-Gonzalez,(Democratic),384,AD 53,2025-11-06_10:54:40.589716
ED    9,99.00%,WRITE-IN,&nbsp,8,AD 53,2025-11-06_10:54:40.589716
ED   10,99.00%,Duane Frankson,(Democratic),449,AD 53,2025-11-06_10:54:40.589716
ED   10,99.00%,Dagmar Plaza-Gonzalez,(Democratic),464,AD 53,2025-11-06_10:54:40.589716
ED   10,99.00%,WRITE-IN,&nbsp,4,AD 53,2025-11-06_10:54:40.589716
ED   11,85.71%,Duane Frankson,(Democratic),234,AD 53,2025-11-06_10:54:40.589716
ED   11,85.71%,Dagmar Plaza-Gonzalez,(Democratic),225,AD 53,2025-11-06_10:54:40.589716
ED   11,85.71%,WRITE-IN,&nbsp,2,AD 53,2025-11-06_10:54:40.589716
ED   12,85.71%,Duane Frankson,(Democratic),246,AD 53,2025-11-06_10:54:40.589716
ED   12,85.71%,Dagmar Plaza-Gonzalez,(Democratic),257,AD 53,2025-11-06_10:54:40.589716
ED   12,85.71%,WRITE-IN,&nbsp,2,AD 53,2025-11-06_10:54:40.589716
