ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,97.98%,Lisa S. Headley,(Democratic),314,AD 68,2025-11-05_01:52:43.156892
ED    1,97.98%,WRITE-IN,&nbsp,1,AD 68,2025-11-05_01:52:43.156892
ED    2,97.98%,Lisa S. Headley,(Democratic),252,AD 68,2025-11-05_01:52:43.156892
ED    2,97.98%,WRITE-IN,&nbsp,1,AD 68,2025-11-05_01:52:43.156892
ED    3,97.98%,Lisa S. Headley,(Democratic),131,AD 68,2025-11-05_01:52:43.156892
ED    3,97.98%,WRITE-IN,&nbsp,2,AD 68,2025-11-05_01:52:43.156892
ED    4,97.98%,Lisa S. Headley,(Democratic),435,AD 68,2025-11-05_01:52:43.156892
ED    4,97.98%,WRITE-IN,&nbsp,3,AD 68,2025-11-05_01:52:43.156892
ED    6,97.98%,Lisa S. Headley,(Democratic),282,AD 68,2025-11-05_01:52:43.156892
ED    6,97.98%,WRITE-IN,&nbsp,1,AD 68,2025-11-05_01:52:43.156892
ED    7,97.98%,Lisa S. Headley,(Democratic),156,AD 68,2025-11-05_01:52:43.156892
ED    7,97.98%,WRITE-IN,&nbsp,1,AD 68,2025-11-05_01:52:43.156892
ED    8,97.98%,Lisa S. Headley,(Democratic),723,AD 68,2025-11-05_01:52:43.156892
ED    8,97.98%,WRITE-IN,&nbsp,4,AD 68,2025-11-05_01:52:43.156892
ED    9,97.98%,Lisa S. Headley,(Democratic),145,AD 68,2025-11-05_01:52:43.156892
ED    9,97.98%,WRITE-IN,&nbsp,0,AD 68,2025-11-05_01:52:43.156892
ED   10,97.98%,Lisa S. Headley,(Democratic),174,AD 68,2025-11-05_01:52:43.156892
ED   10,97.98%,WRITE-IN,&nbsp,3,AD 68,2025-11-05_01:52:43.156892
ED   11,97.98%,Lisa S. Headley,(Democratic),404,AD 68,2025-11-05_01:52:43.156892
ED   11,97.98%,WRITE-IN,&nbsp,2,AD 68,2025-11-05_01:52:43.156892
ED   15,97.98%,Lisa S. Headley,(Democratic),159,AD 68,2025-11-05_01:52:43.156892
ED   15,97.98%,WRITE-IN,&nbsp,2,AD 68,2025-11-05_01:52:43.156892
ED   16,97.98%,Lisa S. Headley,(Democratic),162,AD 68,2025-11-05_01:52:43.156892
ED   16,97.98%,WRITE-IN,&nbsp,0,AD 68,2025-11-05_01:52:43.156892
ED   17,97.98%,Lisa S. Headley,(Democratic),370,AD 68,2025-11-05_01:52:43.156892
ED   17,97.98%,WRITE-IN,&nbsp,2,AD 68,2025-11-05_01:52:43.156892
ED   18,97.98%,Lisa S. Headley,(Democratic),230,AD 68,2025-11-05_01:52:43.156892
ED   18,97.98%,WRITE-IN,&nbsp,2,AD 68,2025-11-05_01:52:43.156892
ED   19,97.98%,Lisa S. Headley,(Democratic),247,AD 68,2025-11-05_01:52:43.156892
ED   19,97.98%,WRITE-IN,&nbsp,2,AD 68,2025-11-05_01:52:43.156892
ED   20,97.98%,Lisa S. Headley,(Democratic),272,AD 68,2025-11-05_01:52:43.156892
ED   20,97.98%,WRITE-IN,&nbsp,0,AD 68,2025-11-05_01:52:43.156892
ED   21,97.98%,Lisa S. Headley,(Democratic),453,AD 68,2025-11-05_01:52:43.156892
ED   21,97.98%,WRITE-IN,&nbsp,2,AD 68,2025-11-05_01:52:43.156892
ED   22,97.98%,Lisa S. Headley,(Democratic),187,AD 68,2025-11-05_01:52:43.156892
ED   22,97.98%,WRITE-IN,&nbsp,3,AD 68,2025-11-05_01:52:43.156892
ED   23,97.98%,Lisa S. Headley,(Democratic),199,AD 68,2025-11-05_01:52:43.156892
ED   23,97.98%,WRITE-IN,&nbsp,2,AD 68,2025-11-05_01:52:43.156892
ED   24,97.98%,Lisa S. Headley,(Democratic),10,AD 68,2025-11-05_01:52:43.156892
ED   24,97.98%,WRITE-IN,&nbsp,1,AD 68,2025-11-05_01:52:43.156892
ED   25,97.98%,Lisa S. Headley,(Democratic),270,AD 68,2025-11-05_01:52:43.156892
ED   25,97.98%,WRITE-IN,&nbsp,0,AD 68,2025-11-05_01:52:43.156892
ED   26,97.98%,Lisa S. Headley,(Democratic),181,AD 68,2025-11-05_01:52:43.156892
ED   26,97.98%,WRITE-IN,&nbsp,2,AD 68,2025-11-05_01:52:43.156892
ED   27,97.98%,Lisa S. Headley,(Democratic),164,AD 68,2025-11-05_01:52:43.156892
ED   27,97.98%,WRITE-IN,&nbsp,2,AD 68,2025-11-05_01:52:43.156892
ED   28,97.98%,Lisa S. Headley,(Democratic),527,AD 68,2025-11-05_01:52:43.156892
ED   28,97.98%,WRITE-IN,&nbsp,3,AD 68,2025-11-05_01:52:43.156892
ED   29,97.98%,Lisa S. Headley,(Democratic),338,AD 68,2025-11-05_01:52:43.156892
ED   29,97.98%,WRITE-IN,&nbsp,2,AD 68,2025-11-05_01:52:43.156892
ED   30,97.98%,Lisa S. Headley,(Democratic),120,AD 68,2025-11-05_01:52:43.156892
ED   30,97.98%,WRITE-IN,&nbsp,0,AD 68,2025-11-05_01:52:43.156892
ED   31,97.98%,Lisa S. Headley,(Democratic),313,AD 68,2025-11-05_01:52:43.156892
ED   31,97.98%,WRITE-IN,&nbsp,4,AD 68,2025-11-05_01:52:43.156892
ED   32,97.98%,Lisa S. Headley,(Democratic),474,AD 68,2025-11-05_01:52:43.156892
ED   32,97.98%,WRITE-IN,&nbsp,2,AD 68,2025-11-05_01:52:43.156892
ED   33,97.98%,Lisa S. Headley,(Democratic),458,AD 68,2025-11-05_01:52:43.156892
ED   33,97.98%,WRITE-IN,&nbsp,4,AD 68,2025-11-05_01:52:43.156892
ED   34,97.98%,Lisa S. Headley,(Democratic),278,AD 68,2025-11-05_01:52:43.156892
ED   34,97.98%,WRITE-IN,&nbsp,4,AD 68,2025-11-05_01:52:43.156892
ED   35,97.98%,Lisa S. Headley,(Democratic),338,AD 68,2025-11-05_01:52:43.156892
ED   35,97.98%,WRITE-IN,&nbsp,1,AD 68,2025-11-05_01:52:43.156892
ED   72,97.98%,Lisa S. Headley,(Democratic),89,AD 68,2025-11-05_01:52:43.156892
ED   72,97.98%,WRITE-IN,&nbsp,0,AD 68,2025-11-05_01:52:43.156892
Total,,Lisa S. Headley,(Democratic),8855,AD 68,2025-11-05_01:52:43.156892
