boro,reported,candidate,party,votes,scrape_time
Queens,97.98%,Sandra Perez,(Democratic),304367,2025-11-05_01:51:53.092806
Queens,97.98%,Ira R. Greenberg,(Democratic),252396,2025-11-05_01:51:53.092806
Queens,97.98%,Gary F. Miret,(Democratic),263688,2025-11-05_01:51:53.092806
Queens,97.98%,Frances Y. Wang,(Democratic),271072,2025-11-05_01:51:53.092806
Queens,97.98%,Soma S. Syed,(Democratic),257801,2025-11-05_01:51:53.092806
Queens,97.98%,Gary Muraca,(Republican),121129,2025-11-05_01:51:53.092806
Queens,97.98%,Richard Felix,(Republican),116655,2025-11-05_01:51:53.092806
Queens,97.98%,Gary Muraca,(Conservative),13931,2025-11-05_01:51:53.092806
Queens,97.98%,WRITE-IN,,8885,2025-11-05_01:51:53.092806
Total,,Sandra Perez,(Democratic),304367,2025-11-05_01:51:53.092806
Total,,Ira R. Greenberg,(Democratic),252396,2025-11-05_01:51:53.092806
Total,,Gary F. Miret,(Democratic),263688,2025-11-05_01:51:53.092806
Total,,Frances Y. Wang,(Democratic),271072,2025-11-05_01:51:53.092806
Total,,Soma S. Syed,(Democratic),257801,2025-11-05_01:51:53.092806
Total,,Gary Muraca,(Republican),121129,2025-11-05_01:51:53.092806
Total,,Richard Felix,(Republican),116655,2025-11-05_01:51:53.092806
Total,,Gary Muraca,(Conservative),13931,2025-11-05_01:51:53.092806
Total,,WRITE-IN,,8885,2025-11-05_01:51:53.092806
