boro,reported,candidate,party,votes,scrape_time
New York,97.98%,Judy Kim,(Democratic),329051,2025-11-05_01:51:48.175511
New York,97.98%,Suzanne Adams,(Democratic),313057,2025-11-05_01:51:48.175511
New York,97.98%,James G. Clynes,(Democratic),285488,2025-11-05_01:51:48.175511
New York,97.98%,Deborah A. Kaplan,(Democratic),307802,2025-11-05_01:51:48.175511
New York,97.98%,Gowri Krishna,(Working Families),75567,2025-11-05_01:51:48.175511
New York,97.98%,Jared Trujillo,(Working Families),79188,2025-11-05_01:51:48.175511
New York,97.98%,WRITE-IN,,10875,2025-11-05_01:51:48.175511
Total,,Judy Kim,(Democratic),329051,2025-11-05_01:51:48.175511
Total,,Suzanne Adams,(Democratic),313057,2025-11-05_01:51:48.175511
Total,,James G. Clynes,(Democratic),285488,2025-11-05_01:51:48.175511
Total,,Deborah A. Kaplan,(Democratic),307802,2025-11-05_01:51:48.175511
Total,,Gowri Krishna,(Working Families),75567,2025-11-05_01:51:48.175511
Total,,Jared Trujillo,(Working Families),79188,2025-11-05_01:51:48.175511
Total,,WRITE-IN,,10875,2025-11-05_01:51:48.175511
