boro,reported,candidate,party,votes,scrape_time
Kings,97.98%,Carl J. Landicino,(Democratic),367497,2025-11-05_01:51:49.687856
Kings,97.98%,Betsy Barros,(Democratic),358027,2025-11-05_01:51:49.687856
Kings,97.98%,Jill R. Epstein,(Democratic),349444,2025-11-05_01:51:49.687856
Kings,97.98%,Maria Aragona,(Democratic),352063,2025-11-05_01:51:49.687856
Kings,97.98%,Derefim Neckles,(Democratic),342669,2025-11-05_01:51:49.687856
Kings,97.98%,Claudia Daniels-DePeyster,(Democratic),384631,2025-11-05_01:51:49.687856
Kings,97.98%,Norma Jennings,(Democratic),385360,2025-11-05_01:51:49.687856
Kings,97.98%,Jacqueline Williams,(Democratic),398565,2025-11-05_01:51:49.687856
Kings,97.98%,Brian L. Gotlieb,(Democratic),343056,2025-11-05_01:51:49.687856
Kings,97.98%,Carl J. Landicino,(Republican),79449,2025-11-05_01:51:49.687856
Kings,97.98%,Betsy Barros,(Republican),73536,2025-11-05_01:51:49.687856
Kings,97.98%,Jill R. Epstein,(Republican),74305,2025-11-05_01:51:49.687856
Kings,97.98%,Maria Aragona,(Republican),72172,2025-11-05_01:51:49.687856
Kings,97.98%,Derefim Neckles,(Republican),71296,2025-11-05_01:51:49.687856
Kings,97.98%,Brian L. Gotlieb,(Republican),64220,2025-11-05_01:51:49.687856
Kings,97.98%,Carl J. Landicino,(Conservative),12781,2025-11-05_01:51:49.687856
Kings,97.98%,Betsy Barros,(Conservative),12019,2025-11-05_01:51:49.687856
Kings,97.98%,Jill R. Epstein,(Conservative),12553,2025-11-05_01:51:49.687856
Kings,97.98%,Maria Aragona,(Conservative),11973,2025-11-05_01:51:49.687856
Kings,97.98%,Derefim Neckles,(Conservative),11666,2025-11-05_01:51:49.687856
Kings,97.98%,Brian L. Gotlieb,(Conservative),10968,2025-11-05_01:51:49.687856
Kings,97.98%,WRITE-IN,,24981,2025-11-05_01:51:49.687856
Total,,Carl J. Landicino,(Democratic),367497,2025-11-05_01:51:49.687856
Total,,Betsy Barros,(Democratic),358027,2025-11-05_01:51:49.687856
Total,,Jill R. Epstein,(Democratic),349444,2025-11-05_01:51:49.687856
Total,,Maria Aragona,(Democratic),352063,2025-11-05_01:51:49.687856
Total,,Derefim Neckles,(Democratic),342669,2025-11-05_01:51:49.687856
Total,,Claudia Daniels-DePeyster,(Democratic),384631,2025-11-05_01:51:49.687856
Total,,Norma Jennings,(Democratic),385360,2025-11-05_01:51:49.687856
Total,,Jacqueline Williams,(Democratic),398565,2025-11-05_01:51:49.687856
Total,,Brian L. Gotlieb,(Democratic),343056,2025-11-05_01:51:49.687856
Total,,Carl J. Landicino,(Republican),79449,2025-11-05_01:51:49.687856
Total,,Betsy Barros,(Republican),73536,2025-11-05_01:51:49.687856
Total,,Jill R. Epstein,(Republican),74305,2025-11-05_01:51:49.687856
Total,,Maria Aragona,(Republican),72172,2025-11-05_01:51:49.687856
Total,,Derefim Neckles,(Republican),71296,2025-11-05_01:51:49.687856
Total,,Brian L. Gotlieb,(Republican),64220,2025-11-05_01:51:49.687856
Total,,Carl J. Landicino,(Conservative),12781,2025-11-05_01:51:49.687856
Total,,Betsy Barros,(Conservative),12019,2025-11-05_01:51:49.687856
Total,,Jill R. Epstein,(Conservative),12553,2025-11-05_01:51:49.687856
Total,,Maria Aragona,(Conservative),11973,2025-11-05_01:51:49.687856
Total,,Derefim Neckles,(Conservative),11666,2025-11-05_01:51:49.687856
Total,,Brian L. Gotlieb,(Conservative),10968,2025-11-05_01:51:49.687856
Total,,WRITE-IN,,24981,2025-11-05_01:51:49.687856
