ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Carl J. Landicino,(Democratic),388,AD 41,2025-11-06_10:53:40.681623
ED    1,99.00%,Betsy Barros,(Democratic),359,AD 41,2025-11-06_10:53:40.681623
ED    1,99.00%,Jill R. Epstein,(Democratic),346,AD 41,2025-11-06_10:53:40.681623
ED    1,99.00%,Maria Aragona,(Democratic),347,AD 41,2025-11-06_10:53:40.681623
ED    1,99.00%,Derefim Neckles,(Democratic),338,AD 41,2025-11-06_10:53:40.681623
ED    1,99.00%,Claudia Daniels-DePeyster,(Democratic),355,AD 41,2025-11-06_10:53:40.681623
ED    1,99.00%,Norma Jennings,(Democratic),369,AD 41,2025-11-06_10:53:40.681623
ED    1,99.00%,Jacqueline Williams,(Democratic),399,AD 41,2025-11-06_10:53:40.681623
ED    1,99.00%,Brian L. Gotlieb,(Democratic),333,AD 41,2025-11-06_10:53:40.681623
ED    1,99.00%,Carl J. Landicino,(Republican),18,AD 41,2025-11-06_10:53:40.681623
ED    1,99.00%,Betsy Barros,(Republican),18,AD 41,2025-11-06_10:53:40.681623
ED    1,99.00%,Jill R. Epstein,(Republican),13,AD 41,2025-11-06_10:53:40.681623
ED    1,99.00%,Maria Aragona,(Republican),18,AD 41,2025-11-06_10:53:40.681623
ED    1,99.00%,Derefim Neckles,(Republican),14,AD 41,2025-11-06_10:53:40.681623
ED    1,99.00%,Brian L. Gotlieb,(Republican),14,AD 41,2025-11-06_10:53:40.681623
ED    1,99.00%,Carl J. Landicino,(Conservative),6,AD 41,2025-11-06_10:53:40.681623
ED    1,99.00%,Betsy Barros,(Conservative),7,AD 41,2025-11-06_10:53:40.681623
ED    1,99.00%,Jill R. Epstein,(Conservative),5,AD 41,2025-11-06_10:53:40.681623
ED    1,99.00%,Maria Aragona,(Conservative),4,AD 41,2025-11-06_10:53:40.681623
ED    1,99.00%,Derefim Neckles,(Conservative),7,AD 41,2025-11-06_10:53:40.681623
ED    1,99.00%,Brian L. Gotlieb,(Conservative),5,AD 41,2025-11-06_10:53:40.681623
ED    1,99.00%,WRITE-IN,&nbsp,17,AD 41,2025-11-06_10:53:40.681623
ED    2,99.00%,Carl J. Landicino,(Democratic),344,AD 41,2025-11-06_10:53:40.681623
ED    2,99.00%,Betsy Barros,(Democratic),326,AD 41,2025-11-06_10:53:40.681623
ED    2,99.00%,Jill R. Epstein,(Democratic),310,AD 41,2025-11-06_10:53:40.681623
ED    2,99.00%,Maria Aragona,(Democratic),314,AD 41,2025-11-06_10:53:40.681623
ED    2,99.00%,Derefim Neckles,(Democratic),310,AD 41,2025-11-06_10:53:40.681623
ED    2,99.00%,Claudia Daniels-DePeyster,(Democratic),331,AD 41,2025-11-06_10:53:40.681623
ED    2,99.00%,Norma Jennings,(Democratic),341,AD 41,2025-11-06_10:53:40.681623
ED    2,99.00%,Jacqueline Williams,(Democratic),366,AD 41,2025-11-06_10:53:40.681623
ED    2,99.00%,Brian L. Gotlieb,(Democratic),311,AD 41,2025-11-06_10:53:40.681623
ED    2,99.00%,Carl J. Landicino,(Republican),13,AD 41,2025-11-06_10:53:40.681623
ED    2,99.00%,Betsy Barros,(Republican),13,AD 41,2025-11-06_10:53:40.681623
ED    2,99.00%,Jill R. Epstein,(Republican),13,AD 41,2025-11-06_10:53:40.681623
ED    2,99.00%,Maria Aragona,(Republican),15,AD 41,2025-11-06_10:53:40.681623
ED    2,99.00%,Derefim Neckles,(Republican),14,AD 41,2025-11-06_10:53:40.681623
ED    2,99.00%,Brian L. Gotlieb,(Republican),13,AD 41,2025-11-06_10:53:40.681623
ED    2,99.00%,Carl J. Landicino,(Conservative),7,AD 41,2025-11-06_10:53:40.681623
ED    2,99.00%,Betsy Barros,(Conservative),7,AD 41,2025-11-06_10:53:40.681623
ED    2,99.00%,Jill R. Epstein,(Conservative),4,AD 41,2025-11-06_10:53:40.681623
ED    2,99.00%,Maria Aragona,(Conservative),6,AD 41,2025-11-06_10:53:40.681623
ED    2,99.00%,Derefim Neckles,(Conservative),3,AD 41,2025-11-06_10:53:40.681623
ED    2,99.00%,Brian L. Gotlieb,(Conservative),4,AD 41,2025-11-06_10:53:40.681623
ED    2,99.00%,WRITE-IN,&nbsp,23,AD 41,2025-11-06_10:53:40.681623
ED    3,88.89%,Carl J. Landicino,(Democratic),230,AD 41,2025-11-06_10:53:40.681623
ED    3,88.89%,Betsy Barros,(Democratic),214,AD 41,2025-11-06_10:53:40.681623
ED    3,88.89%,Jill R. Epstein,(Democratic),214,AD 41,2025-11-06_10:53:40.681623
ED    3,88.89%,Maria Aragona,(Democratic),210,AD 41,2025-11-06_10:53:40.681623
ED    3,88.89%,Derefim Neckles,(Democratic),208,AD 41,2025-11-06_10:53:40.681623
ED    3,88.89%,Claudia Daniels-DePeyster,(Democratic),215,AD 41,2025-11-06_10:53:40.681623
ED    3,88.89%,Norma Jennings,(Democratic),214,AD 41,2025-11-06_10:53:40.681623
ED    3,88.89%,Jacqueline Williams,(Democratic),233,AD 41,2025-11-06_10:53:40.681623
ED    3,88.89%,Brian L. Gotlieb,(Democratic),199,AD 41,2025-11-06_10:53:40.681623
ED    3,88.89%,Carl J. Landicino,(Republican),8,AD 41,2025-11-06_10:53:40.681623
ED    3,88.89%,Betsy Barros,(Republican),8,AD 41,2025-11-06_10:53:40.681623
ED    3,88.89%,Jill R. Epstein,(Republican),7,AD 41,2025-11-06_10:53:40.681623
ED    3,88.89%,Maria Aragona,(Republican),7,AD 41,2025-11-06_10:53:40.681623
ED    3,88.89%,Derefim Neckles,(Republican),10,AD 41,2025-11-06_10:53:40.681623
ED    3,88.89%,Brian L. Gotlieb,(Republican),7,AD 41,2025-11-06_10:53:40.681623
ED    3,88.89%,Carl J. Landicino,(Conservative),5,AD 41,2025-11-06_10:53:40.681623
ED    3,88.89%,Betsy Barros,(Conservative),3,AD 41,2025-11-06_10:53:40.681623
ED    3,88.89%,Jill R. Epstein,(Conservative),3,AD 41,2025-11-06_10:53:40.681623
ED    3,88.89%,Maria Aragona,(Conservative),1,AD 41,2025-11-06_10:53:40.681623
ED    3,88.89%,Derefim Neckles,(Conservative),2,AD 41,2025-11-06_10:53:40.681623
