AD_num,reported,candidate,party,votes,scrape_time
AD   23,94.70%,Zohran Kwame Mamdani,(Democratic),8231,2025-11-06_10:53:20.500585
AD   23,94.70%,Curtis A. Sliwa,(Republican),6738,2025-11-06_10:53:20.500585
AD   23,94.70%,Irene Estrada,(Conservative),55,2025-11-06_10:53:20.500585
AD   23,94.70%,Zohran Kwame Mamdani,(Working Families),841,2025-11-06_10:53:20.500585
AD   23,94.70%,Curtis A. Sliwa,(Protect Animals),348,2025-11-06_10:53:20.500585
AD   23,94.70%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),82,2025-11-06_10:53:20.500585
AD   23,94.70%,Joseph Hernandez,(Quality of Life),24,2025-11-06_10:53:20.500585
AD   23,94.70%,Andrew M. Cuomo,(Fight and Deliver),19096,2025-11-06_10:53:20.500585
AD   23,94.70%,Jim Walden,(Integrity),25,2025-11-06_10:53:20.500585
AD   23,94.70%,WRITE-IN,,48,2025-11-06_10:53:20.500585
AD   24,95.83%,Zohran Kwame Mamdani,(Democratic),12670,2025-11-06_10:53:20.500585
AD   24,95.83%,Curtis A. Sliwa,(Republican),2099,2025-11-06_10:53:20.500585
AD   24,95.83%,Irene Estrada,(Conservative),37,2025-11-06_10:53:20.500585
AD   24,95.83%,Zohran Kwame Mamdani,(Working Families),1155,2025-11-06_10:53:20.500585
AD   24,95.83%,Curtis A. Sliwa,(Protect Animals),157,2025-11-06_10:53:20.500585
AD   24,95.83%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),66,2025-11-06_10:53:20.500585
AD   24,95.83%,Joseph Hernandez,(Quality of Life),10,2025-11-06_10:53:20.500585
AD   24,95.83%,Andrew M. Cuomo,(Fight and Deliver),11985,2025-11-06_10:53:20.500585
AD   24,95.83%,Jim Walden,(Integrity),23,2025-11-06_10:53:20.500585
AD   24,95.83%,WRITE-IN,,43,2025-11-06_10:53:20.500585
AD   25,99.00%,Zohran Kwame Mamdani,(Democratic),7483,2025-11-06_10:53:20.500585
AD   25,99.00%,Curtis A. Sliwa,(Republican),2306,2025-11-06_10:53:20.500585
AD   25,99.00%,Irene Estrada,(Conservative),50,2025-11-06_10:53:20.500585
AD   25,99.00%,Zohran Kwame Mamdani,(Working Families),937,2025-11-06_10:53:20.500585
AD   25,99.00%,Curtis A. Sliwa,(Protect Animals),179,2025-11-06_10:53:20.500585
AD   25,99.00%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),59,2025-11-06_10:53:20.500585
AD   25,99.00%,Joseph Hernandez,(Quality of Life),26,2025-11-06_10:53:20.500585
AD   25,99.00%,Andrew M. Cuomo,(Fight and Deliver),13485,2025-11-06_10:53:20.500585
AD   25,99.00%,Jim Walden,(Integrity),37,2025-11-06_10:53:20.500585
