boro,reported,candidate,party,votes,scrape_time
New York,97.66%,Zohran Kwame Mamdani,(Democratic),235009,2025-11-06_10:53:20.500585
New York,97.66%,Curtis A. Sliwa,(Republican),15849,2025-11-06_10:53:20.500585
New York,97.66%,Irene Estrada,(Conservative),488,2025-11-06_10:53:20.500585
New York,97.66%,Zohran Kwame Mamdani,(Working Families),39793,2025-11-06_10:53:20.500585
New York,97.66%,Curtis A. Sliwa,(Protect Animals),1697,2025-11-06_10:53:20.500585
New York,97.66%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),1056,2025-11-06_10:53:20.500585
New York,97.66%,Joseph Hernandez,(Quality of Life),324,2025-11-06_10:53:20.500585
New York,97.66%,Andrew M. Cuomo,(Fight and Deliver),224358,2025-11-06_10:53:20.500585
New York,97.66%,Jim Walden,(Integrity),711,2025-11-06_10:53:20.500585
New York,97.66%,WRITE-IN,,2482,2025-11-06_10:53:20.500585
Bronx,96.86%,Zohran Kwame Mamdani,(Democratic),104177,2025-11-06_10:53:20.500585
Bronx,96.86%,Curtis A. Sliwa,(Republican),14754,2025-11-06_10:53:20.500585
Bronx,96.86%,Irene Estrada,(Conservative),477,2025-11-06_10:53:20.500585
Bronx,96.86%,Zohran Kwame Mamdani,(Working Families),10690,2025-11-06_10:53:20.500585
Bronx,96.86%,Curtis A. Sliwa,(Protect Animals),986,2025-11-06_10:53:20.500585
Bronx,96.86%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),1015,2025-11-06_10:53:20.500585
Bronx,96.86%,Joseph Hernandez,(Quality of Life),197,2025-11-06_10:53:20.500585
Bronx,96.86%,Andrew M. Cuomo,(Fight and Deliver),89972,2025-11-06_10:53:20.500585
Bronx,96.86%,Jim Walden,(Integrity),206,2025-11-06_10:53:20.500585
Bronx,96.86%,WRITE-IN,,568,2025-11-06_10:53:20.500585
Kings,97.36%,Zohran Kwame Mamdani,(Democratic),302065,2025-11-06_10:53:20.500585
Kings,97.36%,Curtis A. Sliwa,(Republican),29876,2025-11-06_10:53:20.500585
Kings,97.36%,Irene Estrada,(Conservative),705,2025-11-06_10:53:20.500585
Kings,97.36%,Zohran Kwame Mamdani,(Working Families),72029,2025-11-06_10:53:20.500585
Kings,97.36%,Curtis A. Sliwa,(Protect Animals),2427,2025-11-06_10:53:20.500585
Kings,97.36%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),2542,2025-11-06_10:53:20.500585
Kings,97.36%,Joseph Hernandez,(Quality of Life),338,2025-11-06_10:53:20.500585
Kings,97.36%,Andrew M. Cuomo,(Fight and Deliver),245581,2025-11-06_10:53:20.500585
Kings,97.36%,Jim Walden,(Integrity),595,2025-11-06_10:53:20.500585
Kings,97.36%,WRITE-IN,,2041,2025-11-06_10:53:20.500585
Queens,96.47%,Zohran Kwame Mamdani,(Democratic),207024,2025-11-06_10:53:20.500585
Queens,96.47%,Curtis A. Sliwa,(Republican),45605,2025-11-06_10:53:20.500585
Queens,96.47%,Irene Estrada,(Conservative),792,2025-11-06_10:53:20.500585
Queens,96.47%,Zohran Kwame Mamdani,(Working Families),31444,2025-11-06_10:53:20.500585
Queens,96.47%,Curtis A. Sliwa,(Protect Animals),3231,2025-11-06_10:53:20.500585
Queens,96.47%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),1443,2025-11-06_10:53:20.500585
Queens,96.47%,Joseph Hernandez,(Quality of Life),340,2025-11-06_10:53:20.500585
Queens,96.47%,Andrew M. Cuomo,(Fight and Deliver),212590,2025-11-06_10:53:20.500585
Queens,96.47%,Jim Walden,(Integrity),543,2025-11-06_10:53:20.500585
Queens,96.47%,WRITE-IN,,977,2025-11-06_10:53:20.500585
Richmond,98.45%,Zohran Kwame Mamdani,(Democratic),30681,2025-11-06_10:53:20.500585
Richmond,98.45%,Curtis A. Sliwa,(Republican),30263,2025-11-06_10:53:20.500585
Richmond,98.45%,Irene Estrada,(Conservative),181,2025-11-06_10:53:20.500585
Richmond,98.45%,Zohran Kwame Mamdani,(Working Families),3139,2025-11-06_10:53:20.500585
Richmond,98.45%,Curtis A. Sliwa,(Protect Animals),1449,2025-11-06_10:53:20.500585
Richmond,98.45%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),326,2025-11-06_10:53:20.500585
Richmond,98.45%,Joseph Hernandez,(Quality of Life),54,2025-11-06_10:53:20.500585
Richmond,98.45%,Andrew M. Cuomo,(Fight and Deliver),82494,2025-11-06_10:53:20.500585
Richmond,98.45%,Jim Walden,(Integrity),115,2025-11-06_10:53:20.500585
Richmond,98.45%,WRITE-IN,,222,2025-11-06_10:53:20.500585
Total,,Zohran Kwame Mamdani,(Democratic),878956,2025-11-06_10:53:20.500585
Total,,Curtis A. Sliwa,(Republican),136347,2025-11-06_10:53:20.500585
Total,,Irene Estrada,(Conservative),2643,2025-11-06_10:53:20.500585
Total,,Zohran Kwame Mamdani,(Working Families),157095,2025-11-06_10:53:20.500585
Total,,Curtis A. Sliwa,(Protect Animals),9790,2025-11-06_10:53:20.500585
Total,,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),6382,2025-11-06_10:53:20.500585
Total,,Joseph Hernandez,(Quality of Life),1253,2025-11-06_10:53:20.500585
Total,,Andrew M. Cuomo,(Fight and Deliver),854995,2025-11-06_10:53:20.500585
Total,,Jim Walden,(Integrity),2170,2025-11-06_10:53:20.500585
Total,,WRITE-IN,,6290,2025-11-06_10:53:20.500585
