AD_num,reported,candidate,party,votes,scrape_time
AD   77,97.98%,Pierina A. Sanchez,(Democratic),2375,2025-11-05_01:52:19.361272
AD   77,97.98%,Pierina A. Sanchez,(Working Families),296,2025-11-05_01:52:19.361272
AD   77,97.98%,WRITE-IN,,16,2025-11-05_01:52:19.361272
AD   78,97.98%,Pierina A. Sanchez,(Democratic),3968,2025-11-05_01:52:19.361272
AD   78,97.98%,Pierina A. Sanchez,(Working Families),701,2025-11-05_01:52:19.361272
AD   78,97.98%,WRITE-IN,,46,2025-11-05_01:52:19.361272
AD   81,97.98%,Pierina A. Sanchez,(Democratic),1276,2025-11-05_01:52:19.361272
AD   81,97.98%,Pierina A. Sanchez,(Working Families),269,2025-11-05_01:52:19.361272
AD   81,97.98%,WRITE-IN,,24,2025-11-05_01:52:19.361272
AD   86,97.98%,Pierina A. Sanchez,(Democratic),6114,2025-11-05_01:52:19.361272
AD   86,97.98%,Pierina A. Sanchez,(Working Families),918,2025-11-05_01:52:19.361272
AD   86,97.98%,WRITE-IN,,40,2025-11-05_01:52:19.361272
Total,,Pierina A. Sanchez,(Democratic),13733,2025-11-05_01:52:19.361272
Total,,Pierina A. Sanchez,(Working Families),2184,2025-11-05_01:52:19.361272
Total,,WRITE-IN,,126,2025-11-05_01:52:19.361272
