boro,reported,candidate,party,votes,scrape_time
Bronx,0.00%,Justin E. Sanchez,(Democratic),13328,2025-11-04_22:10:59.078582
Bronx,0.00%,Rosaline Nieves,(Republican),1801,2025-11-04_22:10:59.078582
Bronx,0.00%,Marisol Duran,(Conservative),543,2025-11-04_22:10:59.078582
Bronx,0.00%,Justin E. Sanchez,(Working Families),1457,2025-11-04_22:10:59.078582
Bronx,0.00%,WRITE-IN,,49,2025-11-04_22:10:59.078582
Total,,Justin E. Sanchez,(Democratic),13328,2025-11-04_22:10:59.078582
Total,,Rosaline Nieves,(Republican),1801,2025-11-04_22:10:59.078582
Total,,Marisol Duran,(Conservative),543,2025-11-04_22:10:59.078582
Total,,Justin E. Sanchez,(Working Families),1457,2025-11-04_22:10:59.078582
Total,,WRITE-IN,,49,2025-11-04_22:10:59.078582
