boro,reported,candidate,party,votes,scrape_time
New York,0.00%,Christopher Marte,(Democratic),27360,2025-11-04_22:10:41.304502
New York,0.00%,Helen Qiu,(Republican),11384,2025-11-04_22:10:41.304502
New York,0.00%,Helen Qiu,(Conservative),1048,2025-11-04_22:10:41.304502
New York,0.00%,Christopher Marte,(Working Families),4557,2025-11-04_22:10:41.304502
New York,0.00%,WRITE-IN,,170,2025-11-04_22:10:41.304502
Total,,Christopher Marte,(Democratic),27360,2025-11-04_22:10:41.304502
Total,,Helen Qiu,(Republican),11384,2025-11-04_22:10:41.304502
Total,,Helen Qiu,(Conservative),1048,2025-11-04_22:10:41.304502
Total,,Christopher Marte,(Working Families),4557,2025-11-04_22:10:41.304502
Total,,WRITE-IN,,170,2025-11-04_22:10:41.304502
