boro,reported,candidate,party,votes,scrape_time
New York,98.51%,Harvey D. Epstein,(Democratic),34191,2025-11-06_10:54:04.033373
New York,98.51%,Jason C. Murillo,(Republican),7750,2025-11-06_10:54:04.033373
New York,98.51%,Jason C. Murillo,(Conservative),669,2025-11-06_10:54:04.033373
New York,98.51%,Harvey D. Epstein,(Working Families),6076,2025-11-06_10:54:04.033373
New York,98.51%,Allie Ryan,(The Unity ),1630,2025-11-06_10:54:04.033373
New York,98.51%,Gail Schargel,(CleanSafeStreet),1104,2025-11-06_10:54:04.033373
New York,98.51%,WRITE-IN,,96,2025-11-06_10:54:04.033373
Total,,Harvey D. Epstein,(Democratic),34191,2025-11-06_10:54:04.033373
Total,,Jason C. Murillo,(Republican),7750,2025-11-06_10:54:04.033373
Total,,Jason C. Murillo,(Conservative),669,2025-11-06_10:54:04.033373
Total,,Harvey D. Epstein,(Working Families),6076,2025-11-06_10:54:04.033373
Total,,Allie Ryan,(The Unity ),1630,2025-11-06_10:54:04.033373
Total,,Gail Schargel,(CleanSafeStreet),1104,2025-11-06_10:54:04.033373
Total,,WRITE-IN,,96,2025-11-06_10:54:04.033373
