ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   39,0.00%,Harvey D. Epstein,(Democratic),151,AD 65,2025-11-04_22:10:42.280322
ED   39,0.00%,Jason C. Murillo,(Republican),20,AD 65,2025-11-04_22:10:42.280322
ED   39,0.00%,Jason C. Murillo,(Conservative),2,AD 65,2025-11-04_22:10:42.280322
ED   39,0.00%,Harvey D. Epstein,(Working Families),27,AD 65,2025-11-04_22:10:42.280322
ED   39,0.00%,Allie Ryan,(The Unity ),6,AD 65,2025-11-04_22:10:42.280322
ED   39,0.00%,Gail Schargel,(CleanSafeStreet),1,AD 65,2025-11-04_22:10:42.280322
ED   39,0.00%,WRITE-IN,&nbsp,-,AD 65,2025-11-04_22:10:42.280322
ED   57,0.00%,Harvey D. Epstein,(Democratic),623,AD 65,2025-11-04_22:10:42.280322
ED   57,0.00%,Jason C. Murillo,(Republican),76,AD 65,2025-11-04_22:10:42.280322
ED   57,0.00%,Jason C. Murillo,(Conservative),11,AD 65,2025-11-04_22:10:42.280322
ED   57,0.00%,Harvey D. Epstein,(Working Families),143,AD 65,2025-11-04_22:10:42.280322
ED   57,0.00%,Allie Ryan,(The Unity ),27,AD 65,2025-11-04_22:10:42.280322
ED   57,0.00%,Gail Schargel,(CleanSafeStreet),20,AD 65,2025-11-04_22:10:42.280322
ED   57,0.00%,WRITE-IN,&nbsp,3,AD 65,2025-11-04_22:10:42.280322
ED   58,0.00%,Harvey D. Epstein,(Democratic),397,AD 65,2025-11-04_22:10:42.280322
ED   58,0.00%,Jason C. Murillo,(Republican),61,AD 65,2025-11-04_22:10:42.280322
ED   58,0.00%,Jason C. Murillo,(Conservative),4,AD 65,2025-11-04_22:10:42.280322
ED   58,0.00%,Harvey D. Epstein,(Working Families),102,AD 65,2025-11-04_22:10:42.280322
ED   58,0.00%,Allie Ryan,(The Unity ),8,AD 65,2025-11-04_22:10:42.280322
ED   58,0.00%,Gail Schargel,(CleanSafeStreet),8,AD 65,2025-11-04_22:10:42.280322
ED   58,0.00%,WRITE-IN,&nbsp,1,AD 65,2025-11-04_22:10:42.280322
ED   59,0.00%,Harvey D. Epstein,(Democratic),414,AD 65,2025-11-04_22:10:42.280322
ED   59,0.00%,Jason C. Murillo,(Republican),49,AD 65,2025-11-04_22:10:42.280322
ED   59,0.00%,Jason C. Murillo,(Conservative),3,AD 65,2025-11-04_22:10:42.280322
ED   59,0.00%,Harvey D. Epstein,(Working Families),107,AD 65,2025-11-04_22:10:42.280322
ED   59,0.00%,Allie Ryan,(The Unity ),14,AD 65,2025-11-04_22:10:42.280322
ED   59,0.00%,Gail Schargel,(CleanSafeStreet),6,AD 65,2025-11-04_22:10:42.280322
ED   59,0.00%,WRITE-IN,&nbsp,1,AD 65,2025-11-04_22:10:42.280322
ED   60,0.00%,Harvey D. Epstein,(Democratic),437,AD 65,2025-11-04_22:10:42.280322
ED   60,0.00%,Jason C. Murillo,(Republican),65,AD 65,2025-11-04_22:10:42.280322
ED   60,0.00%,Jason C. Murillo,(Conservative),6,AD 65,2025-11-04_22:10:42.280322
ED   60,0.00%,Harvey D. Epstein,(Working Families),101,AD 65,2025-11-04_22:10:42.280322
ED   60,0.00%,Allie Ryan,(The Unity ),13,AD 65,2025-11-04_22:10:42.280322
ED   60,0.00%,Gail Schargel,(CleanSafeStreet),11,AD 65,2025-11-04_22:10:42.280322
ED   60,0.00%,WRITE-IN,&nbsp,-,AD 65,2025-11-04_22:10:42.280322
ED   61,0.00%,Harvey D. Epstein,(Democratic),212,AD 65,2025-11-04_22:10:42.280322
ED   61,0.00%,Jason C. Murillo,(Republican),55,AD 65,2025-11-04_22:10:42.280322
ED   61,0.00%,Jason C. Murillo,(Conservative),12,AD 65,2025-11-04_22:10:42.280322
ED   61,0.00%,Harvey D. Epstein,(Working Families),40,AD 65,2025-11-04_22:10:42.280322
ED   61,0.00%,Allie Ryan,(The Unity ),7,AD 65,2025-11-04_22:10:42.280322
ED   61,0.00%,Gail Schargel,(CleanSafeStreet),11,AD 65,2025-11-04_22:10:42.280322
ED   61,0.00%,WRITE-IN,&nbsp,1,AD 65,2025-11-04_22:10:42.280322
ED   62,0.00%,Harvey D. Epstein,(Democratic),225,AD 65,2025-11-04_22:10:42.280322
ED   62,0.00%,Jason C. Murillo,(Republican),48,AD 65,2025-11-04_22:10:42.280322
ED   62,0.00%,Jason C. Murillo,(Conservative),9,AD 65,2025-11-04_22:10:42.280322
ED   62,0.00%,Harvey D. Epstein,(Working Families),41,AD 65,2025-11-04_22:10:42.280322
ED   62,0.00%,Allie Ryan,(The Unity ),9,AD 65,2025-11-04_22:10:42.280322
ED   62,0.00%,Gail Schargel,(CleanSafeStreet),18,AD 65,2025-11-04_22:10:42.280322
ED   62,0.00%,WRITE-IN,&nbsp,-,AD 65,2025-11-04_22:10:42.280322
ED   63,0.00%,Harvey D. Epstein,(Democratic),240,AD 65,2025-11-04_22:10:42.280322
ED   63,0.00%,Jason C. Murillo,(Republican),56,AD 65,2025-11-04_22:10:42.280322
ED   63,0.00%,Jason C. Murillo,(Conservative),17,AD 65,2025-11-04_22:10:42.280322
ED   63,0.00%,Harvey D. Epstein,(Working Families),38,AD 65,2025-11-04_22:10:42.280322
ED   63,0.00%,Allie Ryan,(The Unity ),5,AD 65,2025-11-04_22:10:42.280322
ED   63,0.00%,Gail Schargel,(CleanSafeStreet),11,AD 65,2025-11-04_22:10:42.280322
ED   63,0.00%,WRITE-IN,&nbsp,-,AD 65,2025-11-04_22:10:42.280322
ED   64,0.00%,Harvey D. Epstein,(Democratic),420,AD 65,2025-11-04_22:10:42.280322
ED   64,0.00%,Jason C. Murillo,(Republican),62,AD 65,2025-11-04_22:10:42.280322
ED   64,0.00%,Jason C. Murillo,(Conservative),7,AD 65,2025-11-04_22:10:42.280322
ED   64,0.00%,Harvey D. Epstein,(Working Families),132,AD 65,2025-11-04_22:10:42.280322
ED   64,0.00%,Allie Ryan,(The Unity ),18,AD 65,2025-11-04_22:10:42.280322
ED   64,0.00%,Gail Schargel,(CleanSafeStreet),12,AD 65,2025-11-04_22:10:42.280322
ED   64,0.00%,WRITE-IN,&nbsp,1,AD 65,2025-11-04_22:10:42.280322
ED   65,0.00%,Harvey D. Epstein,(Democratic),189,AD 65,2025-11-04_22:10:42.280322
ED   65,0.00%,Jason C. Murillo,(Republican),41,AD 65,2025-11-04_22:10:42.280322
ED   65,0.00%,Jason C. Murillo,(Conservative),11,AD 65,2025-11-04_22:10:42.280322
ED   65,0.00%,Harvey D. Epstein,(Working Families),30,AD 65,2025-11-04_22:10:42.280322
