AD_num,reported,candidate,party,votes,scrape_time
AD   50,97.26%,Lincoln Restler,(Democratic),15989,2025-11-06_10:54:22.771183
AD   50,97.26%,Lincoln Restler,(Working Families),5703,2025-11-06_10:54:22.771183
AD   50,97.26%,WRITE-IN,,413,2025-11-06_10:54:22.771183
AD   52,99.00%,Lincoln Restler,(Democratic),17370,2025-11-06_10:54:22.771183
AD   52,99.00%,Lincoln Restler,(Working Families),4236,2025-11-06_10:54:22.771183
AD   52,99.00%,WRITE-IN,,234,2025-11-06_10:54:22.771183
AD   53,99.00%,Lincoln Restler,(Democratic),345,2025-11-06_10:54:22.771183
AD   53,99.00%,Lincoln Restler,(Working Families),67,2025-11-06_10:54:22.771183
AD   53,99.00%,WRITE-IN,,18,2025-11-06_10:54:22.771183
AD   57,99.00%,Lincoln Restler,(Democratic),1625,2025-11-06_10:54:22.771183
AD   57,99.00%,Lincoln Restler,(Working Families),577,2025-11-06_10:54:22.771183
AD   57,99.00%,WRITE-IN,,59,2025-11-06_10:54:22.771183
Total,,Lincoln Restler,(Democratic),35329,2025-11-06_10:54:22.771183
Total,,Lincoln Restler,(Working Families),10583,2025-11-06_10:54:22.771183
Total,,WRITE-IN,,724,2025-11-06_10:54:22.771183
