ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,97.98%,Lincoln Restler,(Democratic),761,AD 50,2025-11-05_01:52:30.68151
ED    1,97.98%,Lincoln Restler,(Working Families),210,AD 50,2025-11-05_01:52:30.68151
ED    1,97.98%,WRITE-IN,&nbsp,9,AD 50,2025-11-05_01:52:30.68151
ED    2,97.98%,Lincoln Restler,(Democratic),518,AD 50,2025-11-05_01:52:30.68151
ED    2,97.98%,Lincoln Restler,(Working Families),204,AD 50,2025-11-05_01:52:30.68151
ED    2,97.98%,WRITE-IN,&nbsp,9,AD 50,2025-11-05_01:52:30.68151
ED    3,97.98%,Lincoln Restler,(Democratic),521,AD 50,2025-11-05_01:52:30.68151
ED    3,97.98%,Lincoln Restler,(Working Families),239,AD 50,2025-11-05_01:52:30.68151
ED    3,97.98%,WRITE-IN,&nbsp,9,AD 50,2025-11-05_01:52:30.68151
ED    4,97.98%,Lincoln Restler,(Democratic),420,AD 50,2025-11-05_01:52:30.68151
ED    4,97.98%,Lincoln Restler,(Working Families),204,AD 50,2025-11-05_01:52:30.68151
ED    4,97.98%,WRITE-IN,&nbsp,6,AD 50,2025-11-05_01:52:30.68151
ED    5,97.98%,Lincoln Restler,(Democratic),432,AD 50,2025-11-05_01:52:30.68151
ED    5,97.98%,Lincoln Restler,(Working Families),180,AD 50,2025-11-05_01:52:30.68151
ED    5,97.98%,WRITE-IN,&nbsp,5,AD 50,2025-11-05_01:52:30.68151
ED    6,97.98%,Lincoln Restler,(Democratic),321,AD 50,2025-11-05_01:52:30.68151
ED    6,97.98%,Lincoln Restler,(Working Families),157,AD 50,2025-11-05_01:52:30.68151
ED    6,97.98%,WRITE-IN,&nbsp,12,AD 50,2025-11-05_01:52:30.68151
ED    7,97.98%,Lincoln Restler,(Democratic),375,AD 50,2025-11-05_01:52:30.68151
ED    7,97.98%,Lincoln Restler,(Working Families),129,AD 50,2025-11-05_01:52:30.68151
ED    7,97.98%,WRITE-IN,&nbsp,10,AD 50,2025-11-05_01:52:30.68151
ED    8,97.98%,Lincoln Restler,(Democratic),627,AD 50,2025-11-05_01:52:30.68151
ED    8,97.98%,Lincoln Restler,(Working Families),248,AD 50,2025-11-05_01:52:30.68151
ED    8,97.98%,WRITE-IN,&nbsp,14,AD 50,2025-11-05_01:52:30.68151
ED    9,97.98%,Lincoln Restler,(Democratic),281,AD 50,2025-11-05_01:52:30.68151
ED    9,97.98%,Lincoln Restler,(Working Families),74,AD 50,2025-11-05_01:52:30.68151
ED    9,97.98%,WRITE-IN,&nbsp,7,AD 50,2025-11-05_01:52:30.68151
ED   10,97.98%,Lincoln Restler,(Democratic),212,AD 50,2025-11-05_01:52:30.68151
ED   10,97.98%,Lincoln Restler,(Working Families),128,AD 50,2025-11-05_01:52:30.68151
ED   10,97.98%,WRITE-IN,&nbsp,3,AD 50,2025-11-05_01:52:30.68151
ED   11,97.98%,Lincoln Restler,(Democratic),313,AD 50,2025-11-05_01:52:30.68151
ED   11,97.98%,Lincoln Restler,(Working Families),184,AD 50,2025-11-05_01:52:30.68151
ED   11,97.98%,WRITE-IN,&nbsp,11,AD 50,2025-11-05_01:52:30.68151
ED   12,97.98%,Lincoln Restler,(Democratic),351,AD 50,2025-11-05_01:52:30.68151
ED   12,97.98%,Lincoln Restler,(Working Families),109,AD 50,2025-11-05_01:52:30.68151
ED   12,97.98%,WRITE-IN,&nbsp,1,AD 50,2025-11-05_01:52:30.68151
ED   13,97.98%,Lincoln Restler,(Democratic),412,AD 50,2025-11-05_01:52:30.68151
ED   13,97.98%,Lincoln Restler,(Working Families),188,AD 50,2025-11-05_01:52:30.68151
ED   13,97.98%,WRITE-IN,&nbsp,7,AD 50,2025-11-05_01:52:30.68151
ED   14,97.98%,Lincoln Restler,(Democratic),460,AD 50,2025-11-05_01:52:30.68151
ED   14,97.98%,Lincoln Restler,(Working Families),234,AD 50,2025-11-05_01:52:30.68151
ED   14,97.98%,WRITE-IN,&nbsp,7,AD 50,2025-11-05_01:52:30.68151
ED   15,97.98%,Lincoln Restler,(Democratic),383,AD 50,2025-11-05_01:52:30.68151
ED   15,97.98%,Lincoln Restler,(Working Families),182,AD 50,2025-11-05_01:52:30.68151
ED   15,97.98%,WRITE-IN,&nbsp,14,AD 50,2025-11-05_01:52:30.68151
ED   16,97.98%,Lincoln Restler,(Democratic),441,AD 50,2025-11-05_01:52:30.68151
ED   16,97.98%,Lincoln Restler,(Working Families),215,AD 50,2025-11-05_01:52:30.68151
