ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,97.98%,Clifford A. Hagen,(Democratic),94,AD 62,2025-11-05_01:52:41.566926
ED    1,97.98%,Frank Morano,(Republican),723,AD 62,2025-11-05_01:52:41.566926
ED    1,97.98%,Frank Morano,(Conservative),48,AD 62,2025-11-05_01:52:41.566926
ED    1,97.98%,John K. Buthorn,(Patriot Workers),21,AD 62,2025-11-05_01:52:41.566926
ED    1,97.98%,WRITE-IN,&nbsp,0,AD 62,2025-11-05_01:52:41.566926
ED    2,97.98%,Clifford A. Hagen,(Democratic),128,AD 62,2025-11-05_01:52:41.566926
ED    2,97.98%,Frank Morano,(Republican),776,AD 62,2025-11-05_01:52:41.566926
ED    2,97.98%,Frank Morano,(Conservative),60,AD 62,2025-11-05_01:52:41.566926
ED    2,97.98%,John K. Buthorn,(Patriot Workers),13,AD 62,2025-11-05_01:52:41.566926
ED    2,97.98%,WRITE-IN,&nbsp,1,AD 62,2025-11-05_01:52:41.566926
ED    3,97.98%,Clifford A. Hagen,(Democratic),185,AD 62,2025-11-05_01:52:41.566926
ED    3,97.98%,Frank Morano,(Republican),609,AD 62,2025-11-05_01:52:41.566926
ED    3,97.98%,Frank Morano,(Conservative),51,AD 62,2025-11-05_01:52:41.566926
ED    3,97.98%,John K. Buthorn,(Patriot Workers),10,AD 62,2025-11-05_01:52:41.566926
ED    3,97.98%,WRITE-IN,&nbsp,0,AD 62,2025-11-05_01:52:41.566926
ED    4,97.98%,Clifford A. Hagen,(Democratic),91,AD 62,2025-11-05_01:52:41.566926
ED    4,97.98%,Frank Morano,(Republican),672,AD 62,2025-11-05_01:52:41.566926
ED    4,97.98%,Frank Morano,(Conservative),35,AD 62,2025-11-05_01:52:41.566926
ED    4,97.98%,John K. Buthorn,(Patriot Workers),15,AD 62,2025-11-05_01:52:41.566926
ED    4,97.98%,WRITE-IN,&nbsp,2,AD 62,2025-11-05_01:52:41.566926
ED    5,97.98%,Clifford A. Hagen,(Democratic),101,AD 62,2025-11-05_01:52:41.566926
ED    5,97.98%,Frank Morano,(Republican),664,AD 62,2025-11-05_01:52:41.566926
ED    5,97.98%,Frank Morano,(Conservative),27,AD 62,2025-11-05_01:52:41.566926
ED    5,97.98%,John K. Buthorn,(Patriot Workers),17,AD 62,2025-11-05_01:52:41.566926
ED    5,97.98%,WRITE-IN,&nbsp,0,AD 62,2025-11-05_01:52:41.566926
ED    6,97.98%,Clifford A. Hagen,(Democratic),123,AD 62,2025-11-05_01:52:41.566926
ED    6,97.98%,Frank Morano,(Republican),616,AD 62,2025-11-05_01:52:41.566926
ED    6,97.98%,Frank Morano,(Conservative),41,AD 62,2025-11-05_01:52:41.566926
ED    6,97.98%,John K. Buthorn,(Patriot Workers),15,AD 62,2025-11-05_01:52:41.566926
ED    6,97.98%,WRITE-IN,&nbsp,1,AD 62,2025-11-05_01:52:41.566926
ED    7,97.98%,Clifford A. Hagen,(Democratic),115,AD 62,2025-11-05_01:52:41.566926
ED    7,97.98%,Frank Morano,(Republican),709,AD 62,2025-11-05_01:52:41.566926
ED    7,97.98%,Frank Morano,(Conservative),42,AD 62,2025-11-05_01:52:41.566926
ED    7,97.98%,John K. Buthorn,(Patriot Workers),13,AD 62,2025-11-05_01:52:41.566926
ED    7,97.98%,WRITE-IN,&nbsp,2,AD 62,2025-11-05_01:52:41.566926
ED    8,97.98%,Clifford A. Hagen,(Democratic),128,AD 62,2025-11-05_01:52:41.566926
ED    8,97.98%,Frank Morano,(Republican),642,AD 62,2025-11-05_01:52:41.566926
ED    8,97.98%,Frank Morano,(Conservative),50,AD 62,2025-11-05_01:52:41.566926
ED    8,97.98%,John K. Buthorn,(Patriot Workers),8,AD 62,2025-11-05_01:52:41.566926
ED    8,97.98%,WRITE-IN,&nbsp,2,AD 62,2025-11-05_01:52:41.566926
ED    9,97.98%,Clifford A. Hagen,(Democratic),124,AD 62,2025-11-05_01:52:41.566926
ED    9,97.98%,Frank Morano,(Republican),703,AD 62,2025-11-05_01:52:41.566926
ED    9,97.98%,Frank Morano,(Conservative),49,AD 62,2025-11-05_01:52:41.566926
ED    9,97.98%,John K. Buthorn,(Patriot Workers),11,AD 62,2025-11-05_01:52:41.566926
ED    9,97.98%,WRITE-IN,&nbsp,0,AD 62,2025-11-05_01:52:41.566926
ED   10,97.98%,Clifford A. Hagen,(Democratic),152,AD 62,2025-11-05_01:52:41.566926
ED   10,97.98%,Frank Morano,(Republican),641,AD 62,2025-11-05_01:52:41.566926
ED   10,97.98%,Frank Morano,(Conservative),42,AD 62,2025-11-05_01:52:41.566926
ED   10,97.98%,John K. Buthorn,(Patriot Workers),21,AD 62,2025-11-05_01:52:41.566926
ED   10,97.98%,WRITE-IN,&nbsp,4,AD 62,2025-11-05_01:52:41.566926
ED   11,97.98%,Clifford A. Hagen,(Democratic),142,AD 62,2025-11-05_01:52:41.566926
ED   11,97.98%,Frank Morano,(Republican),589,AD 62,2025-11-05_01:52:41.566926
ED   11,97.98%,Frank Morano,(Conservative),40,AD 62,2025-11-05_01:52:41.566926
ED   11,97.98%,John K. Buthorn,(Patriot Workers),14,AD 62,2025-11-05_01:52:41.566926
ED   11,97.98%,WRITE-IN,&nbsp,0,AD 62,2025-11-05_01:52:41.566926
ED   12,97.98%,Clifford A. Hagen,(Democratic),152,AD 62,2025-11-05_01:52:41.566926
ED   12,97.98%,Frank Morano,(Republican),624,AD 62,2025-11-05_01:52:41.566926
ED   12,97.98%,Frank Morano,(Conservative),44,AD 62,2025-11-05_01:52:41.566926
ED   12,97.98%,John K. Buthorn,(Patriot Workers),11,AD 62,2025-11-05_01:52:41.566926
ED   12,97.98%,WRITE-IN,&nbsp,1,AD 62,2025-11-05_01:52:41.566926
ED   13,97.98%,Clifford A. Hagen,(Democratic),143,AD 62,2025-11-05_01:52:41.566926
ED   13,97.98%,Frank Morano,(Republican),643,AD 62,2025-11-05_01:52:41.566926
ED   13,97.98%,Frank Morano,(Conservative),47,AD 62,2025-11-05_01:52:41.566926
ED   13,97.98%,John K. Buthorn,(Patriot Workers),12,AD 62,2025-11-05_01:52:41.566926
ED   13,97.98%,WRITE-IN,&nbsp,0,AD 62,2025-11-05_01:52:41.566926
ED   14,97.98%,Clifford A. Hagen,(Democratic),152,AD 62,2025-11-05_01:52:41.566926
ED   14,97.98%,Frank Morano,(Republican),635,AD 62,2025-11-05_01:52:41.566926
ED   14,97.98%,Frank Morano,(Conservative),47,AD 62,2025-11-05_01:52:41.566926
