boro,reported,candidate,party,votes,scrape_time
New York,0.00%,YES,,275014,2025-11-04_22:12:12.100938
New York,0.00%,NO,,179397,2025-11-04_22:12:12.100938
Bronx,0.00%,YES,,124550,2025-11-04_22:12:12.100938
Bronx,0.00%,NO,,53535,2025-11-04_22:12:12.100938
Kings,0.00%,YES,,304908,2025-11-04_22:12:12.100938
Kings,0.00%,NO,,220841,2025-11-04_22:12:12.100938
Queens,0.00%,YES,,238913,2025-11-04_22:12:12.100938
Queens,0.00%,NO,,177241,2025-11-04_22:12:12.100938
Richmond,0.00%,YES,,45947,2025-11-04_22:12:12.100938
Richmond,0.00%,NO,,80693,2025-11-04_22:12:12.100938
Total,,YES,,989332,2025-11-04_22:12:12.100938
Total,,NO,,711707,2025-11-04_22:12:12.100938
