AD_num,reported,candidate,party,votes,scrape_time
AD   23,97.98%,YES,,9966,2025-11-05_01:53:15.838563
AD   23,97.98%,NO,,20603,2025-11-05_01:53:15.838563
AD   24,97.98%,YES,,10649,2025-11-05_01:53:15.838563
AD   24,97.98%,NO,,11925,2025-11-05_01:53:15.838563
AD   25,97.98%,YES,,8432,2025-11-05_01:53:15.838563
AD   25,97.98%,NO,,11883,2025-11-05_01:53:15.838563
AD   26,97.98%,YES,,12618,2025-11-05_01:53:15.838563
AD   26,97.98%,NO,,18971,2025-11-05_01:53:15.838563
AD   27,97.98%,YES,,8108,2025-11-05_01:53:15.838563
AD   27,97.98%,NO,,15202,2025-11-05_01:53:15.838563
AD   28,97.98%,YES,,14289,2025-11-05_01:53:15.838563
AD   28,97.98%,NO,,20182,2025-11-05_01:53:15.838563
AD   29,97.98%,YES,,11492,2025-11-05_01:53:15.838563
AD   29,97.98%,NO,,11130,2025-11-05_01:53:15.838563
AD   30,97.98%,YES,,9459,2025-11-05_01:53:15.838563
AD   30,97.98%,NO,,9775,2025-11-05_01:53:15.838563
AD   31,97.98%,YES,,7677,2025-11-05_01:53:15.838563
AD   31,97.98%,NO,,7763,2025-11-05_01:53:15.838563
AD   32,97.98%,YES,,9970,2025-11-05_01:53:15.838563
AD   32,97.98%,NO,,9406,2025-11-05_01:53:15.838563
AD   33,97.98%,YES,,12311,2025-11-05_01:53:15.838563
AD   33,97.98%,NO,,13332,2025-11-05_01:53:15.838563
AD   34,97.98%,YES,,10685,2025-11-05_01:53:15.838563
AD   34,97.98%,NO,,12560,2025-11-05_01:53:15.838563
AD   35,97.98%,YES,,6770,2025-11-05_01:53:15.838563
AD   35,97.98%,NO,,8113,2025-11-05_01:53:15.838563
AD   36,97.98%,YES,,15935,2025-11-05_01:53:15.838563
AD   36,97.98%,NO,,16833,2025-11-05_01:53:15.838563
AD   37,97.98%,YES,,15276,2025-11-05_01:53:15.838563
AD   37,97.98%,NO,,16910,2025-11-05_01:53:15.838563
AD   38,97.98%,YES,,9005,2025-11-05_01:53:15.838563
AD   38,97.98%,NO,,11270,2025-11-05_01:53:15.838563
AD   39,97.98%,YES,,8491,2025-11-05_01:53:15.838563
AD   39,97.98%,NO,,9412,2025-11-05_01:53:15.838563
AD   40,97.98%,YES,,6466,2025-11-05_01:53:15.838563
AD   40,97.98%,NO,,7778,2025-11-05_01:53:15.838563
AD   41,97.98%,YES,,9043,2025-11-05_01:53:15.838563
AD   41,97.98%,NO,,16793,2025-11-05_01:53:15.838563
AD   42,97.98%,YES,,12023,2025-11-05_01:53:15.838563
AD   42,97.98%,NO,,14553,2025-11-05_01:53:15.838563
AD   43,97.98%,YES,,15203,2025-11-05_01:53:15.838563
AD   43,97.98%,NO,,18630,2025-11-05_01:53:15.838563
AD   44,97.98%,YES,,23865,2025-11-05_01:53:15.838563
AD   44,97.98%,NO,,22035,2025-11-05_01:53:15.838563
AD   45,97.98%,YES,,5453,2025-11-05_01:53:15.838563
AD   45,97.98%,NO,,14922,2025-11-05_01:53:15.838563
AD   46,97.98%,YES,,10139,2025-11-05_01:53:15.838563
AD   46,97.98%,NO,,15742,2025-11-05_01:53:15.838563
AD   47,97.98%,YES,,5787,2025-11-05_01:53:15.838563
AD   47,97.98%,NO,,9178,2025-11-05_01:53:15.838563
AD   48,97.98%,YES,,5185,2025-11-05_01:53:15.838563
AD   48,97.98%,NO,,15646,2025-11-05_01:53:15.838563
AD   49,97.98%,YES,,4690,2025-11-05_01:53:15.838563
AD   49,97.98%,NO,,7145,2025-11-05_01:53:15.838563
AD   50,97.98%,YES,,18349,2025-11-05_01:53:15.838563
AD   50,97.98%,NO,,16072,2025-11-05_01:53:15.838563
AD   51,97.98%,YES,,9988,2025-11-05_01:53:15.838563
AD   51,97.98%,NO,,10917,2025-11-05_01:53:15.838563
AD   52,97.98%,YES,,30883,2025-11-05_01:53:15.838563
AD   52,97.98%,NO,,23704,2025-11-05_01:53:15.838563
AD   53,97.98%,YES,,15569,2025-11-05_01:53:15.838563
AD   53,97.98%,NO,,15747,2025-11-05_01:53:15.838563
AD   54,97.98%,YES,,8569,2025-11-05_01:53:15.838563
AD   54,97.98%,NO,,8892,2025-11-05_01:53:15.838563
AD   55,97.98%,YES,,8493,2025-11-05_01:53:15.838563
AD   55,97.98%,NO,,8409,2025-11-05_01:53:15.838563
AD   56,97.98%,YES,,15646,2025-11-05_01:53:15.838563
AD   56,97.98%,NO,,16464,2025-11-05_01:53:15.838563
AD   57,97.98%,YES,,21578,2025-11-05_01:53:15.838563
AD   57,97.98%,NO,,19171,2025-11-05_01:53:15.838563
AD   58,97.98%,YES,,9523,2025-11-05_01:53:15.838563
AD   58,97.98%,NO,,9550,2025-11-05_01:53:15.838563
AD   59,97.98%,YES,,9285,2025-11-05_01:53:15.838563
