AD_num,reported,candidate,party,votes,scrape_time
AD   23,94.70%,Jumaane D. Williams,(Democratic),12150,2025-11-06_10:53:27.441582
AD   23,94.70%,Gonzalo Duran,(Republican),16206,2025-11-06_10:53:27.441582
AD   23,94.70%,Gonzalo Duran,(Conservative/United Alliance),1587,2025-11-06_10:53:27.441582
AD   23,94.70%,Jumaane D. Williams,(Working Families),1557,2025-11-06_10:53:27.441582
AD   23,94.70%,Marty Dolan,(The Unity ),886,2025-11-06_10:53:27.441582
AD   23,94.70%,WRITE-IN,,64,2025-11-06_10:53:27.441582
AD   24,95.83%,Jumaane D. Williams,(Democratic),16174,2025-11-06_10:53:27.441582
AD   24,95.83%,Gonzalo Duran,(Republican),6695,2025-11-06_10:53:27.441582
AD   24,95.83%,Gonzalo Duran,(Conservative/United Alliance),706,2025-11-06_10:53:27.441582
AD   24,95.83%,Jumaane D. Williams,(Working Families),1765,2025-11-06_10:53:27.441582
AD   24,95.83%,Marty Dolan,(The Unity ),491,2025-11-06_10:53:27.441582
AD   24,95.83%,WRITE-IN,,37,2025-11-06_10:53:27.441582
AD   25,99.00%,Jumaane D. Williams,(Democratic),10920,2025-11-06_10:53:27.441582
AD   25,99.00%,Gonzalo Duran,(Republican),8569,2025-11-06_10:53:27.441582
AD   25,99.00%,Gonzalo Duran,(Conservative/United Alliance),865,2025-11-06_10:53:27.441582
AD   25,99.00%,Jumaane D. Williams,(Working Families),1437,2025-11-06_10:53:27.441582
AD   25,99.00%,Marty Dolan,(The Unity ),594,2025-11-06_10:53:27.441582
AD   25,99.00%,WRITE-IN,,39,2025-11-06_10:53:27.441582
AD   26,99.00%,Jumaane D. Williams,(Democratic),15624,2025-11-06_10:53:27.441582
AD   26,99.00%,Gonzalo Duran,(Republican),13684,2025-11-06_10:53:27.441582
AD   26,99.00%,Gonzalo Duran,(Conservative/United Alliance),1428,2025-11-06_10:53:27.441582
AD   26,99.00%,Jumaane D. Williams,(Working Families),1793,2025-11-06_10:53:27.441582
AD   26,99.00%,Marty Dolan,(The Unity ),978,2025-11-06_10:53:27.441582
AD   26,99.00%,WRITE-IN,,48,2025-11-06_10:53:27.441582
AD   27,96.72%,Jumaane D. Williams,(Democratic),10347,2025-11-06_10:53:27.441582
AD   27,96.72%,Gonzalo Duran,(Republican),12157,2025-11-06_10:53:27.441582
AD   27,96.72%,Gonzalo Duran,(Conservative/United Alliance),1047,2025-11-06_10:53:27.441582
AD   27,96.72%,Jumaane D. Williams,(Working Families),1437,2025-11-06_10:53:27.441582
AD   27,96.72%,Marty Dolan,(The Unity ),632,2025-11-06_10:53:27.441582
AD   27,96.72%,WRITE-IN,,50,2025-11-06_10:53:27.441582
AD   28,99.00%,Jumaane D. Williams,(Democratic),17557,2025-11-06_10:53:27.441582
AD   28,99.00%,Gonzalo Duran,(Republican),13777,2025-11-06_10:53:27.441582
AD   28,99.00%,Gonzalo Duran,(Conservative/United Alliance),1394,2025-11-06_10:53:27.441582
AD   28,99.00%,Jumaane D. Williams,(Working Families),3541,2025-11-06_10:53:27.441582
AD   28,99.00%,Marty Dolan,(The Unity ),1171,2025-11-06_10:53:27.441582
AD   28,99.00%,WRITE-IN,,57,2025-11-06_10:53:27.441582
AD   29,94.92%,Jumaane D. Williams,(Democratic),21639,2025-11-06_10:53:27.441582
AD   29,94.92%,Gonzalo Duran,(Republican),1580,2025-11-06_10:53:27.441582
AD   29,94.92%,Gonzalo Duran,(Conservative/United Alliance),266,2025-11-06_10:53:27.441582
AD   29,94.92%,Jumaane D. Williams,(Working Families),1613,2025-11-06_10:53:27.441582
AD   29,94.92%,Marty Dolan,(The Unity ),256,2025-11-06_10:53:27.441582
AD   29,94.92%,WRITE-IN,,23,2025-11-06_10:53:27.441582
AD   30,96.12%,Jumaane D. Williams,(Democratic),13041,2025-11-06_10:53:27.441582
AD   30,96.12%,Gonzalo Duran,(Republican),5847,2025-11-06_10:53:27.441582
AD   30,96.12%,Gonzalo Duran,(Conservative/United Alliance),659,2025-11-06_10:53:27.441582
