ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,97.98%,Jumaane D. Williams,(Democratic),133,AD 23,2025-11-05_01:51:36.953752
ED    1,97.98%,Gonzalo Duran,(Republican),685,AD 23,2025-11-05_01:51:36.953752
ED    1,97.98%,Gonzalo Duran,(Conservative/United Alliance),142,AD 23,2025-11-05_01:51:36.953752
ED    1,97.98%,Jumaane D. Williams,(Working Families),22,AD 23,2025-11-05_01:51:36.953752
ED    1,97.98%,Marty Dolan,(The Unity ),65,AD 23,2025-11-05_01:51:36.953752
ED    1,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:51:36.953752
ED    2,97.98%,Jumaane D. Williams,(Democratic),146,AD 23,2025-11-05_01:51:36.953752
ED    2,97.98%,Gonzalo Duran,(Republican),699,AD 23,2025-11-05_01:51:36.953752
ED    2,97.98%,Gonzalo Duran,(Conservative/United Alliance),98,AD 23,2025-11-05_01:51:36.953752
ED    2,97.98%,Jumaane D. Williams,(Working Families),19,AD 23,2025-11-05_01:51:36.953752
ED    2,97.98%,Marty Dolan,(The Unity ),52,AD 23,2025-11-05_01:51:36.953752
ED    2,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:51:36.953752
ED    3,97.98%,Jumaane D. Williams,(Democratic),62,AD 23,2025-11-05_01:51:36.953752
ED    3,97.98%,Gonzalo Duran,(Republican),248,AD 23,2025-11-05_01:51:36.953752
ED    3,97.98%,Gonzalo Duran,(Conservative/United Alliance),26,AD 23,2025-11-05_01:51:36.953752
ED    3,97.98%,Jumaane D. Williams,(Working Families),12,AD 23,2025-11-05_01:51:36.953752
ED    3,97.98%,Marty Dolan,(The Unity ),10,AD 23,2025-11-05_01:51:36.953752
ED    3,97.98%,WRITE-IN,&nbsp,2,AD 23,2025-11-05_01:51:36.953752
ED    4,97.98%,Jumaane D. Williams,(Democratic),227,AD 23,2025-11-05_01:51:36.953752
ED    4,97.98%,Gonzalo Duran,(Republican),659,AD 23,2025-11-05_01:51:36.953752
ED    4,97.98%,Gonzalo Duran,(Conservative/United Alliance),70,AD 23,2025-11-05_01:51:36.953752
ED    4,97.98%,Jumaane D. Williams,(Working Families),25,AD 23,2025-11-05_01:51:36.953752
ED    4,97.98%,Marty Dolan,(The Unity ),37,AD 23,2025-11-05_01:51:36.953752
ED    4,97.98%,WRITE-IN,&nbsp,2,AD 23,2025-11-05_01:51:36.953752
ED    5,97.98%,Jumaane D. Williams,(Democratic),182,AD 23,2025-11-05_01:51:36.953752
ED    5,97.98%,Gonzalo Duran,(Republican),701,AD 23,2025-11-05_01:51:36.953752
ED    5,97.98%,Gonzalo Duran,(Conservative/United Alliance),65,AD 23,2025-11-05_01:51:36.953752
ED    5,97.98%,Jumaane D. Williams,(Working Families),23,AD 23,2025-11-05_01:51:36.953752
ED    5,97.98%,Marty Dolan,(The Unity ),53,AD 23,2025-11-05_01:51:36.953752
ED    5,97.98%,WRITE-IN,&nbsp,2,AD 23,2025-11-05_01:51:36.953752
ED    6,97.98%,Jumaane D. Williams,(Democratic),215,AD 23,2025-11-05_01:51:36.953752
ED    6,97.98%,Gonzalo Duran,(Republican),656,AD 23,2025-11-05_01:51:36.953752
ED    6,97.98%,Gonzalo Duran,(Conservative/United Alliance),68,AD 23,2025-11-05_01:51:36.953752
ED    6,97.98%,Jumaane D. Williams,(Working Families),24,AD 23,2025-11-05_01:51:36.953752
ED    6,97.98%,Marty Dolan,(The Unity ),49,AD 23,2025-11-05_01:51:36.953752
ED    6,97.98%,WRITE-IN,&nbsp,2,AD 23,2025-11-05_01:51:36.953752
ED    7,97.98%,Jumaane D. Williams,(Democratic),260,AD 23,2025-11-05_01:51:36.953752
ED    7,97.98%,Gonzalo Duran,(Republican),669,AD 23,2025-11-05_01:51:36.953752
ED    7,97.98%,Gonzalo Duran,(Conservative/United Alliance),69,AD 23,2025-11-05_01:51:36.953752
ED    7,97.98%,Jumaane D. Williams,(Working Families),30,AD 23,2025-11-05_01:51:36.953752
ED    7,97.98%,Marty Dolan,(The Unity ),60,AD 23,2025-11-05_01:51:36.953752
ED    7,97.98%,WRITE-IN,&nbsp,3,AD 23,2025-11-05_01:51:36.953752
ED    8,97.98%,Jumaane D. Williams,(Democratic),130,AD 23,2025-11-05_01:51:36.953752
ED    8,97.98%,Gonzalo Duran,(Republican),162,AD 23,2025-11-05_01:51:36.953752
ED    8,97.98%,Gonzalo Duran,(Conservative/United Alliance),26,AD 23,2025-11-05_01:51:36.953752
ED    8,97.98%,Jumaane D. Williams,(Working Families),24,AD 23,2025-11-05_01:51:36.953752
ED    8,97.98%,Marty Dolan,(The Unity ),20,AD 23,2025-11-05_01:51:36.953752
ED    8,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:51:36.953752
ED    9,97.98%,Jumaane D. Williams,(Democratic),99,AD 23,2025-11-05_01:51:36.953752
ED    9,97.98%,Gonzalo Duran,(Republican),89,AD 23,2025-11-05_01:51:36.953752
ED    9,97.98%,Gonzalo Duran,(Conservative/United Alliance),9,AD 23,2025-11-05_01:51:36.953752
ED    9,97.98%,Jumaane D. Williams,(Working Families),14,AD 23,2025-11-05_01:51:36.953752
ED    9,97.98%,Marty Dolan,(The Unity ),7,AD 23,2025-11-05_01:51:36.953752
ED    9,97.98%,WRITE-IN,&nbsp,1,AD 23,2025-11-05_01:51:36.953752
ED   10,97.98%,Jumaane D. Williams,(Democratic),251,AD 23,2025-11-05_01:51:36.953752
ED   10,97.98%,Gonzalo Duran,(Republican),475,AD 23,2025-11-05_01:51:36.953752
ED   10,97.98%,Gonzalo Duran,(Conservative/United Alliance),50,AD 23,2025-11-05_01:51:36.953752
ED   10,97.98%,Jumaane D. Williams,(Working Families),43,AD 23,2025-11-05_01:51:36.953752
ED   10,97.98%,Marty Dolan,(The Unity ),49,AD 23,2025-11-05_01:51:36.953752
ED   10,97.98%,WRITE-IN,&nbsp,3,AD 23,2025-11-05_01:51:36.953752
ED   11,97.98%,Jumaane D. Williams,(Democratic),328,AD 23,2025-11-05_01:51:36.953752
ED   11,97.98%,Gonzalo Duran,(Republican),145,AD 23,2025-11-05_01:51:36.953752
ED   11,97.98%,Gonzalo Duran,(Conservative/United Alliance),17,AD 23,2025-11-05_01:51:36.953752
ED   11,97.98%,Jumaane D. Williams,(Working Families),53,AD 23,2025-11-05_01:51:36.953752
ED   11,97.98%,Marty Dolan,(The Unity ),10,AD 23,2025-11-05_01:51:36.953752
ED   11,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:51:36.953752
ED   12,97.98%,Jumaane D. Williams,(Democratic),89,AD 23,2025-11-05_01:51:36.953752
ED   12,97.98%,Gonzalo Duran,(Republican),32,AD 23,2025-11-05_01:51:36.953752
ED   12,97.98%,Gonzalo Duran,(Conservative/United Alliance),5,AD 23,2025-11-05_01:51:36.953752
ED   12,97.98%,Jumaane D. Williams,(Working Families),23,AD 23,2025-11-05_01:51:36.953752
ED   12,97.98%,Marty Dolan,(The Unity ),8,AD 23,2025-11-05_01:51:36.953752
ED   12,97.98%,WRITE-IN,&nbsp,1,AD 23,2025-11-05_01:51:36.953752
ED   13,97.98%,Jumaane D. Williams,(Democratic),236,AD 23,2025-11-05_01:51:36.953752
ED   13,97.98%,Gonzalo Duran,(Republican),118,AD 23,2025-11-05_01:51:36.953752
ED   13,97.98%,Gonzalo Duran,(Conservative/United Alliance),11,AD 23,2025-11-05_01:51:36.953752
ED   13,97.98%,Jumaane D. Williams,(Working Families),59,AD 23,2025-11-05_01:51:36.953752
ED   13,97.98%,Marty Dolan,(The Unity ),16,AD 23,2025-11-05_01:51:36.953752
ED   13,97.98%,WRITE-IN,&nbsp,1,AD 23,2025-11-05_01:51:36.953752
ED   14,97.98%,Jumaane D. Williams,(Democratic),220,AD 23,2025-11-05_01:51:36.953752
ED   14,97.98%,Gonzalo Duran,(Republican),230,AD 23,2025-11-05_01:51:36.953752
ED   14,97.98%,Gonzalo Duran,(Conservative/United Alliance),19,AD 23,2025-11-05_01:51:36.953752
ED   14,97.98%,Jumaane D. Williams,(Working Families),24,AD 23,2025-11-05_01:51:36.953752
ED   14,97.98%,Marty Dolan,(The Unity ),19,AD 23,2025-11-05_01:51:36.953752
ED   14,97.98%,WRITE-IN,&nbsp,1,AD 23,2025-11-05_01:51:36.953752
ED   15,97.98%,Jumaane D. Williams,(Democratic),192,AD 23,2025-11-05_01:51:36.953752
ED   15,97.98%,Gonzalo Duran,(Republican),183,AD 23,2025-11-05_01:51:36.953752
ED   15,97.98%,Gonzalo Duran,(Conservative/United Alliance),23,AD 23,2025-11-05_01:51:36.953752
ED   15,97.98%,Jumaane D. Williams,(Working Families),26,AD 23,2025-11-05_01:51:36.953752
ED   15,97.98%,Marty Dolan,(The Unity ),22,AD 23,2025-11-05_01:51:36.953752
ED   15,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:51:36.953752
ED   16,97.98%,Jumaane D. Williams,(Democratic),150,AD 23,2025-11-05_01:51:36.953752
ED   16,97.98%,Gonzalo Duran,(Republican),134,AD 23,2025-11-05_01:51:36.953752
ED   16,97.98%,Gonzalo Duran,(Conservative/United Alliance),11,AD 23,2025-11-05_01:51:36.953752
ED   16,97.98%,Jumaane D. Williams,(Working Families),16,AD 23,2025-11-05_01:51:36.953752
ED   16,97.98%,Marty Dolan,(The Unity ),10,AD 23,2025-11-05_01:51:36.953752
ED   16,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:51:36.953752
ED   17,97.98%,Jumaane D. Williams,(Democratic),123,AD 23,2025-11-05_01:51:36.953752
ED   17,97.98%,Gonzalo Duran,(Republican),345,AD 23,2025-11-05_01:51:36.953752
ED   17,97.98%,Gonzalo Duran,(Conservative/United Alliance),40,AD 23,2025-11-05_01:51:36.953752
ED   17,97.98%,Jumaane D. Williams,(Working Families),18,AD 23,2025-11-05_01:51:36.953752
ED   17,97.98%,Marty Dolan,(The Unity ),35,AD 23,2025-11-05_01:51:36.953752
ED   17,97.98%,WRITE-IN,&nbsp,1,AD 23,2025-11-05_01:51:36.953752
ED   18,97.98%,Jumaane D. Williams,(Democratic),373,AD 23,2025-11-05_01:51:36.953752
ED   18,97.98%,Gonzalo Duran,(Republican),154,AD 23,2025-11-05_01:51:36.953752
ED   18,97.98%,Gonzalo Duran,(Conservative/United Alliance),11,AD 23,2025-11-05_01:51:36.953752
ED   18,97.98%,Jumaane D. Williams,(Working Families),60,AD 23,2025-11-05_01:51:36.953752
ED   18,97.98%,Marty Dolan,(The Unity ),13,AD 23,2025-11-05_01:51:36.953752
ED   18,97.98%,WRITE-IN,&nbsp,1,AD 23,2025-11-05_01:51:36.953752
ED   19,97.98%,Jumaane D. Williams,(Democratic),59,AD 23,2025-11-05_01:51:36.953752
ED   19,97.98%,Gonzalo Duran,(Republican),5,AD 23,2025-11-05_01:51:36.953752
ED   19,97.98%,Gonzalo Duran,(Conservative/United Alliance),1,AD 23,2025-11-05_01:51:36.953752
ED   19,97.98%,Jumaane D. Williams,(Working Families),5,AD 23,2025-11-05_01:51:36.953752
ED   19,97.98%,Marty Dolan,(The Unity ),2,AD 23,2025-11-05_01:51:36.953752
ED   19,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:51:36.953752
ED   20,97.98%,Jumaane D. Williams,(Democratic),156,AD 23,2025-11-05_01:51:36.953752
ED   20,97.98%,Gonzalo Duran,(Republican),23,AD 23,2025-11-05_01:51:36.953752
ED   20,97.98%,Gonzalo Duran,(Conservative/United Alliance),3,AD 23,2025-11-05_01:51:36.953752
ED   20,97.98%,Jumaane D. Williams,(Working Families),15,AD 23,2025-11-05_01:51:36.953752
ED   20,97.98%,Marty Dolan,(The Unity ),4,AD 23,2025-11-05_01:51:36.953752
ED   20,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:51:36.953752
ED   21,97.98%,Jumaane D. Williams,(Democratic),169,AD 23,2025-11-05_01:51:36.953752
ED   21,97.98%,Gonzalo Duran,(Republican),114,AD 23,2025-11-05_01:51:36.953752
ED   21,97.98%,Gonzalo Duran,(Conservative/United Alliance),8,AD 23,2025-11-05_01:51:36.953752
ED   21,97.98%,Jumaane D. Williams,(Working Families),12,AD 23,2025-11-05_01:51:36.953752
ED   21,97.98%,Marty Dolan,(The Unity ),8,AD 23,2025-11-05_01:51:36.953752
ED   21,97.98%,WRITE-IN,&nbsp,1,AD 23,2025-11-05_01:51:36.953752
