level,race,href,link
By Summary,Mayor,OF11CY0PY3.html,https://enr.boenyc.gov/OF11CY0PY3.html
By AD,Mayor,CD27286ADI0.html,https://enr.boenyc.gov/CD27286ADI0.html
By Summary,Public Advocate,OF12CY0PY3.html,https://enr.boenyc.gov/OF12CY0PY3.html
By AD,Public Advocate,CD27287ADI0.html,https://enr.boenyc.gov/CD27287ADI0.html
By Summary,City Comptroller,OF13CY0PY3.html,https://enr.boenyc.gov/OF13CY0PY3.html
By AD,City Comptroller,CD27293ADI0.html,https://enr.boenyc.gov/CD27293ADI0.html
By Summary,Justice of the Supreme Court,OF9CY0PY1.html,https://enr.boenyc.gov/OF9CY0PY1.html
By AD,Justice of the Supreme Court,OF9AD0PY1.html,https://enr.boenyc.gov/OF9AD0PY1.html
By Summary,District Attorney,OF14CY0PY35.html,https://enr.boenyc.gov/OF14CY0PY35.html
By AD,District Attorney,OF14AD0PY35.html,https://enr.boenyc.gov/OF14AD0PY35.html
By Summary,Borough President,OF15CY0PY1.html,https://enr.boenyc.gov/OF15CY0PY1.html
By AD,Borough President,OF15AD0PY1.html,https://enr.boenyc.gov/OF15AD0PY1.html
By Summary,Judge of the Civil Court - County,OF16CY0PY1.html,https://enr.boenyc.gov/OF16CY0PY1.html
By AD,Judge of the Civil Court - County,OF16AD0PY1.html,https://enr.boenyc.gov/OF16AD0PY1.html
By Summary,Member of the City Council,OF18CY0PY3.html,https://enr.boenyc.gov/OF18CY0PY3.html
By AD,Member of the City Council,OF18AD0PY3.html,https://enr.boenyc.gov/OF18AD0PY3.html
By Summary,Judge of the Civil Court - District,OF17CY0PY1.html,https://enr.boenyc.gov/OF17CY0PY1.html
By AD,Judge of the Civil Court - District,OF17AD0PY1.html,https://enr.boenyc.gov/OF17AD0PY1.html
By Summary,Proposal Number 1,OF10074CY0PY0.html,https://enr.boenyc.gov/OF10074CY0PY0.html
By AD,Proposal Number 1,CD27305ADI0.html,https://enr.boenyc.gov/CD27305ADI0.html
By Summary,Proposal Number 2,OF10075CY0PY0.html,https://enr.boenyc.gov/OF10075CY0PY0.html
By AD,Proposal Number 2,CD27306ADI0.html,https://enr.boenyc.gov/CD27306ADI0.html
By Summary,Proposal Number 3,OF10076CY0PY0.html,https://enr.boenyc.gov/OF10076CY0PY0.html
By AD,Proposal Number 3,CD27307ADI0.html,https://enr.boenyc.gov/CD27307ADI0.html
By Summary,Proposal Number 4,OF10077CY0PY0.html,https://enr.boenyc.gov/OF10077CY0PY0.html
By AD,Proposal Number 4,CD27308ADI0.html,https://enr.boenyc.gov/CD27308ADI0.html
By Summary,Proposal Number 5,OF10078CY0PY0.html,https://enr.boenyc.gov/OF10078CY0PY0.html
By AD,Proposal Number 5,CD27309ADI0.html,https://enr.boenyc.gov/CD27309ADI0.html
By Summary,Proposal Number 6,OF10079CY0PY0.html,https://enr.boenyc.gov/OF10079CY0PY0.html
By AD,Proposal Number 6,CD27310ADI0.html,https://enr.boenyc.gov/CD27310ADI0.html
New York,NA,C1.html,https://enr.boenyc.gov/C1.html
